new,host,a,cname,soa,status_code,cdn,cdn-name,ns,txt,mx,has_internal_ips,internal_ips,aaaa,caa
[x],api.bit.com,"13.227.219.48, 13.227.219.75, 13.227.219.23, 13.227.219.30",d31wa748tbglvz.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,True,cloudfront,,,,,,"2600:9000:21c7:c800:15:22b4:73c0:93a1, 2600:9000:21c7:5400:15:22b4:73c0:93a1, 2600:9000:21c7:3a00:15:22b4:73c0:93a1, 2600:9000:21c7:5800:15:22b4:73c0:93a1, 2600:9000:21c7:7400:15:22b4:73c0:93a1, 2600:9000:21c7:ec00:15:22b4:73c0:93a1, 2600:9000:21c7:ea00:15:22b4:73c0:93a1, 2600:9000:21c7:fc00:15:22b4:73c0:93a1",
[x],bit.com,104.18.25.147,,"ns-1596.awsdns-07.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,"ns-1596.awsdns-07.co.uk, ns-690.awsdns-22.net, ns-1469.awsdns-55.org, ns-500.awsdns-62.com","v=spf1 include:_spf.google.com include:spf.sendinblue.com -all, google-site-verification=R9-jsahZWHnPJVe7bpblZlbvFkIX3N8RlidwEM_vrro, google-site-verification=GFu8HLGoGaPzdbWsMV5ZBjXIbA-oXDDxXkbo7eSd-tg, Sendinblue-code:157c1598e6e04d09bc4a6fe76c308c8c, google-site-verification=sWL-JeFeCMhOfYf_X65zKkuaz0r3RmsjHPPuBsJQqz4","alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com",,,,comodoca.com
[x],blog.bit.com,151.101.39.7,"bit-com-blog.ghost.io, ghost.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,2a04:4e42:6a::775,
[x],blogdao.bit.com,"104.18.25.147, 104.18.24.147",blogdao.bit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,"2606:4700::6812:1893, 2606:4700::6812:1993",
[x],click.bit.com,,sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"ns13.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns14.dnsmadeeasy.com",,,,,,"amazonaws.com, godaddy.com"
[x],env.bit.com,,u29462498.wl249.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 ip4:159.183.143.161 -all,mx.sendgrid.net,,,,
[x],fit.bit.com,,,,NOERROR,,,,,,,,,
[x],helpcenter.bit.com,"3.114.56.177, 3.113.123.113, 54.64.235.235",bitdotcom.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net","pod=25, v=spf1 include:mail.zendesk.com ~all",mail-pod-25.int.zendesk.com,,,,
[x],m.bit.com,"104.18.24.147, 104.18.25.147",m.bit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,"2606:4700::6812:1893, 2606:4700::6812:1993",
[x],webapp.bit.com,"18.172.153.59, 18.172.153.91, 18.172.153.117, 18.172.153.81",d25ixtfxw91b71.cloudfront.net,"ns-759.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1361.awsdns-42.org, ns-146.awsdns-18.com, ns-1711.awsdns-21.co.uk, ns-759.awsdns-30.net",,,,,"2600:9000:239f:f400:3:50f9:fb40:93a1, 2600:9000:239f:7200:3:50f9:fb40:93a1, 2600:9000:239f:d200:3:50f9:fb40:93a1, 2600:9000:239f:a00:3:50f9:fb40:93a1, 2600:9000:239f:6400:3:50f9:fb40:93a1, 2600:9000:239f:9200:3:50f9:fb40:93a1, 2600:9000:239f:b200:3:50f9:fb40:93a1, 2600:9000:239f:a800:3:50f9:fb40:93a1",
