new,host,a,cname,soa,status_code,cdn,cdn-name,txt,aaaa,mx,ns,has_internal_ips,internal_ips,caa
[x],1pass-scim-bridge.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],academyonline.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],account-information.service.newrelic.com,"162.247.242.40, 162.247.242.38, 162.247.242.39",wildcard.service.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],account.eu.newrelic.com,"185.221.86.9, 185.221.86.41",public-service-gateway.eu.newrelic.com,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],account.newrelic.com,"162.247.242.37, 162.247.242.35, 162.247.242.36",service.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"google-site-verification=H9LcM9OsqwRJRJDvX_9NGjmN84vPvewGCdvwBisd_Ac, yandex-verification: 29b3e6dd229193fb",,,,,,
[x],alerts.newrelic.com,"162.247.242.36, 162.247.242.37, 162.247.242.35",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"spf2.0/pra ?all, v=spf1 include:mailgun.org ~all",,"mxa.mailgun.org, mxb.mailgun.org",,,,
[x],also-two.newrelic.com,,"service.awsdev.nr-ops.net, mesh-sg-prod-ext-alb-1616017768.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.newrelic.com,162.247.242.11,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],be.newrelic.com,162.247.242.169,staging-shared.newrelic.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],beacon-1.newrelic.com,,,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,,,"dns1.p02.nsone.net, dns2.p02.nsone.net, dns3.p02.nsone.net, dns4.p02.nsone.net, ns01.nr-dns.net, ns02.nr-dns.net, ns03.nr-dns.net, ns04.nr-dns.net",,,
[x],beacon-2.newrelic.com,,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,,,"dns1.p07.nsone.net, dns2.p07.nsone.net, dns3.p07.nsone.net, dns4.p07.nsone.net, ns01.nr-dns.net, ns02.nr-dns.net, ns03.nr-dns.net, ns04.nr-dns.net",,,
[x],beacon-3.newrelic.com,,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,,,"dns3.p01.nsone.net, ns04.nr-dns.net, ns03.nr-dns.net, dns2.p01.nsone.net, ns02.nr-dns.net, dns4.p01.nsone.net, dns1.p01.nsone.net, ns01.nr-dns.net",,,
[x],beacon-4.newrelic.com,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,,,"ns04.nr-dns.net, dns1.p08.nsone.net, dns2.p08.nsone.net, dns3.p08.nsone.net, dns4.p08.nsone.net, ns01.nr-dns.net, ns02.nr-dns.net, ns03.nr-dns.net",,,
[x],beacon-5.newrelic.com,,,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,,,"dns1.p03.nsone.net, dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net, ns01.nr-dns.net, ns02.nr-dns.net, ns03.nr-dns.net, ns04.nr-dns.net",,,
[x],beacon-6.newrelic.com,"198.51.44.1, 198.51.45.1, 198.51.44.65, 198.51.45.65, 157.53.229.1, 157.53.229.65, 157.53.229.129, 157.53.229.193",,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,v=spf1 -all,"2620:4d:4000:6259:7:1:0:1, 2a00:edc0:6259:7:1::2, 2620:4d:4000:6259:7:1:0:3, 2a00:edc0:6259:7:1::4, 2607:f740:e61a::1, 2607:f740:e61a:4::1, 2607:f740:e61a:8::1, 2607:f740:e61a:c::1",,"dns4.p01.nsone.net, dns2.p01.nsone.net, ns02.nr-dns.net, ns03.nr-dns.net, ns04.nr-dns.net, dns3.p01.nsone.net, ns01.nr-dns.net, dns1.p01.nsone.net",,,
[x],blog.newrelic.com,146.75.122.137,dualstack.k.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,2a04:4e42:8e::649,,,,,
[x],ca.service.newrelic.com,"3.129.33.187, 3.130.14.191, 18.116.99.106, 3.23.5.94, 3.141.74.106, 18.224.208.16, 3.13.8.197, 3.21.48.252, 18.219.167.17","us.service.nucleus.newrelic.com, us.nucleus-lb.newrelic.com","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ca.staging-service.newrelic.com,"3.139.209.181, 3.143.41.234, 18.189.241.80, 18.224.224.227, 3.22.85.221, 3.136.254.97","staging.service.nucleus.newrelic.com, staging.nucleus-lb.newrelic.com","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],cf-infrastructure-command-api.eu.newrelic.com,,cf-infrastructure-command-api.eu.newrelic.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cf-proxy-stg2a.newrelic.com,162.247.242.176,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],chart-embed.staging-service.newrelic.com,"3.139.209.181, 18.189.241.80, 18.224.224.227, 3.143.41.234, 3.136.254.97, 3.22.85.221","staging.service.nucleus.newrelic.com, staging.nucleus-lb.newrelic.com","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],chi-8-api-internal.service.eu.newrelic.com,"185.221.86.8, 185.221.86.40",wildcard.service.eu.newrelic.com,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],chi-infra-api.newrelic.com,162.247.242.5,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],chi-insights-collector.newrelic.com,162.247.242.30,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],chi-staging-cloud-collector.newrelic.com,162.247.242.143,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],chi-staging-collector-pool.newrelic.com,"162.247.242.146, 162.247.242.145",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],chi-staging-insights-collector.newrelic.com,162.247.242.147,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],chi-staging-log-api.newrelic.com,162.247.242.158,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],chi-staging-metric-api.newrelic.com,162.247.242.157,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
