new,host,a,aaaa,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,mx,ns,txt
[x],000555.005050.0018.0000mg.0011aaa.0018.0005.0000sweetkelly.004xuan5.0000hugetits.008.162-223.youtube.console4.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],000kkk.0039.00271c0m.004xuan5kaijianghaoma.0025.007dazhanhuangjiaduchangyouku.007dapotianmuweijiaomenduchang.122-191.youtube.console4.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],001zuqiubifenbishime.000.0009.0004.00003.0012.007zhenrenboyinpingtai.001dd.005555.117-93.youtube.console4.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],007227n4198g951e9123.004qi.004xuan5caipiaokaijiang.0006.0001.007zhihuangjiaduchangguoyu.116-69.youtube.console4.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],007huangjiaduchang720p.007bifenwang.0137.01aperfecttits.youtube.console4.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],150-112.lovers.openvpn.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],15173.portfolio.29.openvpn.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],16449.ppls.accounts.openvpn.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],23da.ppls.29.openvpn.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],327b.mobile.openvpn.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],_nicname._tcp.007dazhanhuangjiaduchangdianying.004xuan5.0069.002jj.166-109.youtube.console4.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],_stun-behaviors._tcp.007dazhanhuangjiaduchanggaoqing.007zhenrenxianjinzaixianyulecheng.005500.141-67.youtube.console4.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],academy.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],api.bitforex.com,"104.18.13.253, 104.18.18.253","2606:4700::6812:12fd, 2606:4700::6812:dfd","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],autoconfig.gallery.csg.org.inbound.openvpn.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],bit.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],bitforex.com,"188.114.99.229, 188.114.98.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","bonnie.ns.cloudflare.com, lennox.ns.cloudflare.com","_globalsign-domain-verification=RqVlgOhdSOgHr6deE3nw0bN4GfIddTSyRxyCBKH5Io, google-site-verification=UGxJFNX-w8dMoyJ3UrOwagae5kiMQ2KIb6ACqC01m4c, google-site-verification=ZLnGEZG7CYWzqZKLR7SHLxkQhPDREqOSsU3BEaBuTFA, google-site-verification=b7RzGYb7q2aCJmC7TpW05-U_MbO7vVa9KU65iVi1lUE, v=DMARC1; p=reject; rua=mailto:report@bitforex.com; pct=100; adkim=s; aspf=s, v=spf1 include:_spf.google.com -all"
[x],capptest.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cdn.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],celue.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cn.bitforex.com,,"2606:4700::6812:dfd, 2606:4700::6812:12fd","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],download.bitforex.com,"104.18.18.253, 104.18.13.253","2606:4700::6812:dfd, 2606:4700::6812:12fd","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],grin.bitforex.com,"104.18.13.253, 104.18.18.253","2606:4700::6812:12fd, 2606:4700::6812:dfd","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],grinproxy.bitforex.com,"104.18.18.253, 104.18.13.253","2606:4700::6812:dfd, 2606:4700::6812:12fd","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],help.bitforex.com,"104.18.13.253, 104.18.18.253","2606:4700::6812:dfd, 2606:4700::6812:12fd","bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],k116.csg.openvpn.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],kr.bitforex.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
