new,host,a,aaaa,cname,soa,status_code,txt,cdn,cdn-name,ns,mx,caa
[x],e.email.ad.nl,"185.136.65.7, 185.136.64.6, 185.136.65.6, 185.136.64.7",,web.flowmailer.net,"ns1.flowmailer.net, contact.flowmailer.net",NOERROR,v=spf1 include:spf.flowmailer.net ~all,,,,return.flowmailer.net,"digicert.com, mailto:abuse@flowmailer.com, quovadisglobal.com, letsencrypt.org, entrust.net, sectigo.com"
[x],ekpoule.ad.nl,91.224.164.221,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],embed.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],esales-test.ad.nl,"95.101.111.161, 95.101.111.168","2a02:26f0:480:23::1726:62ab, 2a02:26f0:480:23::1726:6296","esales-test.ad.nl.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],esales.ad.nl,"92.123.189.41, 92.123.189.33","2a02:26f0:d8::1740:c33, 2a02:26f0:d8::1740:c30","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],europa.verkiezingen.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],familieberichten.ad.nl,,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],fbweb.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],files.ad.nl,213.239.201.80,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],ftp-in.ad.nl,146.185.54.156,,ftp14101.persgroep.be,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],geheimvanrotterdam.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],geldmeter.ad.nl,"108.157.229.35, 108.157.229.8, 108.157.229.48, 108.157.229.11",,,"ns-1693.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-808.awsdns-37.net, ns-1189.awsdns-20.org, ns-1693.awsdns-19.co.uk, ns-251.awsdns-31.com",,
[x],h-135-207-127-17.nieuw-demo.ad.nl,,,,,NOERROR,,,,,,
[x],horoscoop.ad.nl,185.71.61.104,2a03:38a0:61:104::1,www.tophoroscoop.nl,"ns1.cobytes.io, hostmaster.tophoroscoop.nl",NOERROR,,,,,,
[x],horoscoop.www.ad.nl,185.71.61.104,,www.tophoroscoop.nl,"ns1.cobytes.io, hostmaster.tophoroscoop.nl",NOERROR,,,,,,
[x],identificatie.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],ikstaindekrant.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],ims.ad.nl,"92.123.189.41, 92.123.189.33",,"dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],inapp-krant.ad.nl,"46.30.126.147, 46.30.126.156, 46.30.121.210, 185.208.212.124","2a00:1b18:1337:1337::53, 2a00:1b19:1337:1337::53",e-pages.pub,"ns1.dlx.dk, ks.dlx.dk",NOERROR,v=spf1 include:_spf.mail.dlx.dk ?all,,,"ns1.dlx.dk, ns2.dlx.dk",mail.dlx.dk,
[x],infostrada.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],ip162-118-59-62.ad.nl,54.144.128.85,,,,NOERROR,,,,,,
[x],kcc.ad.nl,92.52.83.86,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],kortingscodes.ad.nl,"13.32.208.51, 13.32.208.81, 13.32.208.85, 13.32.208.95",,ad.gsgwls.com,"ns-2035.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,
[x],krant.ad.nl,"46.30.126.156, 46.30.126.147, 46.30.121.210, 185.208.212.124","2a00:1b18:1337:1337::53, 2a00:1b19:1337:1337::53",e-pages.pub,"ns1.dlx.dk, ks.dlx.dk",NOERROR,v=spf1 include:_spf.mail.dlx.dk ?all,,,"ns1.dlx.dk, ns2.dlx.dk",mail.dlx.dk,
[x],landingpage.ad.nl,"104.110.240.17, 2.19.195.235, 104.110.240.48, 2.19.195.216, 104.110.240.11, 104.110.240.9, 2.19.195.193, 2.19.195.240, 2.19.195.178","2a02:26f0:b200::58dd:1948, 2a02:26f0:b200::58dd:1951","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],lezersservice.ad.nl,213.171.132.133,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],live.ad.nl,"95.101.111.151, 95.101.111.170","2a02:26f0:3500:14::1724:a254, 2a02:26f0:3500:14::1724:a24e","ad.dpp.edgekey.net, e15437.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],local.kcc.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],local.webwinkel.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],login.ad.nl,"23.3.88.99, 23.3.88.51","2a02:26f0:ab00::214:8e60, 2a02:26f0:ab00::214:8e68","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],login2.ad.nl,"95.101.74.150, 95.101.74.139","2a02:26f0:c900:9::5f65:4a8b, 2a02:26f0:c900:9::5f65:4a96","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],m.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],magiclink.ad.nl,,,d3j4h7m751u6hv.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,
[x],mailagent.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],marketingactie.ad.nl,"2.16.241.139, 2.16.241.160","2a02:26f0:480:c::210:f18b, 2a02:26f0:480:c::210:f1a0","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],mijn.ad.nl,"95.101.74.150, 95.101.74.139","2a02:26f0:c900:9::5f65:4a96, 2a02:26f0:c900:9::5f65:4a8b","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],mijnomgeving-acc.ad.nl,"23.47.144.147, 23.47.144.141","2600:1408:7400::17de:4fb1, 2600:1408:7400::17de:4fb2","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],mijnomgeving.ad.nl,"23.3.88.51, 23.3.88.99","2a02:26f0:ab00::214:8e68, 2a02:26f0:ab00::214:8e60","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],mobileapi.ad.nl,"95.101.133.51, 80.239.254.34","2001:2030:0:4e::50ef:9609, 2001:2030:0:4e::50ef:9643, 2001:2030:0:4e::50ef:964b, 2001:2030:0:4e::50ef:9628","ad.dpp.edgekey.net, e15437.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],mooisteshirt.ad.nl,93.119.11.64,,vps05.tdebv.nl,"ns-2003.awsdns-58.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1091.awsdns-08.org, ns-164.awsdns-20.com, ns-2003.awsdns-58.co.uk, ns-793.awsdns-35.net",,
[x],new.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],nieuw-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],nieuw.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],opzeggen.ad.nl,"2.19.195.202, 104.110.240.8","2a02:26f0:b200::58dd:1968, 2a02:26f0:b200::58dd:1963","ret.tapp.dpgmedia.cloud.edgekey.net, e123828.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],partnercontent.ad.nl,83.96.170.79,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],pelikaantje.valtaf.ad.nl,54.144.128.85,2602:fcbc:0:3::11,www.valtaf.nl,,NOERROR,,,,,,
[x],pmail.ad.nl,212.6.132.213,,,"ns0.isprit2.de, hostmaster.xq11.com",NOERROR,v=spf1 include:_spf.xqueue.com ~all,,,"ns1.isprit2.de, ns0.isprit2.de",mta.pf.xqueue.de,
[x],profcoach.ad.nl,"5.22.145.16, 5.22.145.121","2a00:18e0:5:3:dfe2:c743:85aa:61bc, 2a00:18e0:5:2:7577:4e4d:413b:f507",ad.profcoach.nl,"ns1.brandshelter.com, tech.brandshelter.com",NOERROR,,,,,,
[x],rondemaster.ad.nl,146.185.54.230,,www5515.persgroep.be,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s-acc.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s-nieuw-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s0-acc.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s0-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s0.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s1-acc.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s1-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s1.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s2-acc.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s2-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s2.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s3-acc.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s3-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s3.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s4-demo.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],s5592165a.ad.nl,54.144.128.85,2602:fcbc:0:3::11,,,NOERROR,,,,,,
[x],s5593a0af.ad.nl,54.144.128.85,,,,NOERROR,,,,,,
[x],scripts.ad.nl,145.222.41.95,,services.ad.nl,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],service.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],services.ad.nl,145.222.41.95,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],shop.ad.nl,,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],social.ad.nl,,,"accounts-ad-nl.sslproxy.gigya.com, sslproxy.eu1.gigya.com, lb.eu1.gigya.com","ns-1877.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],socialize.ad.nl,,,ad.nl.sslproxy.gigya.com,,NOERROR,,,,,,
[x],sportquiz.ad.nl,37.97.194.107,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],statics-acc.ad.nl,"95.101.74.150, 95.101.74.139","2a02:26f0:c900:9::5f65:4a8b, 2a02:26f0:c900:9::5f65:4a96","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],statics.ad.nl,"2.19.195.216, 104.110.240.9, 104.110.240.11, 2.19.195.193, 2.19.195.235","2a02:26f0:b200::58dd:1948, 2a02:26f0:b200::58dd:1951","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
