input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url
admin.lcx.com,Sign in ・ Cloudflare Access,200,28669,tech-lcx.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,tech-lcx.cloudflareaccess.com,cloudflare,443,https://admin.lcx.com:443,https,cloudflare,text/html,GET,104.22.3.151,/,174936072,2606:4700:10::6816:297,HSTS,79,False,True,https:,https://tech-lcx.cloudflareaccess.com/cdn-cgi/access/login/admin.lcx.com?kid=cefbb67dfa1baa48ffc19434ab8814518aa760d6cdd806131a045204fed301ec&redirect_url=%2F&meta=eyJraWQiOiJjMjBiZThhZGRlOWYwYWM4NDhjMzQ0NGZkMmQxZjVhZGU3YTNmNzU3NDkxOTkxOWFjNGE5Zjg1Nzc4ZDU5NTdiIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzgwMzcyMCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNlZmJiNjdkZmExYmFhNDhmZmMxOTQzNGFiODgxNDUxOGFhNzYwZDZjZGQ4MDYxMzFhMDQ1MjA0ZmVkMzAxZWMiLCJob3N0bmFtZSI6ImFkbWluLmxjeC5jb20iLCJhcHBfc2Vzc2lvbl9oYXNoIjoiNWU1YjM4YzUwZTdhM2E4MGJkOWZmNjVmNWVmY2E4YTZkNGM4ODc3NWNkNGFhNDkyMjM5MDUyOWMyMzJmYmI5NiIsIm5iZiI6MTY4MzgwMzcyMCwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.I4_zmMbOGewqMXgnk5JqSVu89eNqnN7Wj2E-J0yBkjEPMpoIp0y2tjEinYy5Vick4hwLluO13WYfvcO0dB29khToJ-ihOcqMbR1wLOcFL6aVrQ5phwHc2rp-eDI4eZPIwSsgHMMvR14DdNDHsVFDjaDSSOfo6gjk523lYJLfEbGc8Te0aWrn0j7rWShpZOGR1Lz5Daig07bpXP4fzTbPahage702eTSUPUoFjfmRdiBuXXQFsFqObBGeG_ixPKcounnpw08p5t2X7L-FrJnN38lR7rPuKD45GHIguwSU3uMaKHvpwWT2ZrH0PB3XryoBXq5Dqe-Ba2dN7qULiiGAPg
careers.lcx.com,Careers,200,65755,careers.lcx.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-12T10:39:56Z,2023-07-11T10:39:55Z,CN=careers.lcx.com,careers.lcx.com,,careers.lcx.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,83b5d0b67ada4a1c0d5c872daba589f3,173b45dbe50aaaefddb91e9c8c34de186d814e03e6a74cef247585538b1b6545,,ctls,careers.lcx.com,,443,https://careers.lcx.com:443,https,fwe,text/html,GET,52.21.222.227,/,1170961967,3.228.224.183,Ruby on Rails,1254,False,,https://talkgadget.google.com,https://careers.lcx.com/jobs
defi-api.lcx.com,Error,404,1360,defi-api.lcx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=lcx.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",lcx.com,"Cloudflare, Inc.",lcx.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b0705130630b93dfa1608d7b2b11ceb9,6c1493b97c1ffcaa02c424d14d06b5a75611d02d7818b86de0a1315dd6eaf563,True,ctls,defi-api.lcx.com,cloudflare,443,https://defi-api.lcx.com:443,https,cloudflare,text/html,GET,172.67.13.29,/,1593207841,2606:4700:10::6816:297,HSTS,11,False,True,,
exchange-api.lcx.com,502 Bad Gateway,502,1387,exchange-api.lcx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=lcx.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",lcx.com,"Cloudflare, Inc.",lcx.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b0705130630b93dfa1608d7b2b11ceb9,6c1493b97c1ffcaa02c424d14d06b5a75611d02d7818b86de0a1315dd6eaf563,True,ctls,exchange-api.lcx.com,cloudflare,443,https://exchange-api.lcx.com:443,https,cloudflare,text/html,GET,104.22.2.151,/,366277485,2606:4700:10::6816:297,Cloudflare Bot Management,8,False,True,,
exchange.lcx.com,LCX Exchange,200,3518,exchange.lcx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=lcx.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",lcx.com,"Cloudflare, Inc.",lcx.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b0705130630b93dfa1608d7b2b11ceb9,6c1493b97c1ffcaa02c424d14d06b5a75611d02d7818b86de0a1315dd6eaf563,True,ctls,exchange.lcx.com,cloudflare,443,https://exchange.lcx.com:443,https,cloudflare,text/html,GET,104.22.2.151,/,-1013771914,2606:4700:10::6816:297,Font Awesome,1,False,True,,
mm3.lcx.com,LCX Bots,200,4338,mm3.lcx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=lcx.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",lcx.com,"Cloudflare, Inc.",lcx.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b0705130630b93dfa1608d7b2b11ceb9,6c1493b97c1ffcaa02c424d14d06b5a75611d02d7818b86de0a1315dd6eaf563,True,ctls,mm3.lcx.com,cloudflare,443,https://mm3.lcx.com:443,https,cloudflare,text/html,GET,104.22.2.151,/,-254193850,2606:4700:10::6816:397,React,1,False,True,,
rp.lcx.com,Error,404,1360,rp.lcx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=lcx.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",lcx.com,"Cloudflare, Inc.",lcx.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b0705130630b93dfa1608d7b2b11ceb9,6c1493b97c1ffcaa02c424d14d06b5a75611d02d7818b86de0a1315dd6eaf563,True,ctls,rp.lcx.com,cloudflare,443,https://rp.lcx.com:443,https,cloudflare,text/html,GET,104.22.2.151,/,1593207841,2606:4700:10::6816:297,HSTS,11,False,True,,
shop.lcx.com,"LCX Merchandise Storee
– LCX.com",200,172512,shop.lcx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-19T03:25:22Z,2023-06-17T03:25:21Z,CN=shop.lcx.com,shop.lcx.com,,shop.lcx.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,235355e61a3f56a4e4a321b07ecf0fc8,0a235d7cb1f493b956652fd89f1d76e4980ed86717920b4bcfb420f793774860,,ctls,shop.lcx.com,,443,https://shop.lcx.com:443,https,cloudflare,text/html,GET,23.227.38.74,/,-1840324437,23.227.38.74,Shopify,3731,False,,,
terminal-files.lcx.com,,200,,terminal-files.lcx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=lcx.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",lcx.com,"Cloudflare, Inc.",lcx.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b0705130630b93dfa1608d7b2b11ceb9,6c1493b97c1ffcaa02c424d14d06b5a75611d02d7818b86de0a1315dd6eaf563,True,ctls,terminal-files.lcx.com,cloudflare,443,https://terminal-files.lcx.com:443,https,cloudflare,text/html,GET,104.22.3.151,/,-366337701,2606:4700:10::ac43:d1d,Cloudflare Bot Management,1,False,True,,
tiamonds-staging.lcx.com,Sign in ・ Cloudflare Access,200,28700,tech-lcx.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,tech-lcx.cloudflareaccess.com,cloudflare,443,https://tiamonds-staging.lcx.com:443,https,cloudflare,text/html,GET,104.22.3.151,/,-443988183,2606:4700:10::6816:397,HSTS,79,False,True,https:,https://tech-lcx.cloudflareaccess.com/cdn-cgi/access/login/tiamonds-staging.lcx.com?kid=b8e0e054c42fb47b39d43a004778940184af938b256c7a1bc7f8173d26e1b854&redirect_url=%2F&meta=eyJraWQiOiJjMjBiZThhZGRlOWYwYWM4NDhjMzQ0NGZkMmQxZjVhZGU3YTNmNzU3NDkxOTkxOWFjNGE5Zjg1Nzc4ZDU5NTdiIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzgwMzcyMCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImI4ZTBlMDU0YzQyZmI0N2IzOWQ0M2EwMDQ3Nzg5NDAxODRhZjkzOGIyNTZjN2ExYmM3ZjgxNzNkMjZlMWI4NTQiLCJob3N0bmFtZSI6InRpYW1vbmRzLXN0YWdpbmcubGN4LmNvbSIsImFwcF9zZXNzaW9uX2hhc2giOiIyZmZkMDViZDBjZDFkNDYwZWEzZjBkMmFmMDc4ZjI0ZDdiNTZiY2FmY2JmMWVlNDNlMWNlOTY3OGFjNTdhMjljIiwibmJmIjoxNjgzODAzNzIwLCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJtZXRhIiwicmVkaXJlY3RfdXJsIjoiXC8iLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX2RuIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sImF1dGhfc3RhdHVzIjoiTk9ORSJ9.I3v9r0gD7WK1LTe_qWAM2Gvb9ri1ibzGOSFYwoAILgZ18-k2T5PSBc6vQ8qajHyW_o_XTlJtzRkNmUpytESNSEk8-wkjmETq4TzZ6bNGkPUpHHdyakK9JJxwr2NyhEjRMExWLdZvTkpEYCLhZTxzxtOfEt07thjLGHe3193u2vzZAdkcVYWCpXGUwM1_Bb2t4GRWrB13FkmqbmfrHFtt1qBn6w39NA-eR1qA6DTzrE8owqmZK7FNob7Q9WpGY06WVwjNUEbFsKrnuAlVAfN2v3HDoSbvvbg2MJpxYMTuyoJuNzbmMPf71-ZjbvPwBWstYHZINk5Sc2GkAq7V6MRggQ
