new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,ns,txt,caa
,queue-management.ocio.monash.edu,"18.173.233.67, 18.173.233.20, 18.173.233.5, 18.173.233.69","ns-1329.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2440:3e00:3:1dfa:8b00:93a1, 2600:9000:2440:c600:3:1dfa:8b00:93a1, 2600:9000:2440:6400:3:1dfa:8b00:93a1, 2600:9000:2440:b200:3:1dfa:8b00:93a1, 2600:9000:2440:6a00:3:1dfa:8b00:93a1, 2600:9000:2440:8e00:3:1dfa:8b00:93a1, 2600:9000:2440:de00:3:1dfa:8b00:93a1, 2600:9000:2440:8c00:3:1dfa:8b00:93a1",d331wl2t902kvg.cloudfront.net,True,cloudfront,,,,"ns-978.awsdns-58.net, ns-1329.awsdns-38.org, ns-1729.awsdns-24.co.uk, ns-9.awsdns-01.com",,
,quokka.erc.monash.edu,118.138.242.193,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,racs.evigilation.monash.edu,"3.105.102.31, 52.63.89.107, 54.252.165.235, 205.251.192.38","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,"ns-38.awsdns-04.com, ns-1119.awsdns-11.org, ns-900.awsdns-48.net, ns-2012.awsdns-59.co.uk",,"quovadisglobal.com, mailto:cert-request-l@monash.edu, letsencrypt.org, sectigo.com, amazonaws.com"
,radio.monash.edu,"130.194.20.83, 34.208.115.61, 130.194.1.100, 130.194.1.101","ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,"2600:1f14:b07:3a06:5739:a91d:d6ca:8bc0, 2001:388:608c:284::1, 2001:388:608c:285::1, 2001:388:608c:8c1:250:56ff:fea4:869e",,,,,,,"ns4.its.monash.edu, ns3.its.monash.edu, ns5.its.monash.edu",v=spf1 -all,
,ralph.erc.monash.edu,172.16.240.15,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.16.240.15,,,,
,ralph1-01-h.erc.monash.edu,172.16.240.15,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.16.240.15,,,,
,ram.erc.monash.edu,118.138.234.201,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,rancherui-k8s.erc.monash.edu,118.138.246.78,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,ras-monpix-dev.ocio.monash.edu,130.194.22.5,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,2001:388:608c:8c1:250:56ff:fead:1885,,,,,,,,,
,rc-spca-temp01.erc.monash.edu,130.194.249.45,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,rc-spca-temp02.erc.monash.edu,130.194.249.46,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,rc-spca-temp03.erc.monash.edu,,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,rc-spca-temp04.erc.monash.edu,130.194.249.49,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,rcblog.erc.monash.edu,118.138.243.227,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,,,,,,
,rccomdc3-050-h.erc.monash.edu,172.16.240.112,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.16.240.112,,,,
,rcdome.mpc.monash.edu,172.23.132.27,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.23.132.27,,,,
,rclcm-01.mpc.monash.edu,172.23.132.34,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.23.132.34,,,,
,rcndcvc-01.mpc.monash.edu,"172.23.132.20, 34.208.115.61, 130.194.1.100, 130.194.1.101","ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,"2600:1f14:b07:3a06:5739:a91d:d6ca:8bc0, 2001:388:608c:284::1, 2001:388:608c:285::1",,,,True,172.23.132.20,,"ns3.its.monash.edu, ns5.its.monash.edu, ns4.its.monash.edu",,
,rcnsxt-03.mpc.monash.edu,"172.23.132.24, 34.208.115.61, 130.194.1.100, 130.194.1.101","ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,"2600:1f14:b07:3a06:5739:a91d:d6ca:8bc0, 2001:388:608c:284::1, 2001:388:608c:285::1",,,,True,172.23.132.24,,"ns3.its.monash.edu, ns5.its.monash.edu, ns4.its.monash.edu",,
,rcstordc3-002.erc.monash.edu,172.16.240.132,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.16.240.132,,,,
,rcv-ss-dc1c32-01-1g.erc.monash.edu,172.16.217.130,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.16.217.130,,,,
,rcv-ss-dc1c32-02-1g.erc.monash.edu,172.16.217.131,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.16.217.131,,,,
,rcv-ss-dc1c32-03-1g.erc.monash.edu,172.16.217.132,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.16.217.132,,,,
,rcv-ss-dc1c32-04-1g.erc.monash.edu,172.16.217.133,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.16.217.133,,,,
,rcv-ts4500-dc1-x51y06.erc.monash.edu,172.16.217.142,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.16.217.142,,,,
,rcvidm-01.mpc.monash.edu,172.23.132.1,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.23.132.1,,,,
,rcvidm-02.mpc.monash.edu,172.23.132.2,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.23.132.2,,,,
,rcvra-01.mpc.monash.edu,172.23.132.8,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.23.132.8,,,,
,rcvra-02.mpc.monash.edu,172.23.132.9,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.23.132.9,,,,
,rcvra-03.mpc.monash.edu,172.23.132.10,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.23.132.10,,,,
,rcvrli-01.mpc.monash.edu,172.23.132.31,"ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,,,,,True,172.23.132.31,,,,
,rcvrli-02.mpc.monash.edu,"172.23.132.32, 34.208.115.61, 130.194.1.100, 130.194.1.101","ns0.its.monash.edu.au, domain-req.monash.edu",NOERROR,"2600:1f14:b07:3a06:5739:a91d:d6ca:8bc0, 2001:388:608c:284::1, 2001:388:608c:285::1",,,,True,172.23.132.32,,"ns3.its.monash.edu, ns5.its.monash.edu, ns4.its.monash.edu",,
