input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,tech_,cdn,tls_expired,final_url,tls_mismatched,tls_wildcard_certificate,tls_self_signed,csp_domains_
ai.sensilab.monash.edu,ai.SensiLab,200,22222,443,https://ai.sensilab.monash.edu:443,https,UploadServer,text/html,GET,142.250.184.240,/,2028370544,2a00:1450:4001:831::2010,599,False,ai.sensilab.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:11Z,2023-07-17T12:00:10Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,d4a18b659aca5edf1871d4a94fae4fb9,286e81daae5f2cea898d6c13be440025ca4bd4ee33e43295ea38513f4d5be289,ctls,ai.sensilab.monash.edu,,HTTP/3,,,,True,True,,
allocate-qat.timetable.monash.edu,ERROR: The request could not be satisfied,502,507,443,https://allocate-qat.timetable.monash.edu:443,https,CloudFront,text/html,GET,52.222.236.118,/,-1335330715,52.222.236.36,16,False,allocate-qat.timetable.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2015-05-28T01:26:18Z,2018-05-28T01:26:16Z,"emailAddress=Jonathan.Trautman@monash.edu, CN=allocate-qat.timetable.monash.edu, OU=eSolutions, O=Monash University, L=Clayton, ST=VIC, C=AU, emailAddress=Jonathan.Trautman@monash.edu",allocate-qat.timetable.monash.edu,Monash University,wrb-qat.timetable.monash.edu.au,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,e98ee4f7721bb8b76def93231e591c50,2d54a362fe98f97bed3656c4ae9efe6ec2a5aba37252ef282e64d3d5bacc1028,ctls,allocate-qat.timetable.monash.edu,cloudfront,Amazon Web Services,True,True,,,,,
alumni-friends.monash.edu,,200,1345,443,https://alumni-friends.monash.edu:443,https,,text/html,GET,13.210.4.226,/,1433417005,13.210.6.164,45,False,alumni-friends.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-13T00:00:00Z,2023-12-13T23:59:59Z,"CN=alumni-friends.monash.edu, O=Monash University, ST=Victoria, C=AU",alumni-friends.monash.edu,Monash University,www.alumni-friends.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,662a40226554cf202f945875ea557761,b4817dcf1ae529d7ea367467bd20ca0e4358e34116e3cfcb79c97efff1552f7f,ctls,alumni-friends.monash.edu,,HSTS,,,https://alumni-friends.monash.edu/s/,,,,
alumni.monash.edu,Alumni - Monash University,200,293654,443,https://alumni.monash.edu:443,https,openresty,text/html,GET,130.194.11.126,/,1899630070,2001:388:608c:88b::7e,4953,False,www.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-09T00:00:00Z,2023-09-09T23:59:59Z,"CN=monash.edu, O=Monash University, ST=Victoria, C=AU",monash.edu,Monash University,www.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,dc0450457de4cefab8378429bf621b90,3c472e141b60d6820dba1472cfcb620d6b4415701bbf81a8940d03ea2eabb431,ctls,www.monash.edu,,Squiz Matrix,,,https://www.monash.edu/alumni,,,,
amigo-qa.monash.edu,Error 404 (Not Found)!!1,404,1561,80,http://amigo-qa.monash.edu:80,http,ghs,text/html,GET,216.239.36.21,/,302920777,2001:4860:4802:36::15,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
amigo-qat.apps.monash.edu,Site Not Found,404,10735,443,https://amigo-qat.apps.monash.edu:443,https,,text/html,GET,45.60.34.202,/,-1681147584,45.60.34.202,107,False,amigo-qat.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2018-04-10T05:58:13Z,2020-04-10T06:08:00Z,"CN=amigo.apps.monash.edu, O=Monash University, L=Clayton, ST=Victoria, C=AU",amigo.apps.monash.edu,Monash University,amigo.apps.monash.edu.au,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,3c64abe1257d75a474a631e2c8991888,c2d75ac4c59b1a57e9a5b0981e509145ecdb5ccdf8fd2e3b7c45e0db2153f4d4,ctls,amigo-qat.apps.monash.edu,incapsula,Imperva,True,True,,,,,
amigo-uat.apps.monash.edu,Monash,200,4170,443,https://amigo-uat.apps.monash.edu:443,https,Google Frontend,text/html,GET,45.60.34.202,/,2092667693,45.60.34.202,1,False,amigo-uat.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-08T23:59:59Z,"CN=amigo-uat.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",amigo-uat.apps.monash.edu,Monash University,www.amigo-uat.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,58b242954e00351bfb338cb063d34ece,91e560520d487fabb137304348b1b2a64b3648bd586bd6b4b64884c93aa96095,ctls,amigo-uat.apps.monash.edu,incapsula,Node.js,True,,,,,,
amigo.apps.monash.edu,Monash,200,4249,443,https://amigo.apps.monash.edu:443,https,Google Frontend,text/html,GET,45.60.34.202,/,2092667693,45.60.34.202,1,False,amigo.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-01T00:00:00Z,2023-06-01T23:59:59Z,"CN=amigo.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",amigo.apps.monash.edu,Monash University,www.amigo.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,747940fb97970ac58fd6d0658111d1f3,35832d6a71507b47eed8a57458c8565316cfd4575f426caa61142fb6b0bdb14d,ctls,amigo.apps.monash.edu,incapsula,Node.js,True,,,,,,
amigo.monash.edu,Error 404 (Not Found)!!1,404,1561,80,http://amigo.monash.edu:80,http,ghs,text/html,GET,216.239.36.21,/,302920777,2001:4860:4802:36::15,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
amigospring-qat.apps.monash.edu,Error 404 (Not Found)!!1,404,1561,80,http://amigospring-qat.apps.monash.edu:80,http,ghs,text/html,GET,142.250.184.243,/,302920777,2a00:1450:4001:831::2013,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
amr.erc.monash.edu,,403,849,443,https://amr.erc.monash.edu:443,https,,text/html,GET,45.60.34.202,/,900390611,45.60.34.202,1,False,amr.erc.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2024-04-30T23:59:59Z,"CN=amr.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",amr.erc.monash.edu,Monash University,amr.erc.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3c85273d14c5faf5f7963d2123a9dce3,6fa1a10fb75c669114e92412a96f54610ae67c32c5b46612cd4858213a31f27b,ctls,amr.erc.monash.edu,incapsula,Imperva,True,,,,,,
analytics.mcgroup.monash.edu,Please sign in,403,2257,443,https://analytics.mcgroup.monash.edu:443,https,,text/html,GET,143.204.215.60,/,1410305540,2600:9000:214f:2600:19:afe8:ae80:93a1,88,False,analytics.mcgroup.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-11T00:00:00Z,2024-01-11T23:59:59Z,"CN=analytics.mcgroup.monash.edu, O=Monash University, ST=Victoria, C=AU",analytics.mcgroup.monash.edu,Monash University,shinyserver.mcgroup.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,5fd9d4da83edd46f349225d407c7b0c2,7fbe014c686e10c967b738d276aee40e2f372dccde73df1f0969f82418acaf2b,ctls,analytics.mcgroup.monash.edu,cloudfront,Amazon Web Services,True,,,,,,
anatomedia.med.monash.edu,"Faculty of Medicine, Nursing and Health Sciences, Undergraduate Student Software",200,8677,443,https://anatomedia.med.monash.edu:443,https,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/5.6.40,text/html,GET,130.194.20.213,/,-366337701,130.194.20.213,154,False,anatomedia.med.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=ilearn.med.monash.edu, O=Monash University, ST=Victoria, C=AU",ilearn.med.monash.edu,Monash University,tsg-dha.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3b873a87d84079285877c6402ba810bc,5fc6b4eece9d6122762f07a73debd7dce0650d9071823b5f9ffe361a208f5dfb,ctls,anatomedia.med.monash.edu,,Red Hat,,,,,,,
anatomydevbiol.med.monash.edu,"Faculty of Medicine, Nursing and Health Sciences, Undergraduate Student Software",200,7523,443,https://anatomydevbiol.med.monash.edu:443,https,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/5.6.40,text/html,GET,130.194.20.213,/,-366337701,130.194.20.213,151,False,anatomydevbiol.med.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=ilearn.med.monash.edu, O=Monash University, ST=Victoria, C=AU",ilearn.med.monash.edu,Monash University,tsg-dha.med.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,3b873a87d84079285877c6402ba810bc,5fc6b4eece9d6122762f07a73debd7dce0650d9071823b5f9ffe361a208f5dfb,ctls,anatomydevbiol.med.monash.edu,,Red Hat,,,,,,,
aoard2.erc.monash.edu,Index of /,200,4081,443,https://aoard2.erc.monash.edu:443,https,Apache,text/html,GET,118.138.242.159,/,-780928015,118.138.242.159,31,False,aoard2.erc.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,"CN=aoard2.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",aoard2.erc.monash.edu,Monash University,aoard2.erc.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,432802acfef8003471300a070890e52a,48f2962ba2276cab20f5a6543bb2dade8fbb17d1a706d796f1ca50e390d561b1,ctls,aoard2.erc.monash.edu,,HSTS,,,,,,,
apcs.erc.monash.edu,,403,843,80,http://apcs.erc.monash.edu:80,http,,text/html,GET,45.60.34.202,/,-1084732336,45.60.34.202,1,False,,,,,,,,,,,,,,,,,,,incapsula,Imperva,True,,,,,,
aperio-em1.erc.monash.edu,eSlideManager - Login,200,8332,443,https://aperio-em1.erc.monash.edu:443,https,Apache,text/html,GET,118.138.235.154,/,-366337701,118.138.235.154,221,False,aperio-em1.erc.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2020-08-19T01:57:50Z,2022-08-19T02:07:00Z,"CN=aperio-em1.erc.monash.edu, O=Monash University, L=Clayton, ST=Victoria, C=AU",aperio-em1.erc.monash.edu,Monash University,scanner1.monash.edu,"CN=QuoVadis Global SSL ICA G3, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G3,QuoVadis Limited,eaf9d25a4bec4744831aec1869a5351d,7776e5d01dfe01dc100f3603a4315012f3abb325811f84b97fa0bc3f48706c51,ctls,aperio-em1.erc.monash.edu,,PHP,,True,https://aperio-em1.erc.monash.edu/Login.php,,,,
aperio-em2.erc.monash.edu,eSlideManager - Login,200,7813,443,https://aperio-em2.erc.monash.edu:443,https,Apache,text/html,GET,118.138.242.157,/,-366337701,118.138.242.157,207,False,aperio-em2.erc.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=aperio-em2.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",aperio-em2.erc.monash.edu,Monash University,scanner.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9cc04af7627abd938603468b98c6b43b,10d5d4e161091ddb0ed5776eed39d656175e5a21ae4349388bca81c1911c3938,ctls,aperio-em2.erc.monash.edu,,PHP,,,https://aperio-em2.erc.monash.edu/Login.php,,,,
aperio-ih5.erc.monash.edu,403 Forbidden,403,209,443,https://aperio-ih5.erc.monash.edu:443,https,Apache,text/html,GET,118.138.242.145,/,-2034643550,118.138.242.145,10,False,aperio-ih5.erc.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=aperio-em2.erc.monash.edu, O=Monash University, ST=Victoria, C=AU",aperio-em2.erc.monash.edu,Monash University,scanner.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9cc04af7627abd938603468b98c6b43b,10d5d4e161091ddb0ed5776eed39d656175e5a21ae4349388bca81c1911c3938,ctls,aperio-ih5.erc.monash.edu,,Apache,,,,,,,
api.apps.cloud.monash.edu,,404,19,443,https://api.apps.cloud.monash.edu:443,https,,text/plain,GET,118.138.233.129,/,-138391155,118.138.233.129,2,False,api.apps.cloud.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T00:55:18Z,2023-07-18T00:55:17Z,CN=api.apps.cloud.monash.edu,api.apps.cloud.monash.edu,,api.apps.cloud.monash.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,122c1fdc09dc9240e30765a557c0335a,886b939cd96b2e2c4c0b86f6ea9858d2407127ce8f5e9e5fcc95a96ec5ff9923,ctls,api.apps.cloud.monash.edu,,,,,,,,,
api.graduate-search-dev.monash.edu,,403,42,443,https://api.graduate-search-dev.monash.edu:443,https,,application/json,GET,45.60.34.202,/,768769774,45.60.34.202,1,False,api.graduate-search-dev.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2023-12-07T23:59:59Z,"CN=api.graduate-search-dev.monash.edu, O=Monash University, ST=Victoria, C=AU",api.graduate-search-dev.monash.edu,Monash University,api.graduate-search-dev.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,cc000b35df285d464d82905560af9834,f3e9405cbde4752119b0f0db36b82b3f08c8d369c6514a6d992e709a325893f3,ctls,api.graduate-search-dev.monash.edu,incapsula,Imperva,True,,,,,,
api.graduate-search-qat.monash.edu,,403,42,443,https://api.graduate-search-qat.monash.edu:443,https,,application/json,GET,45.60.34.202,/,768769774,45.60.34.202,1,False,api.graduate-search-qat.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2023-12-07T23:59:59Z,"CN=api.graduate-search-qat.monash.edu, O=Monash University, ST=Victoria, C=AU",api.graduate-search-qat.monash.edu,Monash University,api.graduate-search-qat.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2a6644da7128074ada2dc00c94f3d7a9,75a43fd98a5298c62ed1c8bcab6ce77e00293ca0f06eb86450ea012f705bf658,ctls,api.graduate-search-qat.monash.edu,incapsula,Imperva,True,,,,,,
api.graduate-search.monash.edu,,403,42,443,https://api.graduate-search.monash.edu:443,https,,application/json,GET,45.60.34.202,/,768769774,45.60.34.202,1,False,api.graduate-search.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2023-12-07T23:59:59Z,"CN=api.graduate-search.monash.edu, O=Monash University, ST=Victoria, C=AU",api.graduate-search.monash.edu,Monash University,api.graduate-search.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,faaa2969d138051de0a0863c861896ff,a7b4b40ed0d5c95656a9303b906ae9c247f328dd4659c3f2935293bc07d3e921,ctls,api.graduate-search.monash.edu,incapsula,Imperva,True,,,,,,
appdev.med.monash.edu,,200,397,443,https://appdev.med.monash.edu:443,https,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/5.6.40,text/html,GET,52.64.102.237,/,-366337701,13.238.209.198,26,False,appdev.med.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-20T00:00:00Z,2023-10-20T23:59:59Z,"CN=appdev.med.monash.edu, O=Monash University, ST=Victoria, C=AU",appdev.med.monash.edu,Monash University,med-web08-v20.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,05c64035c69355f9f50ca9545e5fe426,2e6e8c04ea77fcd93b71988f9def3c021da61d488e1e80da0c039fa1959bc86b,ctls,appdev.med.monash.edu,,Red Hat,,,,,,,
