input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,tech_,lines,content_type,cdn
pr1144-gl.preprod.lululemon.com,Access Denied,,288,pr1144-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1144-gl.preprod.lululemon.com,443,https://pr1144-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1157-gl.preprod.lululemon.com,Access Denied,,288,pr1157-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1157-gl.preprod.lululemon.com,443,https://pr1157-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1159-gl.preprod.lululemon.com,Access Denied,,288,pr1159-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1159-gl.preprod.lululemon.com,443,https://pr1159-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1165-gl.preprod.lululemon.com,Access Denied,,288,pr1165-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1165-gl.preprod.lululemon.com,443,https://pr1165-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1166-gl.preprod.lululemon.com,Access Denied,,288,pr1166-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1166-gl.preprod.lululemon.com,443,https://pr1166-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1174-gl.preprod.lululemon.com,Access Denied,,288,pr1174-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1174-gl.preprod.lululemon.com,443,https://pr1174-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1175-gl.preprod.lululemon.com,Access Denied,,288,pr1175-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1175-gl.preprod.lululemon.com,443,https://pr1175-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1176-gl.preprod.lululemon.com,Access Denied,,288,pr1176-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1176-gl.preprod.lululemon.com,443,https://pr1176-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1177-gl.preprod.lululemon.com,Access Denied,,288,pr1177-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1177-gl.preprod.lululemon.com,443,https://pr1177-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1182-gl.preprod.lululemon.com,Access Denied,,288,pr1182-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1182-gl.preprod.lululemon.com,443,https://pr1182-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1183-gl.preprod.lululemon.com,Access Denied,,288,pr1183-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1183-gl.preprod.lululemon.com,443,https://pr1183-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1184-gl.preprod.lululemon.com,Access Denied,,288,pr1184-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1184-gl.preprod.lululemon.com,443,https://pr1184-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1188-gl.preprod.lululemon.com,Access Denied,,288,pr1188-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1188-gl.preprod.lululemon.com,443,https://pr1188-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1189-gl.preprod.lululemon.com,Access Denied,,288,pr1189-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1189-gl.preprod.lululemon.com,443,https://pr1189-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1190-gl.preprod.lululemon.com,Access Denied,,288,pr1190-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1190-gl.preprod.lululemon.com,443,https://pr1190-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr1191-gl.preprod.lululemon.com,Access Denied,,288,pr1191-gl.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr1191-gl.preprod.lululemon.com,443,https://pr1191-gl.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr123.preprod.lululemon.com,Access Denied,,280,pr123.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr123.preprod.lululemon.com,443,https://pr123.preprod.lululemon.com:443,https,AkamaiGHost,GET,95.100.64.221,HSTS,10,text/html,
pr134.preprod.lululemon.com,Access Denied,,280,pr134.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr134.preprod.lululemon.com,443,https://pr134.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr14.preprod.lululemon.com,Access Denied,,279,pr14.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr14.preprod.lululemon.com,443,https://pr14.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr144.preprod.lululemon.com,Access Denied,,280,pr144.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr144.preprod.lululemon.com,443,https://pr144.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr146.preprod.lululemon.com,Access Denied,,280,pr146.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr146.preprod.lululemon.com,443,https://pr146.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr151.preprod.lululemon.com,Access Denied,,280,pr151.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr151.preprod.lululemon.com,443,https://pr151.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr153.preprod.lululemon.com,Access Denied,,280,pr153.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr153.preprod.lululemon.com,443,https://pr153.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr158.preprod.lululemon.com,Access Denied,,280,pr158.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr158.preprod.lululemon.com,443,https://pr158.preprod.lululemon.com:443,https,AkamaiGHost,GET,95.100.64.221,HSTS,10,text/html,
pr160.preprod.lululemon.com,Access Denied,,280,pr160.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr160.preprod.lululemon.com,443,https://pr160.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr161.preprod.lululemon.com,Access Denied,,280,pr161.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr161.preprod.lululemon.com,443,https://pr161.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr165.preprod.lululemon.com,Access Denied,,280,pr165.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr165.preprod.lululemon.com,443,https://pr165.preprod.lululemon.com:443,https,AkamaiGHost,GET,95.100.64.221,HSTS,10,text/html,
pr166.preprod.lululemon.com,Access Denied,,280,pr166.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr166.preprod.lululemon.com,443,https://pr166.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr167.preprod.lululemon.com,Access Denied,,280,pr167.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr167.preprod.lululemon.com,443,https://pr167.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr168.preprod.lululemon.com,Access Denied,,280,pr168.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr168.preprod.lululemon.com,443,https://pr168.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr169.preprod.lululemon.com,Access Denied,,280,pr169.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr169.preprod.lululemon.com,443,https://pr169.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr170.preprod.lululemon.com,Access Denied,,280,pr170.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr170.preprod.lululemon.com,443,https://pr170.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr171.preprod.lululemon.com,Access Denied,,280,pr171.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr171.preprod.lululemon.com,443,https://pr171.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr172.preprod.lululemon.com,Access Denied,,280,pr172.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr172.preprod.lululemon.com,443,https://pr172.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr173.preprod.lululemon.com,Access Denied,,280,pr173.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr173.preprod.lululemon.com,443,https://pr173.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr174.preprod.lululemon.com,Access Denied,,280,pr174.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr174.preprod.lululemon.com,443,https://pr174.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr185.preprod.lululemon.com,Access Denied,,280,pr185.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr185.preprod.lululemon.com,443,https://pr185.preprod.lululemon.com:443,https,AkamaiGHost,GET,95.100.64.221,HSTS,10,text/html,
pr186.preprod.lululemon.com,Access Denied,,280,pr186.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr186.preprod.lululemon.com,443,https://pr186.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr188.preprod.lululemon.com,Access Denied,,280,pr188.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr188.preprod.lululemon.com,443,https://pr188.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr189.preprod.lululemon.com,Access Denied,,280,pr189.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr189.preprod.lululemon.com,443,https://pr189.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr191.preprod.lululemon.com,Access Denied,,280,pr191.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr191.preprod.lululemon.com,443,https://pr191.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr192.preprod.lululemon.com,Access Denied,,280,pr192.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr192.preprod.lululemon.com,443,https://pr192.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr194.preprod.lululemon.com,Access Denied,,280,pr194.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr194.preprod.lululemon.com,443,https://pr194.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr195.preprod.lululemon.com,Access Denied,,280,pr195.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr195.preprod.lululemon.com,443,https://pr195.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
pr196.preprod.lululemon.com,Access Denied,,280,pr196.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,pr196.preprod.lululemon.com,443,https://pr196.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
