input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,webserver,csp_domains_,final_url
acc-evenement.vng.nl,,200,172,acc-evenement.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,Vereniging van Nederlandse Gemeenten,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,acc-evenement.vng.nl,80,http://acc-evenement.vng.nl:80,http,text/html,GET,185.12.122.144,/,1631801191,2a07:3506:c1::240,Windows Server,5,False,,,,Microsoft-IIS/10.0,URL=https://www.vngconnect.nl,https://acc-evenement.vng.nl/
autodiscover.ka.vng.nl,Sign in to Outlook,200,198020,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,80,http://autodiscover.ka.vng.nl:80,http,text/html,GET,52.97.189.104,/,-1249852061,2603:1026:c0d:74::8,HSTS,173,False,,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=1b7d31f6-3ddb-f397-724e-d24aa83b01ed&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=ka.vng.nl&nonce=638195183329748870.1252cc7b-9e41-4eae-8413-7e8331edaf7f&state=DYtBEsIgDABB36I3aAPUhEPHt0RIHcdaZqri981h97RrjTFH5aDYUWXwEgnyBBRjyJiIcPQQplAK3lyWBC4Ji6ME0aFoBVJ5wcXqexraj4frLry-5if7vt39tp57nfn7afXxLq3L_gc
autodiscover.vng.nl,Sign in to Outlook,200,201274,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,80,http://autodiscover.vng.nl:80,http,text/html,GET,40.99.149.168,/,-1249852061,2603:1026:c0d:82f::8,HSTS,173,False,,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=c1f2ff7f-1ec6-7e51-d52b-8e8d95afe2c7&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=vng.nl&nonce=638195183280893478.0eabcfed-dde0-4bd8-a3f8-3817265eb215&state=DYs5DoMwEADt8JMU6Qw-MF4KlLes2SWKRLDEYb6fLWaqGa2UaoSHoK1IpSGAG6OD4MHCGPoErWXM88JkiNiaPhMYDAsYKZMfImfvopb32ZUbu_fOuP6mun3abX1VmvA6C32PuVTe_w
dego.vng.nl,Datavoorziening Energietransitie Gebouwde Omgeving,200,5762,dego.vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-09T12:53:31Z,2023-07-08T12:53:30Z,CN=dego.vng.nl,dego.vng.nl,,dego.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4a4ff9dbd45446087c2160b3d971335d,534403b70a102988dcf453dcb0352e3cc2982e67229d92302fece75f72cbf306,,ctls,dego.vng.nl,443,https://dego.vng.nl:443,https,text/html,GET,51.138.85.41,/,839125802,51.138.85.41,Nginx,1,False,,azure,True,nginx,,
enterpriseenrollment.vng.nl,Microsoft Intune admin center,200,39861,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,80,http://enterpriseenrollment.vng.nl:80,http,text/html,GET,52.236.189.96,/,1631801191,52.236.189.96,HSTS,4,False,,azure,True,,,https://intune.microsoft.com/
enterpriseregistration.vng.nl,Service,404,1565,enterpriseregistration.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,True,ctls,enterpriseregistration.vng.nl,443,https://enterpriseregistration.vng.nl:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,azure,True,,,
evenement.vng.nl,,200,172,evenement.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,Vereniging van Nederlandse Gemeenten,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,evenement.vng.nl,443,https://evenement.vng.nl:443,https,text/html,GET,185.12.122.144,/,1631801191,2a07:3506:c1::240,Windows Server,5,False,,,,Microsoft-IIS/10.0,URL=https://www.vngconnect.nl,
forum.vng.nl,Welkom op VNG Fora - VNG Fora,200,15822,forum.vng.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-15T00:00:00Z,2024-03-01T23:59:59Z,CN=forum.vng.nl,forum.vng.nl,,forum.vng.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0e1f3f1cddaa9c3864f17d2897274dd3,7272f8427f86291f3766586dab5b9360685be6eafb84ef309b90048d25949af9,,ctls,forum.vng.nl,443,https://forum.vng.nl:443,https,text/html,GET,178.22.56.181,/,1032302304,178.22.56.181,Nginx,147,False,,,,nginx,,https://forum.vng.nl/do/wbhome?id=123-767762686f6d
gis.vng.nl,,200,20,gis.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,Vereniging van Nederlandse Gemeenten,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,gis.vng.nl,80,http://gis.vng.nl:80,http,text/html,GET,185.12.122.144,/,1631801191,185.12.122.144,Windows Server,1,False,,,,Microsoft-IIS/10.0,,https://gis.vng.nl/
governance.vng.nl,Home,200,7934,governance.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,Vereniging van Nederlandse Gemeenten,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,governance.vng.nl,443,https://governance.vng.nl:443,https,text/html,GET,185.12.122.144,/,1772087922,2a07:3506:c1::240,HSTS,164,False,,,,,,
