new,host,a,aaaa,soa,status_code,cname,cdn,cdn-name,txt,caa,ns,has_internal_ips,internal_ips,mx
[x],acc-evenement.vng.nl,185.12.122.144,2a07:3506:c1::240,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],autodiscover.ka.vng.nl,"40.99.149.216, 52.97.135.104, 52.98.175.8, 40.99.150.24","2603:1026:c0d:807::8, 2603:1026:c0d:828::8, 2603:1026:c0d:803::8, 2603:1026:c0d:81a::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],autodiscover.vng.nl,"52.97.188.72, 40.99.149.104, 52.97.189.72","2603:1026:c0d:802::8, 2603:1026:c0d:c03::8, 2603:1026:c0d:c2c::8, 2603:1026:c0d:82f::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
[x],communities.vng.nl,82.201.7.6,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],dego.vng.nl,51.138.85.41,,"ns0.transip.net, hostmaster.transip.nl",NOERROR,"dego-vng-nl.commondatafactory.nl, traefik.cluster-azure-data-prod.haven.vng.cloud",True,azure,,,,,,
[x],dialin.vng.nl,52.112.196.45,2603:1027:0:48::21,"admin.nsatc.net, dns.level3.net",NOERROR,webdir.online.lync.com,,,,,,,,
[x],enterpriseenrollment.vng.nl,52.236.189.96,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com",True,azure,,,,,,
[x],enterpriseregistration.vng.nl,20.190.137.40,,"internal.akadns.net, hostmaster.akamai.com",NOERROR,"EnterpriseRegistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net",True,azure,,,,,,
[x],evenement.vng.nl,185.12.122.144,2a07:3506:c1::240,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],forum.vng.nl,178.22.56.181,,"ns1.sqr.nl, hostmaster.viadesk.com",NOERROR,forumvng.viadesk.com,,,,,,,,mail1.viadesk.net
[x],gis.vng.nl,185.12.122.144,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],gis2.vng.nl,185.12.122.144,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],governance.vng.nl,185.12.122.144,2a07:3506:c1::240,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],hybrid.vng.nl,185.12.122.144,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],inlener.vng.nl,185.46.183.89,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],jdb.vng.nl,,2a07:3506:c1::240,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],kompas.vng.nl,83.149.99.35,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,"kompas-vng.peertech.io, s3.peertech.io",,,,,,,,
[x],leeraanbod.vng.nl,31.186.172.113,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],localhost.ondernemersfondsen.nl,127.0.0.1,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,True,127.0.0.1,
[x],lyncdiscover.vng.nl,52.112.193.16,2603:1027:0:2::e,"admin.nsatc.net, dns.level3.net",NOERROR,webdir.online.lync.com,,,,,,,,
[x],mailing.vng.nl,"46.31.51.37, 46.31.51.38, 46.31.51.35, 46.31.51.36","2a02:23e8:200::49:153, 2a02:23e8:200::49:154","ns1.as51514.net, operations.spotler.services",NOERROR,clicks.mailplus.nl,,,v=spf1 include:mailplus.nl -all,"mailto:caa@spotler.services, digicert.com, entrust.net, letsencrypt.org",,,,
[x],meerjarenvisie.vng.nl,185.135.12.253,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],meet.vng.nl,52.112.192.142,2603:1027:0:48::21,"admin.nsatc.net, dns.level3.net",NOERROR,webdir.online.lync.com,,,,,,,,
[x],ondernemersfondsen.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,"ns1.kpn.net, ns11.kpn.net",,,
[x],ontwerptoolomgevingsplan.vng.nl,136.144.172.89,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],oovpn.vng.nl,185.12.122.156,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],pdc-acc.data.vng.nl,52.148.193.2,fe80::20d:3aff:fe2e:966b,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,pdc-acc.vng.nl,True,azure,,,"ns1.premium-dns.net, ns2.premium-dns.net, ns3.premium-dns.net, ns4.premium-dns.net",True,fe80::20d:3aff:fe2e:966b,
[x],pdc-acc.vng.nl,52.148.193.2,fe80::20d:3aff:fe2e:966b,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,True,azure,,,"ns1.premium-dns.net, ns2.premium-dns.net, ns3.premium-dns.net, ns4.premium-dns.net",True,fe80::20d:3aff:fe2e:966b,
[x],pdc.vng.nl,20.107.8.142,e80::20d:3aff:fe23:af78,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],praktijkvoorbeelden.vng.nl,185.135.12.253,2a06:efc0:3::253:0,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],sts.vng.nl,185.12.122.144,,"ns1.premium-dns.net, hostmaster.vng.nl",NOERROR,,,,,,,,,
[x],syncs.vng.nl,40.127.140.139,,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,"syncs-vvng.msappproxy.net, 6ef029ab-3fd7-4d98-9b0e-d1f5fedea6d1.tenant.runtime.msappproxy.net, cwap-eur2-runtime.routing.msappproxy.net, eur.proxy-2.appproxy.msidentity.com, www.tm.eur.proxy-2.appproxy.trafficmanager.net",True,azure,,,,,,
