new,host,a,soa,status_code,aaaa,mx,ns,txt,caa,cname,cdn,cdn-name
[x],academy.btse.com,,"a1-119.akam.net, admin.btse.com",NOERROR,,,,,,,,
[x],api.btse.com,"104.18.40.153, 172.64.147.103","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700:4400::ac40:9367, 2606:4700:4400::6812:2899",,,,,api.btse.com.cdn.cloudflare.net,True,cloudflare
[x],api2.btse.com,45.60.198.35,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,,,,,,4ft2vjz.x.incapdns.net,True,incapsula
[x],assets.btse.com,18.142.181.115,"a1-119.akam.net, admin.btse.com",NOERROR,,,,,,,,
[x],aws-api.btse.com,"13.114.115.91, 54.168.12.102","ns-1683.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,btse-prod-aws-nginx-apn1-1147501686.ap-northeast-1.elb.amazonaws.com,,
[x],aws-ws.btse.com,"13.114.115.91, 54.168.12.102","ns-1683.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,btse-prod-aws-nginx-apn1-1147501686.ap-northeast-1.elb.amazonaws.com,,
[x],bgpc.btse.com,1.32.214.137,"a1-119.akam.net, admin.btse.com",NOERROR,,,,,,,,
[x],blog.btse.com,16.163.14.246,"a1-119.akam.net, admin.btse.com",NOERROR,,,,,,,,
[x],btse.com,"23.206.40.232, 96.7.49.65, 23.61.199.66, 193.108.91.119, 184.26.161.66, 23.211.61.67, 23.74.25.64","a1-119.akam.net, admin.btse.com",NOERROR,"2600:1408:7400:1b2::38b3, 2600:1408:7400:1ad::38b3","alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, aspmx.l.google.com","a7-66.akam.net, a14-66.akam.net, a26-64.akam.net, a22-67.akam.net, a1-119.akam.net, a3-65.akam.net","facebook-domain-verification=h0r0o5wpika8uxdye6zu1gsnt1rwix, google-site-verification=OSXGYKVJ9-3LGQp8TTSFb27gl5iQcCJB_hMTECrd8Zc, _globalsign-domain-verification=L5ZYXDD6qqwlOjxQIoWp5k1FE8Ohdh2YhJbUK0TYAd, google-site-verification=D_v4SUrZF5AMlDT_Abr2kM24NlcH8pij-Sw8es0QOII, v=spf1 include:_spf.google.com include:sendgrid.net include:_spf.mlsend.com ~all, google-site-verification=5o2uTki6S14GHyIcQmdjajWdd0kWTrJnYegTy6tIw-8, google-site-verification=too0Epi9BJpHPCgY8ErsP41gYm76xs12mRpHSxw1Xaw","digicert.com, sectigo.com, ;, mailto:infra@nogle.com, amazon.com, godaddy.com",,,
[x],cntest.btse.com,142.4.58.34,"a1-119.akam.net, admin.btse.com",NOERROR,,,,,,,,
