input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,final_url,csp_domains_,tls_expired
155-9-60-11.aggtest.indeed.com,404 Not Found,404,146,155-9-60-11.aggtest.indeed.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-27T00:00:00Z,2023-11-21T23:59:59Z,"CN=*.indeed.com, O=Indeed\, Inc., L=Austin, ST=Texas, C=US",*.indeed.com,jobs.vn.canary.indeed.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ccbf1e305191845f25af8ed3833f280e,614615bf5de37399b0e82504b0eaaa1945dd79371d1eaaea1c37aab8e7e91450,ctls,155-9-60-11.aggtest.indeed.com,,443,https://155-9-60-11.aggtest.indeed.com:443,https,nginx,text/html,GET,198.58.75.28,/,1494302000,198.58.75.28,Nginx,8,False,,"Indeed, Inc.",True,True,,,
17-121-123-90.aggtest.indeed.com,404 Not Found,404,548,17-121-123-90.aggtest.indeed.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-27T00:00:00Z,2023-11-21T23:59:59Z,"CN=*.indeed.com, O=Indeed\, Inc., L=Austin, ST=Texas, C=US",*.indeed.com,jobs.vn.canary.indeed.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ccbf1e305191845f25af8ed3833f280e,614615bf5de37399b0e82504b0eaaa1945dd79371d1eaaea1c37aab8e7e91450,ctls,17-121-123-90.aggtest.indeed.com,,443,https://17-121-123-90.aggtest.indeed.com:443,https,nginx,text/html,GET,198.58.75.28,/,566218143,198.58.75.28,Nginx,14,False,,"Indeed, Inc.",True,True,,,
aardvark.chatbot.indeed.tech,403 Forbidden,403,520,aardvark.chatbot.indeed.tech,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-26T00:00:00Z,2024-03-27T23:59:59Z,CN=aardvark.chatbot.indeed.tech,aardvark.chatbot.indeed.tech,aardvark.chatbot.indeed.tech,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fa205b27a4cd893fb2a67bad3e3475f8,f0eaeb024b5a7c70a008f68375eb10b0ba36c4330d24004bd626a92de791215f,ctls,aardvark.chatbot.indeed.tech,,443,https://aardvark.chatbot.indeed.tech:443,https,awselb/2.0,text/html,GET,52.48.116.209,/,2095155567,52.212.15.85,,13,False,,,,,,,
aarp.indeed.com,Just a moment...,403,7064,aarp.indeed.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-09T00:00:00Z,2024-01-09T23:59:59Z,"CN=indeed.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",indeed.com,*.indeed.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c013e41270359a30e41c2bf377aa9802,0cce371e21307532f9271dae80a3256494cc7fdf04e771f09f0fdd857634e18a,ctls,aarp.indeed.com,cloudflare,443,https://aarp.indeed.com:443,https,cloudflare,text/html,GET,162.159.130.67,/,-1379115042,162.159.129.67,HTTP/3,87,False,True,"Cloudflare, Inc.",True,,,,
about.indeed.com,Just a moment...,403,6966,about.indeed.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-09T00:00:00Z,2024-01-09T23:59:59Z,"CN=indeed.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",indeed.com,*.indeed.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c013e41270359a30e41c2bf377aa9802,0cce371e21307532f9271dae80a3256494cc7fdf04e771f09f0fdd857634e18a,ctls,about.indeed.com,cloudflare,443,https://about.indeed.com:443,https,cloudflare,text/html,GET,162.159.129.67,/,1565538222,162.159.130.67,HTTP/3,87,False,True,"Cloudflare, Inc.",True,,,,
accesselasticbeanstalkstaging.aggtest.indeed.com,404 Not Found,404,146,accesselasticbeanstalkstaging.aggtest.indeed.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-27T00:00:00Z,2023-11-21T23:59:59Z,"CN=*.indeed.com, O=Indeed\, Inc., L=Austin, ST=Texas, C=US",*.indeed.com,jobs.vn.canary.indeed.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ccbf1e305191845f25af8ed3833f280e,614615bf5de37399b0e82504b0eaaa1945dd79371d1eaaea1c37aab8e7e91450,ctls,accesselasticbeanstalkstaging.aggtest.indeed.com,,443,https://accesselasticbeanstalkstaging.aggtest.indeed.com:443,https,nginx,text/html,GET,198.58.75.26,/,1494302000,198.58.75.26,Nginx,8,False,,"Indeed, Inc.",True,True,,,
account.indeed.com,Just a moment...,403,7450,secure.indeed.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-09T00:00:00Z,2024-01-09T23:59:59Z,"CN=indeed.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",indeed.com,*.indeed.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c013e41270359a30e41c2bf377aa9802,0cce371e21307532f9271dae80a3256494cc7fdf04e771f09f0fdd857634e18a,ctls,secure.indeed.com,,443,https://account.indeed.com:443,https,cloudflare,text/html,GET,3.134.241.148,/,-109063585,3.17.220.141,HTTP/3,87,False,,"Cloudflare, Inc.",True,,https://secure.indeed.com/account/login?continue=https%3A%2F%2Faccount.indeed.com%2F,,
accounts-fc10-2.aggtest.indeed.com,404 Not Found,404,548,accounts-fc10-2.aggtest.indeed.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-27T00:00:00Z,2023-11-21T23:59:59Z,"CN=*.indeed.com, O=Indeed\, Inc., L=Austin, ST=Texas, C=US",*.indeed.com,jobs.vn.canary.indeed.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ccbf1e305191845f25af8ed3833f280e,614615bf5de37399b0e82504b0eaaa1945dd79371d1eaaea1c37aab8e7e91450,ctls,accounts-fc10-2.aggtest.indeed.com,,443,https://accounts-fc10-2.aggtest.indeed.com:443,https,nginx,text/html,GET,198.58.75.26,/,566218143,198.58.75.26,Nginx,14,False,,"Indeed, Inc.",True,True,,,
accounts.indeed.com,Just a moment...,403,7545,secure.indeed.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-09T00:00:00Z,2024-01-09T23:59:59Z,"CN=indeed.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",indeed.com,*.indeed.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c013e41270359a30e41c2bf377aa9802,0cce371e21307532f9271dae80a3256494cc7fdf04e771f09f0fdd857634e18a,ctls,secure.indeed.com,,443,https://accounts.indeed.com:443,https,cloudflare,text/html,GET,3.14.119.173,/,-109063585,3.140.165.112,HTTP/3,87,False,,"Cloudflare, Inc.",True,,https://secure.indeed.com/account/login?continue=https%3A%2F%2Faccounts.indeed.com%2F,,
adh.indeed.com,OneLogin,200,2608,indeed.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,ctls,indeed.onelogin.com,,443,https://adh.indeed.com:443,https,AmazonS3,text/html,GET,3.143.164.101,/,190169958,3.12.157.221,HSTS,52,False,,"OneLogin, Inc.",True,,https://indeed.onelogin.com/login2/?return=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmkiOiJodHRwczovL2luZGVlZC5vbmVsb2dpbi5jb20vbG9naW4iLCJpc3MiOiJNT05PUkFJTCIsImJyYW5kX2lkIjoibWFzdGVyIiwiYXVkIjoiQUNDRVNTIiwiZXhwIjoxNjgzODQyNjIzLCJwYXJhbXMiOnt9LCJmZl9tdWx0aXBsZV9icmFuZHMiOmZhbHNlLCJtZXRob2QiOiJnZXQifQ.F61v96Hpf3Cmmp1mFH3UPXj8PijwyW1z4MYnKy6UsNs#app=,https://advertiser-report.sandbox.stage.indeed.net,
