new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,ns,txt,caa,mx
[x],155-9-60-11.aggtest.indeed.com,198.58.75.28,offload.ausprod.indeed.com,,NOERROR,,,,,,,,,
[x],17-121-123-90.aggtest.indeed.com,198.58.75.28,offload.ausprod.indeed.com,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],aardvark.chatbot.indeed.tech,"52.48.116.209, 52.212.15.85",,"ns-1994.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],aarp.indeed.com,"162.159.129.67, 162.159.130.67",,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,cloudflare,,,,,,,
[x],about.indeed.com,"162.159.130.67, 162.159.129.67",,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,True,cloudflare,,,,,,,
[x],accesselasticbeanstalkstaging.aggtest.indeed.com,198.58.75.26,offload.ausprod.indeed.com,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],account.indeed.com,"3.140.165.112, 3.130.103.15, 3.134.241.148, 3.14.119.173, 3.19.195.123, 3.17.220.141","accounts.indeed.com, indeed-cmhprod.indeed.com, indeed-cmhprod-alb-1680661995.us-east-2.elb.amazonaws.com",,NOERROR,,,,,,,,,
[x],accounts-fc10-2.aggtest.indeed.com,198.58.75.26,offload.ausprod.indeed.com,,NOERROR,,,,,,,,,
[x],accounts.indeed.com,"3.17.220.141, 3.19.195.123, 3.130.103.15, 3.134.241.148, 3.140.165.112, 3.14.119.173","indeed-cmhprod.indeed.com, indeed-cmhprod-alb-1680661995.us-east-2.elb.amazonaws.com","ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],active.cmhdev2.dev.vault.indeed.tech,"10.119.86.48, 10.119.150.39, 10.119.22.53",internal-vault-alb-cmhdev2-818432550.us-east-2.elb.amazonaws.com,,NOERROR,,,True,"10.119.86.48, 10.119.150.39, 10.119.22.53",,,,,
[x],active.cmhdev2.infra.vault.indeed.tech,"10.119.86.48, 10.119.150.39, 10.119.22.53",internal-vault-alb-cmhdev2-818432550.us-east-2.elb.amazonaws.com,,NOERROR,,,True,"10.119.86.48, 10.119.150.39, 10.119.22.53",,,,,
[x],active.us-east-2.primary.vault.indeed.tech,"10.118.65.26, 10.118.1.29, 10.118.129.11",internal-vault-alb-cmhinf-1578977466.us-east-2.elb.amazonaws.com,,NOERROR,,,True,"10.118.65.26, 10.118.1.29, 10.118.129.11",,,,,
[x],adcentral-legacy.awscmh3.k8s.indeed.tech,"10.163.248.209, 10.163.240.194",,,NOERROR,,,True,"10.163.248.209, 10.163.240.194",,,,,
[x],adcentral-legacy.indeed.com,"10.163.240.194, 10.163.248.209",adcentral-legacy.awscmh3.k8s.indeed.tech,,NOERROR,,,True,"10.163.240.194, 10.163.248.209",,,,,
[x],adcentral.stage.awscmhqa3.k8s.indeed.tech,"10.115.249.63, 10.115.242.242",,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.115.249.63, 10.115.242.242",,,,,
[x],adcentralbot.awscmhqa3.k8s.indeed.tech,"10.115.242.242, 10.115.249.63",,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.115.242.242, 10.115.249.63",,,,,
[x],adcentralbot.stage.awscmhqa3.k8s.indeed.tech,"10.115.242.242, 10.115.249.63",,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.115.242.242, 10.115.249.63",,"ns-1508.awsdns-60.org, ns-1554.awsdns-02.co.uk, ns-428.awsdns-53.com, ns-681.awsdns-21.net",,,
[x],adcentralcache.awscmhqa3.k8s.indeed.tech,"10.115.242.242, 10.115.249.63",,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.115.242.242, 10.115.249.63",,,,,
[x],adh.indeed.com,"18.222.81.190, 3.12.157.221, 3.143.164.101","indeed2-cmhprod.indeed.com, indeed2-cmhprod-alb-1360573493.us-east-2.elb.amazonaws.com",,NOERROR,,,,,,,,,
[x],adjustment-service.awscmhstage.k8s.indeed.tech,"10.115.248.197, 10.115.206.90, 10.115.216.84",,,NOERROR,,,True,"10.115.248.197, 10.115.206.90, 10.115.216.84",,,,,
[x],admin-cacheprodlab-db2-corp.aggtest.indeed.com,198.58.75.26,offload.ausprod.indeed.com,,NOERROR,,,,,,,,,
[x],admin.chatbot.indeed.com,"108.138.17.66, 108.138.17.79, 108.138.17.128, 108.138.17.47",,"ns-900.awsdns-48.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
