input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,cdn_name,cdn,csp_domains_,final_url
assets-dev.qulture.rocks,"Image and Video Upload, Storage, Optimization and CDN",200,187988,AS54113,FASTLY,US,151.101.8.0/22,cloudinary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-30T06:40:39Z,2023-07-01T06:40:39Z,"CN=*.cloudinary.com, O=Cloudinary Ltd, L=Petah Tikva, C=IL",*.cloudinary.com,cloudinary.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",146caf00ba403a1bab2fac7ddfa58ef4,fe666d3026e433ccf661f700859054f564a8b0b36854760f8bf59c6c2c28fd00,True,ctls,cloudinary.com,443,https://assets-dev.qulture.rocks:443,https,cloudflare,text/html,GET,151.101.2.92,/,-624805968,2a04:4e42:600::604,Yoast SEO:20.7,1739,False,Cloudinary Ltd,fastly,True,*.cedexis-test.com,https://cloudinary.com
assets-prod.qulture.rocks,"Image and Video Upload, Storage, Optimization and CDN",200,187988,AS54113,FASTLY,US,146.75.120.0/22,cloudinary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-30T06:40:39Z,2023-07-01T06:40:39Z,"CN=*.cloudinary.com, O=Cloudinary Ltd, L=Petah Tikva, C=IL",*.cloudinary.com,cloudinary.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",146caf00ba403a1bab2fac7ddfa58ef4,fe666d3026e433ccf661f700859054f564a8b0b36854760f8bf59c6c2c28fd00,True,ctls,cloudinary.com,443,https://assets-prod.qulture.rocks:443,https,cloudflare,text/html,GET,146.75.122.92,/,-624805968,2a04:4e42:8d::604,Yoast SEO:20.7,1739,False,Cloudinary Ltd,fastly,True,www.googleapis.com,https://cloudinary.com
blog.qulture.rocks,Blog da Qulture.Rocks,200,52342,AS16509,AS16509,Unknown,15.197.128.0/17,www.qulture.rocks,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-08T16:15:34Z,2023-06-06T16:15:33Z,CN=www.qulture.rocks,www.qulture.rocks,www.qulture.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9d65a95044dff82a81bda35fe1bbc3c2,670e0c0632e705e54d718d7e18f93a255e78015487a07b54a6d6f78032a38b25,,ctls,www.qulture.rocks,80,http://blog.qulture.rocks:80,http,,text/html,GET,15.197.142.173,/,-1234307358,3.33.152.147,Webflow,142,False,,,,,https://www.qulture.rocks/blog
cdn-production.qulture.rocks,,403,243,AS13335,CLOUDFLARENET,US,172.68.28.0/24,cdn-production.qulture.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=qulture.rocks, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",qulture.rocks,cdn-production.qulture.rocks,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9de68be37e5e5856d315fd9e9b927fb1,10521f881a22464ed5acd68216624dff67fe0dede2d12ec2f55f78b7c50b448d,,ctls,cdn-production.qulture.rocks,443,https://cdn-production.qulture.rocks:443,https,cloudflare,application/xml,GET,172.67.134.183,/,956859901,2606:4700:3031::ac43:86b7,HSTS,2,False,"Cloudflare, Inc.",cloudflare,True,,
clickmkt.qulture.rocks,404 Not Found,404,162,AS11377,SENDGRID,US,167.89.0.0/17,clickmkt.qulture.rocks,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,clickmkt.qulture.rocks,443,https://clickmkt.qulture.rocks:443,https,nginx,text/html,GET,167.89.123.124,/,190856733,167.89.118.83,Nginx,8,False,,,,,
dev.qulture.rocks,Sign in ・ Cloudflare Access,200,28800,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,qulturerocks.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,qulturerocks.cloudflareaccess.com,443,https://dev.qulture.rocks:443,https,cloudflare,text/html,GET,104.21.6.103,/,1524878941,2606:4700:3035::6815:667,HSTS,67,False,,cloudflare,True,https:,https://qulturerocks.cloudflareaccess.com/cdn-cgi/access/login/dev.qulture.rocks?kid=6fc69903d60ba9a8e0a5c9ce67fc4b45ac222ab836c16b544b5526649ae0551b&redirect_url=%2F&meta=eyJraWQiOiIzNWI2OWYxN2Y2Nzg2NzUwYWQ5MTI1MjMxOTRmOGExNTY1NjQ4ODU5Y2VhYTNhN2NiNTMxMTNlYTFjMGU2ZTJhIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzczODQ0OSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjZmYzY5OTAzZDYwYmE5YThlMGE1YzljZTY3ZmM0YjQ1YWMyMjJhYjgzNmMxNmI1NDRiNTUyNjY0OWFlMDU1MWIiLCJob3N0bmFtZSI6ImRldi5xdWx0dXJlLnJvY2tzIiwiYXBwX3Nlc3Npb25faGFzaCI6ImJiZDUxZjhkMDFmMTdhYWRmOGJlZmYyN2I3NjQxOGU2ZmUxODU4NjEzZTNjMjBiZDQxMzAyMGJhY2ZhODZhZGUiLCJuYmYiOjE2ODM3Mzg0NDksImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.gfEvRdvG64z07bRY2rp53Lc6YgaL81tvvc4KpAR0k9qyF1cJNrtaOWioxferdQed_3jFXRzm5EYvan-Y3OKGJ1NOI0K-vO-RlAmeFtnbS4G-lNjkKjzI0coCBAMC3ehFbEijL-VvP6p5wg9EpPjP-Goa35bTGimI5Y8MGByj81iac05GY1Q-EWBaFh0lQr1HvatoboSRlCub-kka9a5lIJRxc1QiJz0g5bzDWYhqQgzLy-_ylZxNV7m1MQJKNDYG9eDQH7C7ZBBUKlvZ6lP24iS2fCU01_SVjAdCDK6rNTEYDO5QmkV7uhACS6zlDvTVVn5UQpzA2_gIEBrA7Zbqpw
es.qulture.rocks,Qulture.Rocks | Plataforma de Gestión de Desempeño,200,151664,AS20446,STACKPATH-CDN,US,151.139.128.0/24,es.qulture.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-26T13:21:10Z,2023-06-24T13:21:09Z,CN=en.qulture.rocks,en.qulture.rocks,es.qulture.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,58d74add82ab3ec15abd9c5d52821523,429b9b9741ad42a7881002bb0a2fad03f3163d7aff084dbd33d8568822a21619,,ctls,es.qulture.rocks,443,https://es.qulture.rocks:443,https,,text/html,GET,151.139.128.10,/,1926426664,151.139.128.11,Weglot,368,False,,,,,
eventos.qulture.rocks,,404,51463,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,199.60.103.0/24,eventos.qulture.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-22T17:34:10Z,2023-06-20T17:34:09Z,CN=eventos.qulture.rocks,eventos.qulture.rocks,eventos.qulture.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,93e8350c82c1e932355d1f1a96ec1890,739ab747961d3f4bb04739881f4341fec831c0cba713d302c7b8a57f245796fd,,ctls,eventos.qulture.rocks,443,https://eventos.qulture.rocks:443,https,cloudflare,text/html,GET,199.60.103.31,/,-1224359456,2606:2c40::c73c:67e1,HubSpot CMS Hub,1230,False,,,,,
global.qulture.rocks,,404,48921,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,199.60.103.0/24,global.qulture.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-22T17:35:33Z,2023-06-20T17:35:32Z,CN=global.qulture.rocks,global.qulture.rocks,global.qulture.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d461054dc3c8baf97d47cf6015fa55c7,62995fd5e0d1308ca2349064cbd903a08b07ca742ab8ff1f86b83f6d30f168fc,,ctls,global.qulture.rocks,443,https://global.qulture.rocks:443,https,cloudflare,text/html,GET,199.60.103.31,/,-1224359456,2606:2c40::c73c:671f,HubSpot CMS Hub,1158,False,,,,,
help.qulture.rocks,Central de Conhecimento Qulture.Rocks,200,81104,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,help.qulture.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=qulture.rocks, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",qulture.rocks,cdn-production.qulture.rocks,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9de68be37e5e5856d315fd9e9b927fb1,10521f881a22464ed5acd68216624dff67fe0dede2d12ec2f55f78b7c50b448d,,ctls,help.qulture.rocks,443,https://help.qulture.rocks:443,https,cloudflare,text/html,GET,104.21.6.103,/,-1840324437,2606:4700:3035::6815:667,HSTS,28,False,"Cloudflare, Inc.",cloudflare,True,https://connect.facebook.net,https://help.qulture.rocks/pt-BR/
