new,host,a,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,aaaa,caa,has_internal_ips,internal_ips
[x],1912044.hootsuite.com,"167.89.123.54, 167.89.123.124, 167.89.118.52, 167.89.118.83","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,sendgrid.net,"mx.sendgrid.net, mx2.sendgrid.net","ns13.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns12.dnsmadeeasy.com","mailru-verification: 2e3995fa8a7d00e0, p8bnb2lp424dkl3c4io1aemiei, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE",,"amazonaws.com, godaddy.com",,
[x],ambassadorhub.hootsuite.com,"52.23.59.102, 34.192.229.91, 52.204.233.198","ns-1354.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,hootsuite.influitive.com,,,,,,,
[x],amplify.hootsuite.com,"13.224.189.105, 13.224.189.35, 13.224.189.107, 13.224.189.28","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,platform.hootsuite.com,,"ns-1154.awsdns-16.org, ns-1546.awsdns-01.co.uk, ns-492.awsdns-61.com, ns-877.awsdns-45.net",,,,,
[x],amplifystaging.hootsuite.com,"18.165.201.60, 18.165.201.55, 18.165.201.95, 18.165.201.62","ns-1222.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"staging-platform.hootsuite.com, staging-aperture.us-east-1.hootops.com",,"ns-1222.awsdns-24.org, ns-1969.awsdns-54.co.uk, ns-370.awsdns-46.com, ns-569.awsdns-07.net",,,,,
[x],aperture-ui-external-general-staging.hootsuite.com,"13.32.121.18, 13.32.121.21, 13.32.121.39, 13.32.121.94","ns-877.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d1n2m89xmsccmq.cloudfront.net,,"ns-1164.awsdns-17.org, ns-1672.awsdns-17.co.uk, ns-186.awsdns-23.com, ns-877.awsdns-45.net",,,,,
[x],aperture-ui-external-hootweb-staging.hootsuite.com,"108.138.7.41, 108.138.7.6, 108.138.7.82, 108.138.7.17","ns-822.awsdns-38.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d5qfq6zrb6uos.cloudfront.net,,"ns-1264.awsdns-30.org, ns-1945.awsdns-51.co.uk, ns-412.awsdns-51.com, ns-822.awsdns-38.net",,"2600:9000:2490:5a00:1b:5631:f700:93a1, 2600:9000:2490:3400:1b:5631:f700:93a1, 2600:9000:2490:2c00:1b:5631:f700:93a1, 2600:9000:2490:1800:1b:5631:f700:93a1, 2600:9000:2490:a800:1b:5631:f700:93a1, 2600:9000:2490:3000:1b:5631:f700:93a1, 2600:9000:2490:4600:1b:5631:f700:93a1, 2600:9000:2490:6e00:1b:5631:f700:93a1",,,
[x],aperture-ui-external-hootweb.hootsuite.com,"18.66.233.8, 18.66.233.123, 18.66.233.108, 18.66.233.126, 205.251.199.211","ns-612.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d2l9yq7b2ecwi6.cloudfront.net,,"ns-1285.awsdns-32.org, ns-151.awsdns-18.com, ns-612.awsdns-12.net, ns-2003.awsdns-58.co.uk",,"2600:9000:2435:e800:9:882d:6380:93a1, 2600:9000:2435:8200:9:882d:6380:93a1, 2600:9000:2435:2400:9:882d:6380:93a1, 2600:9000:2435:1600:9:882d:6380:93a1, 2600:9000:2435:5c00:9:882d:6380:93a1, 2600:9000:2435:e200:9:882d:6380:93a1, 2600:9000:2435:9200:9:882d:6380:93a1, 2600:9000:2435:e000:9:882d:6380:93a1",,,
[x],aperture-ui-webhooks-staging.hootsuite.com,"143.204.89.114, 143.204.89.82, 143.204.89.75, 143.204.89.44","ns-246.awsdns-30.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d11cu89fl880u0.cloudfront.net,,,,,,,
[x],api-auth-mobile.hootsuite.com,"13.224.189.105, 13.224.189.28, 13.224.189.107, 13.224.189.35","ns-1690.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"api-auth.hootsuite.com, di8a2pvl0kjz3.cloudfront.net",,"ns-19.awsdns-02.com, ns-723.awsdns-26.net, ns-1503.awsdns-59.org, ns-1690.awsdns-19.co.uk",,,,,
[x],api-auth.hootsuite.com,"13.224.189.28, 13.224.189.107, 13.224.189.105, 13.224.189.35","ns-1690.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,di8a2pvl0kjz3.cloudfront.net,,"ns-1503.awsdns-59.org, ns-1690.awsdns-19.co.uk, ns-19.awsdns-02.com, ns-723.awsdns-26.net",,,,,
[x],api-services.hootsuite.com,"13.249.39.51, 13.249.39.23, 13.249.39.21, 13.249.39.25","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],api.gmb.hootsuite.com,"15.156.54.125, 3.97.173.43","ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,google-my-business-api-prod.eba-s4baqkpd.ca-central-1.elasticbeanstalk.com,,,,,,,
[x],api.hootsuite.com,"18.66.112.49, 18.66.112.74, 18.66.112.39, 18.66.112.47","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],api.ow.ly,"54.172.131.150, 3.228.57.190, 34.195.145.0","ns-795.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,ow.ly,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","ns-133.awsdns-16.com, ns-795.awsdns-35.net, ns-1454.awsdns-53.org, ns-1603.awsdns-08.co.uk",v=spf1 ip4:69.90.101.232 a mx include:server.invokemedia.com include:mediatools.invokemedia.com -all,,,,
[x],api.yext.hootsuite.com,"108.156.60.95, 108.156.60.14, 108.156.60.121, 108.156.60.66","ns-1144.awsdns-15.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d2kx7yukeq8e0k.cloudfront.net,,"ns-1979.awsdns-55.co.uk, ns-777.awsdns-33.net, ns-1144.awsdns-15.org, ns-135.awsdns-16.com",,,,,
[x],apis.hootsuite.com,"13.227.219.29, 13.227.219.121, 13.227.219.39, 13.227.219.46","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],apps-staging.hootsuite.com,"18.66.112.27, 18.66.112.128, 18.66.112.3, 18.66.112.122","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],apps.hootsuite.com,"108.156.60.16, 108.156.60.27, 108.156.60.87, 108.156.60.98","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],assessment.hootsuite.com,107.22.44.236,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,"assessment.sites.us-east-1.hootops.com, ec2-107-22-44-236.compute-1.amazonaws.com",,,,,,,
[x],assets.hootsuite.com,,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d3vjh6186byow.cloudfront.net,,,,,,,
[x],bio.hootsuite.com,,,NOERROR,,,,,,,,,,
[x],blog-assets.hootsuite.com,162.159.134.42,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,,ca3-8ac7e17e2cd7439380315dbca23dc589,,,,
[x],blog.hootsuite.com,162.159.134.42,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,,,ca3-63e04cbdb37a4c7aa4b3761c34ce40a8,,,,
[x],calendar.hootsuite.com,142.250.185.147,"ns1.google.com, dns-admin.google.com",NOERROR,,,ghs.google.com,,,,2a00:1450:4001:810::2013,,,
[x],campaigns.hootsuite.com,"18.213.136.193, 34.193.24.75, 54.145.190.61","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],careers.hootsuite.com,"52.222.236.81, 52.222.236.41, 52.222.236.92, 52.222.236.17","ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d14c8bmktogtiv.cloudfront.net,,"ns-1096.awsdns-09.org, ns-1988.awsdns-56.co.uk, ns-379.awsdns-47.com, ns-558.awsdns-05.net",,"2600:9000:223e:7800:1:2a59:5dc0:93a1, 2600:9000:223e:b000:1:2a59:5dc0:93a1, 2600:9000:223e:c00:1:2a59:5dc0:93a1, 2600:9000:223e:9e00:1:2a59:5dc0:93a1, 2600:9000:223e:b400:1:2a59:5dc0:93a1, 2600:9000:223e:7000:1:2a59:5dc0:93a1, 2600:9000:223e:4400:1:2a59:5dc0:93a1, 2600:9000:223e:800:1:2a59:5dc0:93a1",,,
[x],code.hootsuite.com,"54.158.207.182, 100.25.62.58, 18.235.198.50","ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],commandcenter.hootsuite.com,,"ns-1546.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
