input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_self_signed,tls_mismatched,csp_domains_
abtesting.uat.oanda.com,"Online Forex, Shares & Crypto CFD Trading Broker | OANDA",200,701847,AS13335,CLOUDFLARENET,US,188.114.100.0/24,www-stg.stage.oanda.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T21:55:35Z,2023-07-30T21:55:34Z,CN=oanda.com,oanda.com,,oanda.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,3575263f99b79e6f54bda4eabb892e36,11f19d3385f0734cdbfcb554b1faa08dda6656b50bb4986eb24aab600861112b,True,ctls,www-stg.stage.oanda.com,cloudflare,80,http://abtesting.uat.oanda.com:80,http,cloudflare,text/html,GET,188.114.97.3,/,1380162238,188.114.96.3,HSTS,10241,False,True,https://www-stg.stage.oanda.com/eu-en,,True,
america.oanda.com,"Online Forex, Shares & Crypto CFD Trading Broker | OANDA",200,683563,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.oanda.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T21:55:35Z,2023-07-30T21:55:34Z,CN=oanda.com,oanda.com,,oanda.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,3575263f99b79e6f54bda4eabb892e36,11f19d3385f0734cdbfcb554b1faa08dda6656b50bb4986eb24aab600861112b,True,ctls,www.oanda.com,cloudflare,80,http://america.oanda.com:80,http,cloudflare,text/html,GET,104.17.30.191,/,1380162238,104.17.29.191,PHP,10440,False,True,https://www.oanda.com/eu-en,,,
api-fxtrade.oanda.com,,404,170,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api-fxtrade.oanda.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-27T00:00:00Z,2023-09-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",api-fxtrade.oanda.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ffc52082799856dfab316cb2d64793df,ea217c133e36d77e56853cabb3c6f9523d50b4d81793536cb85a30837049f771,True,ctls,api-fxtrade.oanda.com,cloudflare,443,https://api-fxtrade.oanda.com:443,https,cloudflare,application/json,GET,104.18.28.196,/,788932052,104.18.29.196,Cloudflare,7,False,True,,,,
api-staging.oanda.jp,Apache HTTP Server Test Page powered by CentOS,403,4445,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api-staging.oanda.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.oanda.jp,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b3f777c3d9bce2b0e8a64c526f09c46b,eb4cbd25b759495d95cddda96e2715b9a0803fd740789b7501048772c815c084,True,ctls,api-staging.oanda.jp,cloudflare,443,https://api-staging.oanda.jp:443,https,cloudflare,text/html,GET,104.16.248.60,/,-366337701,104.16.238.60,HSTS,116,False,True,,,,
api.oanda.com,401 Authorization Required,401,1386,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.oanda.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T21:55:35Z,2023-07-30T21:55:34Z,CN=oanda.com,oanda.com,,oanda.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,3575263f99b79e6f54bda4eabb892e36,11f19d3385f0734cdbfcb554b1faa08dda6656b50bb4986eb24aab600861112b,True,ctls,api.oanda.com,cloudflare,80,http://api.oanda.com:80,http,cloudflare,text/html,GET,104.17.30.191,/,-489656929,104.17.29.191,HSTS,8,False,True,https://api.oanda.com,,,
api.oanda.jp,403 Forbidden,403,139,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.oanda.jp,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.oanda.jp,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b3f777c3d9bce2b0e8a64c526f09c46b,eb4cbd25b759495d95cddda96e2715b9a0803fd740789b7501048772c815c084,True,ctls,api.oanda.jp,cloudflare,443,https://api.oanda.jp:443,https,cloudflare,text/html,GET,104.16.248.60,/,737866699,104.16.238.60,HSTS,8,False,True,,,,
api.tms.pl,Not Found,404,309,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.tms.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.tms.pl,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",917d1210a2d1f198d9ac6a1a52ec68d1,885f5155339df8e6f93b42b5e861f143f3cd9e5fe4cffa4c80abab9ecdc80a49,True,ctls,api.tms.pl,cloudflare,443,https://api.tms.pl:443,https,cloudflare,text/html,GET,104.18.6.221,/,1076859821,104.18.7.221,Cloudflare,7,False,True,,,,
api.uat.oanda.com,Sign in ・ Cloudflare Access,200,30876,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,oandacf.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,oandacf.cloudflareaccess.com,cloudflare,443,https://api.uat.oanda.com:443,https,cloudflare,text/html,GET,104.18.17.94,/,1650399944,104.18.16.94,HSTS,71,False,True,https://oandacf.cloudflareaccess.com/cdn-cgi/access/login/api.uat.oanda.com?kid=7a3890fc3ac537191a6c6e3f612fa043deb3b864bb5c796ee0151bbaf911f98b&redirect_url=%2F&meta=eyJraWQiOiJiNmJjMDRmYTRhOWRlZWJhY2E2ZWMxNzQwMTEwNTEwMGJkMmVhNjVkMWUzOWJmZWU1MmVkZTgwNGEzOWQ5MmZhIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzY2NDcwOSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjdhMzg5MGZjM2FjNTM3MTkxYTZjNmUzZjYxMmZhMDQzZGViM2I4NjRiYjVjNzk2ZWUwMTUxYmJhZjkxMWY5OGIiLCJob3N0bmFtZSI6ImFwaS51YXQub2FuZGEuY29tIiwiYXBwX3Nlc3Npb25faGFzaCI6IjI1MDViYjg0NjBjZjI3NjE1ZjE2YzBjMzdiN2U0MTUwYTVmYjFlMjMzOTFkNjQ2ZDA1NmIyMWFiM2U2YTFmMjUiLCJuYmYiOjE2ODM2NjQ3MDksImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.Z2x8OMUuDVl75R8RO3QzWunuzTF5exhk7LR9bgPYBf9Oesix_TRNSP4dsbYJ-p8qXJKDAdjreXNOe6RIh35gwVHJULgBUn5Dslw0n3xYjiM5sLU9RbNUbZSH6_AaZ6FxNiu_Hthi3na2bSMnii68NfPEDexV6Liw24nq1cB31H60zbyXn6tK9YFHK7fPq4Vp4P0PhPeuRrAXgrA1dzKVqppgaHP_Q-Dh1N50pkuIzxqeSJA_joErDW-DwUJoUJU6REkZ4yqwmWlDCfgO_Tlb8AQJbO4SVxbIUnSau5kFfrsSzXqbwaM4hpD2TTJoUByiaGhq7mw3_Cco2QQn_PAzxA,,,https:
au.oanda.com,Online Forex Trading | Fx Trading Platforms | OANDA,200,86259,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.oanda.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T21:55:35Z,2023-07-30T21:55:34Z,CN=oanda.com,oanda.com,,oanda.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,3575263f99b79e6f54bda4eabb892e36,11f19d3385f0734cdbfcb554b1faa08dda6656b50bb4986eb24aab600861112b,True,ctls,www.oanda.com,cloudflare,80,http://au.oanda.com:80,http,cloudflare,text/html,GET,104.17.30.191,/,1380162238,104.17.29.191,Typekit,1997,False,True,https://www.oanda.com/us-en/trading/,,,
auth-api.staging.oanda.com,Sign in ・ Cloudflare Access,200,30896,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,oandacf.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,oandacf.cloudflareaccess.com,cloudflare,443,https://auth-api.staging.oanda.com:443,https,cloudflare,text/html,GET,104.18.28.182,/,583515159,104.18.29.182,HSTS,71,False,True,https://oandacf.cloudflareaccess.com/cdn-cgi/access/login/auth-api.staging.oanda.com?kid=882cf37e904cc0ed33f4126aa55ba84ca4dae5f8ab63ed359b175d6643a2a1ee&redirect_url=%2F&meta=eyJraWQiOiJiNmJjMDRmYTRhOWRlZWJhY2E2ZWMxNzQwMTEwNTEwMGJkMmVhNjVkMWUzOWJmZWU1MmVkZTgwNGEzOWQ5MmZhIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzY2NDcwOSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6Ijg4MmNmMzdlOTA0Y2MwZWQzM2Y0MTI2YWE1NWJhODRjYTRkYWU1ZjhhYjYzZWQzNTliMTc1ZDY2NDNhMmExZWUiLCJob3N0bmFtZSI6ImF1dGgtYXBpLnN0YWdpbmcub2FuZGEuY29tIiwiYXBwX3Nlc3Npb25faGFzaCI6IjBlODRkYWQ2NjUxZGI2NGU2MDc1NWI1NWU1M2RhYWM1Nzg4YTRmMzIxY2U5YzVmY2I2ZWFmY2IzMTU4ZjY4ZTYiLCJuYmYiOjE2ODM2NjQ3MDksImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.j2KD-ukUyCjCjQIu6mNpOgVbNLe8SJuxGps7rIBYKMe4-UAkzWUfjaV4MhEa191pXqDCLVzJkMg4iV7D-tZ7rroM5KmoIaqjRJE3KNoKmrCTqzLWjxn_aU28e-mmi6alU8MVVW0X-UFajetgY1YFMZJwsj_dUi7ODrLyUAibyJzwsGNJNzej8HQotC-_ND3HYTGIk51p_q-u3OFQYq2Nj2hmHJA0wMuUan8eB-l89zeqS2no3AnXaILHx7N4Ho6PA-E3KlsC0Crq8_9SRasqOHKaHRTeQwgM4sutJep5wNGrT6ijokyjjBLx3guPBAwKTDrDSkV4P998o1Npj5WBjA,,,https:
