new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,txt,mx,ns,caa,has_internal_ips,internal_ips
[x],3cx.tms.pl,159.253.246.119,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],abn-so10.oanda.com,213.61.10.83,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],abtesting.uat.oanda.com,"188.114.97.13, 188.114.96.13",,"colette.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,"sergi.ns.cloudflare.com, colette.ns.cloudflare.com",,,
[x],acquisition-ihs-api.oanda-live-web-cluster-1.gcp.oanda.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],affiliate-admin.oanda.com,35.234.86.61,"oanda-admin.cxaff.com, go-oanda-com.cellexpertx.prod2.reblaze.com","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,,True,google,,,"ns-1449.awsdns-53.org, ns-172.awsdns-21.com, ns-1859.awsdns-40.co.uk, ns-566.awsdns-06.net",,,
[x],america.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],api-fxtrade.oanda.com,"104.18.29.196, 104.18.28.196",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,"bonnie.ns.cloudflare.com, dilbert.ns.cloudflare.com","comodoca.com, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, digicert.com; cansignhttpexchanges=yes, mailto:security@oanda.com, certum.pl",,
[x],api-sandbox.oanda.com,216.235.10.212,yyz.oanda.com,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],api-staging.oanda.jp,"104.16.238.60, 104.16.248.60",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],api-status.oanda.com,172.217.16.211,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,2a00:1450:4001:806::2013,,,,,,,,
[x],api.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],api.oanda.jp,"104.16.248.60, 104.16.238.60",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],api.tms.pl,"104.18.7.221, 104.18.6.221",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],api.uat.oanda.com,"104.18.16.94, 104.18.17.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],au.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],auth-api-active.k8s-uat-usc1.gcp.oanda.com,,,,NOERROR,,,,,,,,,
[x],auth-api-active.oanda-live-web-cluster-1.gcp.oanda.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],auth-api.staging.oanda.com,"104.18.29.182, 104.18.28.182",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],auth-api.uat.oanda.com,"104.18.16.94, 104.18.17.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],auth-api.web.oanda.com,"104.18.6.202, 104.18.7.202",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],auth.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],auth.staging.oanda.com,"104.18.28.182, 104.18.29.182",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,auth0-domain-verification=eKOJioczDsj09OCkW6jzyPOaaQJQr1KP,,,,,
[x],auth.uat.oanda.com,"104.18.16.94, 104.18.17.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,auth0-domain-verification=j4DE1Yws72hUXjKhaJzZ27mE4F3JgHRk,,,,,
[x],auth.web.oanda.com,34.117.236.98,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,google,,,,,,
[x],beta.mobi.tms.pl,,,,NOERROR,,,,,,,,,
[x],beta.oanda.com,216.12.138.243,oanda01.oanda.com,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],beta.tmsbrokers.com,"188.114.98.229, 188.114.99.229",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],biapi.oanda.com,192.247.0.25,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],blog.oanda.com,"198.185.159.144, 198.49.23.145, 198.49.23.144, 198.185.159.145",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bounce1.oanda.com,199.15.212.30,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 include:mktomail.com ~all,bounce1.oanda.com,,,,
[x],bounce2.oanda.com,199.15.212.31,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 include:mktomail.com ~all,bounce2.oanda.com,,,,
[x],bounce3.oanda.com,199.15.213.228,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 include:mktomail.com ~all,bounce3.oanda.com,,,,
[x],business.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],catrd.oanda.jp,"104.16.248.60, 104.16.238.60",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],cdn-fxtrade.oanda.com,198.105.26.70,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cdn.tms.pl,"104.18.7.221, 104.18.6.221",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],chris.test.oanda.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],client.tmsbrokers.com,"104.18.14.64, 104.18.15.64",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],connect.tms.pl,"104.18.6.221, 104.18.7.221",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],corpit-ssh.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],crm.oanda.com,10.42.3.62,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,True,10.42.3.62
[x],crm.oj.oanda.com,10.0.143.57,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,True,10.0.143.57
[x],currency.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],dashboard.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],demo.oanda.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,"dilbert.ns.cloudflare.com, bonnie.ns.cloudflare.com","comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, mailto:security@oanda.com, certum.pl",,
[x],dev-mt5gw.tms.pl,"104.18.6.221, 104.18.7.221",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],dev.oanda.com,,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],developer.oanda.com,"104.17.29.191, 104.17.30.191",,,NOERROR,,True,cloudflare,,,,,,
[x],devfemt5.tms.pl,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],device42.oanda.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],direct.tms.pl,"2.16.181.73, 2.20.132.135","direct.tms.pl.edgekey.net, e28361.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dng.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],dns1.oanda.com,216.12.138.242,oanda02.oanda.com,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],docs.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],docs.staging.oanda.com,"104.18.29.182, 104.18.28.182",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],dr.tms.pl,159.253.246.118,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],dtcsg.oanda.com,192.247.0.42,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],dynamic-api.oanda.com,198.105.26.95,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],ecc.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],ecc.staging.oanda.com,,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],ecc.uat.oanda.com,"188.114.98.229, 188.114.99.229",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],engi.oanda.com,,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],europe.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],experiments.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],forexblog.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],forums.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],ftp.tms.pl,34.141.84.134,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,google,,,,,,
[x],funding.live.oanda.com,34.120.52.118,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,google,,,,,,
[x],funding.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],funding.staging.oanda.com,"104.18.28.182, 104.18.29.182",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fw.tms.pl,85.232.253.10,,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],fx1.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fx2.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxconsulting.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxds.staging.oanda.com,"188.114.99.229, 188.114.98.229",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxgame-fix.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxgame-rates.oanda.com,"104.17.29.191, 104.17.30.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxgame.oanda.com,,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxmetropolis.oanda.com,,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],fxserver01-cr.oanda.com,198.105.26.76,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],fxserver01-fxmanager.oanda.com,198.105.26.77,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],fxserver01-ma.oanda.com,198.105.26.78,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],fxserver01-ng.oanda.com,"104.18.4.72, 104.18.5.72",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,"dilbert.ns.cloudflare.com, bonnie.ns.cloudflare.com","letsencrypt.org, pki.goog; cansignhttpexchanges=yes, certum.pl, comodoca.com, digicert.com; cansignhttpexchanges=yes, mailto:security@oanda.com",,
[x],fxserver02-cr.oanda.com,198.105.27.157,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],fxserver02-ng.oanda.com,"104.18.6.32, 104.18.7.32",,,NOERROR,,True,cloudflare,,,"bonnie.ns.cloudflare.com, dilbert.ns.cloudflare.com","mailto:security@oanda.com, certum.pl, comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes",,
[x],fxserver02.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxtrade-fix.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxtrade-gui.demo.oanda.com,"104.18.17.9, 104.18.16.9",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxtrade-gui.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxtrade-gui.uat.oanda.com,"104.18.17.94, 104.18.16.94",,"bonnie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],fxtrade-news.oanda.com,198.105.26.94,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],fxtrade-ping.oanda.com,,,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,reth0.6.fw.ny.neteng.oanda.com,,,,,
[x],fxtrade-rates.oanda.com,"104.17.30.191, 104.17.29.191",,"henrik.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
