input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_issuer_org_,tls_wildcard_certificate,cdn_name,content_type,cdn,final_url,csp_domains_,tls_mismatched
*.dev-n26.com,ERROR: The request could not be satisfied,403,919,dev-n26.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-06-07T23:59:59Z,CN=dev-n26.com,dev-n26.com,www.dev-n26.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,438088664dc81ae4c61cf1d78d847ab6,7505e6a6429c9ce1864d84e274e842e92bfa5868229b79604d0ec4fe9cd8f2d5,ctls,dev-n26.com,443,https://dev-n26.com:443,https,CloudFront,GET,18.66.122.76,/,-2071668427,18.66.122.103,Amazon Web Services,20,False,,Amazon,,cloudfront,text/html,True,,,
*.force.com,Custom Application Development Software for Business - Salesforce.com,200,190960,www.salesforce.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-20T00:00:00Z,2023-06-20T23:59:59Z,"CN=www.salesforce.com, O=Salesforce.com Inc., L=San Francisco, ST=California, C=US",www.salesforce.com,c.salesforce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,141b546c2406d8be3338239e000a4455,71bee5321f5a2437f1a59e84cc2b6ff2d69b8e5f98802037355dc2f8631793cf,ctls,www.salesforce.com,443,https://force.com:443,https,Apache,GET,23.1.99.130,/,1090999723,104.109.11.129,Java,6596,False,Salesforce.com Inc.,DigiCert Inc,,,text/html,,https://www.salesforce.com/products/platform/overview/?sfdc-redirect=300&bc=HA,,
*.liveperson.net,LivePerson � Business Solutions,200,4900,,,,,,,,,,,,,,,,,80,http://liveperson.net:80,http,Microsoft-IIS/8.5,GET,208.89.12.169,/,-20275242,208.89.12.169,Windows Server,69,False,,,,,text/html,,,url=http://www.liveperson.com,
*.salesforceliveagent.com,,200,562,salesforceliveagent.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-19T00:00:00Z,2023-12-15T23:59:59Z,"CN=salesforce-sites.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",salesforce-sites.com,salesforceliveagent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,8ba65074102335dab45e09f3e8601ea6,0b8fdcc102b9ec157b7fae8472493c5147997360bd5cb6dcbc11e50efad0ecd1,ctls,salesforceliveagent.com,443,https://salesforceliveagent.com:443,https,sfdcedge,GET,34.226.36.51,/,1433417005,13.113.196.52,Salesforce,13,False,"salesforce.com, inc.",DigiCert Inc,,,text/html,,,URL=https://www.salesforce.com,
*.staging-n26.com,ERROR: The request could not be satisfied,403,919,staging-n26.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-06-07T23:59:59Z,CN=staging-n26.com,staging-n26.com,www.staging-n26.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,fc53951951d56d1efdef6c782602c597,03295c26516e040dfb411f64171d56046a811c0351706706604aa55c09027940,ctls,staging-n26.com,443,https://staging-n26.com:443,https,CloudFront,GET,18.66.97.88,/,-94946836,18.66.97.9,Amazon Web Services,20,False,,Amazon,,cloudfront,text/html,True,,,
*.youtube-nocookie.com,Oops,404,7501,youtube-nocookie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,daa3b740f2db8b5a7b864d3ada166890,dda5766e50d188d90b1dadb806816ad1b2abde1b0f35f467406a2fe028740cb3,ctls,youtube-nocookie.com,443,https://youtube-nocookie.com:443,https,ESF,GET,172.217.18.14,/,20536228,2a00:1450:4001:813::200e,HTTP/3,1,False,,Google Trust Services LLC,True,,text/html,,,,True
3ds-challenge.n26.com,,403,13,3ds-challenge.n26.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-11T00:00:00Z,2024-01-10T23:59:59Z,"CN=3ds-challenge.n26.com, O=N26 GmbH, L=Berlin, C=DE, serialNumber=HRB 151080, businessCategory=Private Organization, jurisdictionLocality=Charlottenburg, jurisdictionStateOrProvince=Berlin, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Charlottenburg, jurisdictionStateOrProvince=Berlin, jurisdictionCountry=DE",3ds-challenge.n26.com,www.3ds-challenge.n26.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,0bb7fb2a2ef0daa3020c6d23fbf61baf,7508cbf8f413a7285766463b81666b0f36488bbe6e02efb597892af611cf65d6,ctls,3ds-challenge.n26.com,443,https://3ds-challenge.n26.com:443,https,Apache,GET,194.126.144.229,/,1274734426,194.126.144.229,HSTS,1,False,N26 GmbH,DigiCert Inc,,,text/html,,,,
aisp-staging.tech26.de,,404,,aisp-staging.tech26.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T15:35:04Z,2023-09-14T03:35:33Z,CN=obnium-edge.service.consul,obnium-edge.service.consul,xs2a-staging.tech26.de,CN=Staging Intermediate N26 CA,Staging Intermediate N26 CA,243a83ddd1eb0e561edef0c1baf7ef2e,7f2b1627c84856c6c56c39c3a5dbd0a9d0721c296647529b147a5677c25ea2b4,ctls,aisp-staging.tech26.de,443,https://aisp-staging.tech26.de:443,https,envoy,GET,18.198.37.101,/,-1840324437,18.184.178.109,Envoy,1,False,,,,,,,,,
aisp.tech26.de,,404,,aisp.tech26.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-23T00:00:00Z,2023-07-19T23:59:59Z,"CN=aisp.tech26.de, O=N26 GmbH, L=Berlin, C=DE",aisp.tech26.de,xs2a.tech26.de,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,e2af8c62b789335abe6f4f96cd8d22b7,3443503ae40b3ffb761fc229ced854b2f199e9a4fe5449436134bd856b984a90,ctls,aisp.tech26.de,443,https://aisp.tech26.de:443,https,envoy,GET,18.158.19.43,/,-1840324437,18.158.19.43,Envoy,1,False,N26 GmbH,DigiCert Inc,,,,,,,
beta-api.tech26.de,,401,102,beta-api.tech26.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,2024-03-27T23:59:59Z,"CN=api.tech26.de, O=N26 AG, L=Berlin, ST=Berlin, C=DE",api.tech26.de,fpt.tech26.de,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,d8a8f71fb424c59277581e17beb1bee3,2204747c3650a2d77ead161858e60f1c2b553012b5d48ec0b9b33eae2d11b264,ctls,beta-api.tech26.de,80,http://beta-api.tech26.de:80,http,envoy,GET,128.65.211.26,/,-469146358,128.65.211.26,Envoy,1,False,N26 AG,DigiCert Inc,,,application/json,,https://beta-api.tech26.de/,,
bfpt.n26.com,404 Not Found,404,345,bfpt.n26.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-03T23:59:59Z,CN=*.n26.com,*.n26.com,*.n26.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,6f8f78f384568c6a7bb0467cdf5d13d1,d071fe90bd08c0828a2174de0d01e898e941af590747768e8551d2a046439e60,ctls,bfpt.n26.com,443,https://bfpt.n26.com:443,https,AmazonS3,GET,13.225.78.44,/,-39295398,13.225.78.47,HSTS,15,False,,Amazon,True,cloudfront,text/html,True,,,
canary.tech26.de,504,504,70749,canary.tech26.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,2024-03-27T23:59:59Z,"CN=api.tech26.de, O=N26 AG, L=Berlin, ST=Berlin, C=DE",api.tech26.de,fpt.tech26.de,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,d8a8f71fb424c59277581e17beb1bee3,2204747c3650a2d77ead161858e60f1c2b553012b5d48ec0b9b33eae2d11b264,ctls,canary.tech26.de,443,https://canary.tech26.de:443,https,,GET,128.65.211.26,/,900038876,128.65.211.26,,1,False,N26 AG,DigiCert Inc,,,text/html,,,,True
