input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_expired
*.getpostman.com,Postman,,33744,www.postman.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-24T00:00:00Z,"CN=postman.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",postman.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.postman.com,443,https://getpostman.com:443,https,cloudflare,text/html,GET,100.24.227.45,HSTS,12,,
00000-okta-alpha.buckettoolbar.chd.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-alpha.buckettoolbar.chd.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.78,Amazon Web Services,20,True,
00000-okta-alpha.chef-toolbar.chd.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-alpha.chef-toolbar.chd.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.114,Amazon Web Services,20,True,
00000-okta-alpha.download-5d6af49b.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-alpha.download-5d6af49b.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.78,Amazon Web Services,20,True,
00000-okta-alpha.toolbar-gateway.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-alpha.toolbar-gateway.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.78,Amazon Web Services,20,True,
00000-okta-alpha.toolbar.chd.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-alpha.toolbar.chd.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.76,Amazon Web Services,20,True,
00000-okta-alpha.toolbar.org.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-alpha.toolbar.org.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.78,Amazon Web Services,20,True,
00000-okta-alpha.toolbartadpole.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-alpha.toolbartadpole.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.114,Amazon Web Services,20,True,
00000-okta-alpha.vpn.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-alpha.vpn.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.76,Amazon Web Services,20,True,
00000-okta-idp-611.sso-ci.app-west.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-idp-611.sso-ci.app-west.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.76,Amazon Web Services,20,True,
00000-okta-idp-611.sso-data.app-west.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-idp-611.sso-data.app-west.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.114,Amazon Web Services,20,True,
00000-okta-idp-611.sso-testbed.app-west.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-idp-611.sso-testbed.app-west.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.78,Amazon Web Services,20,True,
00000-okta-idp-611.sso.app-west.claiming.com.au,ERROR: The request could not be satisfied,,915,,,,,,,,,,,,,,80,http://00000-okta-idp-611.sso.app-west.claiming.com.au:80,http,CloudFront,text/html,GET,13.32.99.76,Amazon Web Services,20,True,
