input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_subject_org_,tls_expired
https://s1.adis.ws,Amplience Dynamic Imaging,,119,s1.adis.ws,443,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,"CN=static.amplience.net, O=Amplience (UK) Limited, L=London, C=GB",static.amplience.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,s1.adis.ws,443,https://s1.adis.ws:443,https,cloudflare,text/html,GET,172.64.155.106,Cloudflare,8,True,Amplience (UK) Limited,
https://scormanywhere.secure.force.com,Salesforce - Enterprise Edition,,34899,scormanywhere.my.salesforce-sites.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-05T00:00:00Z,"CN=ia5.my.salesforce-sites.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",ia5.my.salesforce-sites.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,scormanywhere.my.salesforce-sites.com,443,https://scormanywhere.secure.force.com:443,https,,text/html,GET,13.110.41.166,Salesforce,406,,"salesforce.com, inc.",
https://service.force.com/embeddedservice/,,,1991,service.force.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,"CN=*.um4.force.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",*.um4.force.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,service.force.com,443,https://service.force.com:443/embeddedservice/,https,,text/html,GET,161.71.0.166,HSTS,33,,"salesforce.com, inc.",
https://sfdc-link-preview-staging.sfdc.sh,,,9,sfdc-link-preview-staging.sfdc.sh,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T23:35:15Z,CN=sfdc-link-preview-staging.sfdc.sh,sfdc-link-preview-staging.sfdc.sh,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,sfdc-link-preview-staging.sfdc.sh,443,https://sfdc-link-preview-staging.sfdc.sh:443,https,,text/html,GET,50.19.152.20,,1,,,
https://sfdc-link-preview.hk.salesforce.com,,,9,sfdc-link-preview.hk.salesforce.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T04:53:17Z,CN=sfdc-link-preview.hk.salesforce.com,sfdc-link-preview.hk.salesforce.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,sfdc-link-preview.hk.salesforce.com,443,https://sfdc-link-preview.hk.salesforce.com:443,https,,text/html,GET,44.209.16.156,,1,,,
https://ssl.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,,118519,marketingplatform.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,CN=*.google.com,*.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,marketingplatform.google.com,443,https://ssl.google-analytics.com:443,https,sffe,text/html,GET,142.250.181.232,HTTP/3,1831,,,
https://storage.googleapis.com,,,181,storage.googleapis.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:28:59Z,CN=storage.googleapis.com,storage.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,storage.googleapis.com,443,https://storage.googleapis.com:443,https,UploadServer,application/xml,GET,142.250.185.80,HTTP/3,1,,,
https://support.bigcommerce.com,,,479,support.bigcommerce.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-23T05:14:54Z,CN=na68-1.cdn.salesforce-communities.com,na68-1.cdn.salesforce-communities.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,support.bigcommerce.com,443,https://support.bigcommerce.com:443,https,,text/html,GET,2.23.209.132,Salesforce,28,,,
https://support.bigcommerce.com/,,,479,support.bigcommerce.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-23T05:14:54Z,CN=na68-1.cdn.salesforce-communities.com,na68-1.cdn.salesforce-communities.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,support.bigcommerce.com,443,https://support.bigcommerce.com:443,https,,text/html,GET,2.23.209.132,Salesforce,28,,,
https://translate.google.com,Google Translate,,1345750,translate.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,CN=*.google.com,*.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,translate.google.com,443,https://translate.google.com:443,https,ESF,text/html,GET,172.217.18.14,HTTP/3,309,,,
https://translate.googleapis.com,Error 404 (Not Found)!!1,,1561,translate.googleapis.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:25:28Z,CN=upload.video.google.com,upload.video.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,translate.googleapis.com,443,https://translate.googleapis.com:443,https,ESF,text/html,GET,142.250.186.74,HTTP/3,12,,,
https://translation.googleapis.com,Error 404 (Not Found)!!1,,1561,translation.googleapis.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:25:28Z,CN=upload.video.google.com,upload.video.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,translation.googleapis.com,443,https://translation.googleapis.com:443,https,ESF,text/html,GET,142.250.184.202,HTTP/3,12,,,
https://uip.canary.lwc.dev,,,18,uip.canary.lwc.dev,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T02:50:10Z,CN=uip.canary.lwc.dev,uip.canary.lwc.dev,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,uip.canary.lwc.dev,443,https://uip.canary.lwc.dev:443,https,,application/json,GET,3.95.102.139,Node.js,1,,,
https://use.fontawesome.com,,,243,use.fontawesome.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T03:15:52Z,CN=use.fontawesome.com,use.fontawesome.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,ctls,use.fontawesome.com,443,https://use.fontawesome.com:443,https,cloudflare,application/xml,GET,172.64.132.15,HTTP/3,2,True,,
https://webfonts.zohostatic.com,,,47,webfonts.zohostatic.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-25T00:00:00Z,CN=*.zohostatic.com,*.zohostatic.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,webfonts.zohostatic.com,443,https://webfonts.zohostatic.com:443,https,ZGS,text/html,GET,204.141.42.123,HSTS,6,,,
https://www.bigcommerce.com,,,314914,www.bigcommerce.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.bigcommerce.com,443,https://www.bigcommerce.com:443,https,cloudflare,text/html,GET,63.141.128.3,webpack,285,,"BigCommerce, Inc.",
https://www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,,118519,marketingplatform.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,CN=*.google.com,*.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,marketingplatform.google.com,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,142.250.185.110,HTTP/3,1831,,,
https://www.google.com,Google,,261118,www.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,www.google.com,443,https://www.google.com:443,https,gws,text/html,GET,142.250.185.164,HTTP/3,569,,,
https://www.googletagmanager.com,Error 400 (Bad Request)!!1,,1555,www.googletagmanager.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,CN=*.google-analytics.com,*.google-analytics.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.186.104,HTTP/3,12,,,
https://www.gstatic.com,Error 404 (Not Found)!!1,,1561,www.gstatic.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:25:28Z,CN=*.gstatic.com,*.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,www.gstatic.com,443,https://www.gstatic.com:443,https,sffe,text/html,GET,142.250.184.195,HTTP/3,12,,,
https://www.youtube-nocookie.com,Oops,,7501,www.youtube-nocookie.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,CN=*.google.com,*.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,www.youtube-nocookie.com,443,https://www.youtube-nocookie.com:443,https,ESF,text/html,GET,142.250.185.238,HTTP/3,1,,,
https://www.youtube.com,,,6196,www.youtube.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:16:32Z,CN=*.google.com,*.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,www.youtube.com,443,https://www.youtube.com:443,https,ESF,text/html,GET,142.250.186.174,HTTP/3,1,,,
https://wwwcdn.bigcommerce.com,,,243,wwwcdn.bigcommerce.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,wwwcdn.bigcommerce.com,443,https://wwwcdn.bigcommerce.com:443,https,cloudflare,application/xml,GET,63.141.128.3,HTTP/3,2,,"BigCommerce, Inc.",
ideas.bigcommerce.com,,,,ideas.bigcommerce.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,ideas.bigcommerce.com,443,https://ideas.bigcommerce.com:443,https,,text/html,GET,34.102.196.0,HTTP/3,1,True,"BigCommerce, Inc.",
international.bigcommerce.com,,,284080,international.bigcommerce.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,international.bigcommerce.com,443,https://international.bigcommerce.com:443,https,Vercel,text/html,GET,34.149.171.217,webpack,346,True,"BigCommerce, Inc.",
investors.bigcommerce.com,"Investor Relations | BigCommerce Holdings, Inc.",,83619,investors.bigcommerce.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-05-01T23:12:31Z,CN=leapfrog-ssl-31.gcs-web.com,leapfrog-ssl-31.gcs-web.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,investors.bigcommerce.com,443,https://investors.bigcommerce.com:443,https,,text/html,GET,104.126.37.186,ZURB Foundation,1343,,,
jira.bigcommerce.com,Log in with Atlassian account,,6709,id.atlassian.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-05-10T00:00:00Z,"CN=*.atlassian.com, O=Atlassian Pty Ltd, L=Sydney, ST=New South Wales, C=AU",*.atlassian.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,ctls,id.atlassian.com,443,https://jira.bigcommerce.com:443,https,AtlassianEdge,text/html,GET,34.102.196.0,HSTS,1,True,Atlassian Pty Ltd,
launchbay.bigcommerce.net,Launchbay,,7847,launchbay.bigcommerce.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,"CN=*.bigcommerce.net, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,launchbay.bigcommerce.net,443,https://launchbay.bigcommerce.net:443,https,,text/html,GET,34.102.180.173,Ruby on Rails,112,True,"BigCommerce, Inc.",
login.bigcommerce.com,Log In - BigCommerce,,6833,login.bigcommerce.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,login.bigcommerce.com,443,https://login.bigcommerce.com:443,https,,text/html,GET,35.227.219.245,Ruby on Rails,115,True,"BigCommerce, Inc.",
manage.bigcommerce.com,Log In - BigCommerce,,6833,login.bigcommerce.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,login.bigcommerce.com,443,https://manage.bigcommerce.com:443,https,,text/html,GET,35.227.219.245,Ruby on Rails,115,True,"BigCommerce, Inc.",
meet.bigcommerce.com,,,,meet.bigcommerce.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-05T11:32:35Z,CN=meet.bigcommerce.com,meet.bigcommerce.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,meet.bigcommerce.com,443,https://meet.bigcommerce.com:443,https,,,GET,52.1.10.65,HSTS,1,,,
microapp-cdn.gcp.bigcommerce.net,,,111,microapp-cdn.gcp.bigcommerce.net,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,microapp-cdn.gcp.bigcommerce.net,443,https://microapp-cdn.gcp.bigcommerce.net:443,https,UploadServer,application/xml,GET,34.117.232.248,HTTP/3,1,True,"BigCommerce, Inc.",
microapps.bigcommerce.com,,,111,microapps.bigcommerce.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,microapps.bigcommerce.com,443,https://microapps.bigcommerce.com:443,https,UploadServer,application/xml,GET,34.117.232.248,HTTP/3,1,True,"BigCommerce, Inc.",
nagios.gcp.bigcommerce.net,Sign In,,2928,nagios.gcp.bigcommerce.net,443,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2022-06-14T20:49:55Z,"emailAddress=serverops@bigcommerce.com, CN=service.prd-us-central1.consul, OU=Technical Operations, O=BigCommerce Pty. Ltd., ST=New South Wales, C=AU, emailAddress=serverops@bigcommerce.com",service.prd-us-central1.consul,"emailAddress=serverops@bigcommerce.com, CN=BigCommerce Internal Root CA, OU=Technical Operations, O=BigCommerce Pty. Ltd., L=Sydney, ST=New South Wales, C=AU, emailAddress=serverops@bigcommerce.com",BigCommerce Internal Root CA,BigCommerce Pty. Ltd.,ctls,nagios.gcp.bigcommerce.net,443,https://nagios.gcp.bigcommerce.net:443,https,openresty,text/html,GET,35.232.187.119,OpenResty,128,True,BigCommerce Pty. Ltd.,
newsletter.bigcommerce.com,404 Not Found,,564,newsletter.bigcommerce.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,CN=*.sendgrid.net,*.sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",ctls,newsletter.bigcommerce.com,443,https://newsletter.bigcommerce.com:443,https,nginx,text/html,GET,167.89.118.83,Nginx,14,,,
next.bigcommerce.com,BigCommerce Support - 404 Page Not Found,,13100,support.bigcommerce.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-23T05:14:54Z,CN=na68-1.cdn.salesforce-communities.com,na68-1.cdn.salesforce-communities.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,support.bigcommerce.com,443,https://next.bigcommerce.com:443,https,,text/html,GET,34.102.196.0,Salesforce,306,True,,
oauth.bigcommerce.com,BigCommerce,,238,oauth.bigcommerce.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,oauth.bigcommerce.com,443,https://oauth.bigcommerce.com:443,https,,text/html,GET,35.227.219.245,HSTS,11,True,"BigCommerce, Inc.",
omni-checkout.bigcommerce.com,503 Service Temporarily Unavailable,,596,omni-checkout.bigcommerce.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,omni-checkout.bigcommerce.com,443,https://omni-checkout.bigcommerce.com:443,https,,text/html,GET,35.244.212.253,HTTP/3,14,True,"BigCommerce, Inc.",
partners.bigcommerce.com,BigCommerce Partner Program | Home,,62060,partners.bigcommerce.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-06-20T00:00:00Z,"CN=partners.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",partners.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,partners.bigcommerce.com,443,https://partners.bigcommerce.com:443,https,Microsoft-IIS/10.0,text/html,GET,209.170.205.68,Windows Server,696,,"BigCommerce, Inc.",
payments-lb.gcp.bigcommerce.net,503 Service Temporarily Unavailable,,194,payments-lb.gcp.bigcommerce.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,"CN=*.bigcommerce.net, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,payments-lb.gcp.bigcommerce.net,443,https://payments-lb.gcp.bigcommerce.net:443,https,,text/html,GET,35.244.136.81,HSTS,8,True,"BigCommerce, Inc.",
payments.bigcommerce.com,,,9,payments.bigcommerce.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-02-23T00:00:00Z,"CN=*.bigcommerce.com, O=BigCommerce\, Inc., L=Austin, ST=Texas, C=US",*.bigcommerce.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,payments.bigcommerce.com,443,https://payments.bigcommerce.com:443,https,,text/html,GET,35.244.136.81,HSTS,1,True,"BigCommerce, Inc.",
