input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,webserver,final_url,tech_,cdn_name,cdn,tls_self_signed,tls_expired,location
05a40c0402cc4e2bb8dca7a9e85bf760.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,05a40c0402cc4e2bb8dca7a9e85bf760.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,05a40c0402cc4e2bb8dca7a9e85bf760.waf.huaweicloud.com,443,https://05a40c0402cc4e2bb8dca7a9e85bf760.waf.huaweicloud.com:443,https,text/html,GET,122.112.208.36,/,-684935588,122.112.208.35,1,False,,CloudWAF,,,,,True,,
078dda04fc284058940039ebb5d0de25.apigw.cn-north-4.huaweicloud.com,,404,157,AS55990,HWCSNET Huawei Cloud Service data center,CN,49.4.126.0/24,078dda04fc284058940039ebb5d0de25.apigw.cn-north-4.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-28T06:51:47Z,2024-04-28T06:51:46Z,"CN=*.apigw.cn-north-4.huaweicloud.com, O=Huawei Software Technologies Co.\, Ltd., L=Nanjing, ST=Jiangsu, C=CN",*.apigw.cn-north-4.huaweicloud.com,"Huawei Software Technologies Co., Ltd.",apigw.cn-north-4.huaweicloud.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6a7ee62111e0178f081c24ecb24bc097,436d5938685be23c82865cbeea2eb51134bdf8110b2988c0306e4ebbc09a9c88,True,ctls,078dda04fc284058940039ebb5d0de25.apigw.cn-north-4.huaweicloud.com,443,https://078dda04fc284058940039ebb5d0de25.apigw.cn-north-4.huaweicloud.com:443,https,application/json,GET,49.4.112.59,/,1319025251,49.4.112.58,2,False,,api-gateway,,,,,,,
1b0844ddfa4c40f68228c7648b20e991.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,1b0844ddfa4c40f68228c7648b20e991.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,1b0844ddfa4c40f68228c7648b20e991.waf.huaweicloud.com,443,https://1b0844ddfa4c40f68228c7648b20e991.waf.huaweicloud.com:443,https,text/html,GET,117.78.24.42,/,-684935588,117.78.24.43,1,False,,CloudWAF,,,,,True,,
21fe2c4aa566422b9f2b9e9779fbd0fe.apigw.cn-south-1.huaweicloud.com,,404,157,AS55990,HWCSNET Huawei Cloud Service data center,CN,139.159.192.0/18,21fe2c4aa566422b9f2b9e9779fbd0fe.apigw.cn-south-1.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-28T07:31:07Z,2024-04-28T07:31:06Z,"CN=*.apigw.cn-south-1.huaweicloud.com, O=Huawei Software Technologies Co.\, Ltd., L=Nanjing, ST=Jiangsu, C=CN",*.apigw.cn-south-1.huaweicloud.com,"Huawei Software Technologies Co., Ltd.",apigw.cn-south-1.huaweicloud.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,c1fde438d095ec1ba1b62ccb3675f9c6,926f7916e8fafee1f66563856c7d41d987d44e8311f6c6ac50ef4ccc34f4caf7,True,ctls,21fe2c4aa566422b9f2b9e9779fbd0fe.apigw.cn-south-1.huaweicloud.com,443,https://21fe2c4aa566422b9f2b9e9779fbd0fe.apigw.cn-south-1.huaweicloud.com:443,https,application/json,GET,139.159.208.120,/,1017284376,139.159.208.120,2,False,,api-gateway,,,,,,,
2215-cn-north-4.cdn-vod.huaweicloud.com,400 Bad Request,400,154,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,2215-cn-north-4.cdn-vod.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2023-03-14T06:56:03Z,2024-04-14T06:56:02Z,"CN=*.cdn-vod.huaweicloud.com, O=Huawei Software Technologies Co.\, Ltd., L=Nanjing, ST=Jiangsu, C=CN",*.cdn-vod.huaweicloud.com,"Huawei Software Technologies Co., Ltd.",cdn-vod.huaweicloud.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,822eea10559ac889293080dc178d599d,7e53e29cd55dd79d94f0a3ff0ed28442fc9e836fbe12a1e0a7ef0496ea8672db,True,ctls,2215-cn-north-4.cdn-vod.huaweicloud.com,443,https://2215-cn-north-4.cdn-vod.huaweicloud.com:443,https,text/html,GET,122.228.91.87,/,-1179026472,122.228.91.87,8,False,,elb,,,,,,,
2a77b638c0de4b6993b2f933608018fc.waf.huaweicloud.com,HUAWEI CLOUD WeLink后台管理,200,3760,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,2a77b638c0de4b6993b2f933608018fc.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2022-12-06T07:24:17Z,2024-01-07T07:24:16Z,"CN=welink.huaweicloud.com, O=华为技术有限公司, L=深圳, ST=广东, C=CN",welink.huaweicloud.com,华为技术有限公司,*.welink.myhuaweicloud.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a4118c459f8c9f31ab5f0db9434201a8,dd31a1da3ccb9ba884733a7c939128e43c3c839aeecfbda23541002afba5ba98,True,ctls,2a77b638c0de4b6993b2f933608018fc.waf.huaweicloud.com,443,https://2a77b638c0de4b6993b2f933608018fc.waf.huaweicloud.com:443,https,text/html,GET,119.3.224.159,/,1494302000,121.36.69.250,28,False,,nginx,https://2a77b638c0de4b6993b2f933608018fc.waf.huaweicloud.com/web/admin/#/,Nginx,,,,,
2d581488340b48d18796da01c52e5b64.apigw.cn-north-4.huaweicloud.com,,404,157,AS55990,HWCSNET Huawei Cloud Service data center,CN,49.4.126.0/24,2d581488340b48d18796da01c52e5b64.apigw.cn-north-4.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-28T06:51:47Z,2024-04-28T06:51:46Z,"CN=*.apigw.cn-north-4.huaweicloud.com, O=Huawei Software Technologies Co.\, Ltd., L=Nanjing, ST=Jiangsu, C=CN",*.apigw.cn-north-4.huaweicloud.com,"Huawei Software Technologies Co., Ltd.",apigw.cn-north-4.huaweicloud.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6a7ee62111e0178f081c24ecb24bc097,436d5938685be23c82865cbeea2eb51134bdf8110b2988c0306e4ebbc09a9c88,True,ctls,2d581488340b48d18796da01c52e5b64.apigw.cn-north-4.huaweicloud.com,443,https://2d581488340b48d18796da01c52e5b64.apigw.cn-north-4.huaweicloud.com:443,https,application/json,GET,49.4.112.58,/,-2104015751,49.4.112.59,2,False,,api-gateway,,,,,,,
360b4ac59a96469895a54927e2593c85.apigw.cn-north-1.huaweicloud.com,,400,131,AS55990,HWCSNET Huawei Cloud Service data center,CN,43.254.0.0/22,360b4ac59a96469895a54927e2593c85.apigw.cn-north-1.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-07T01:21:05Z,2024-03-10T01:21:04Z,"CN=*.apigw.cn-north-1.huaweicloud.com, O=Huawei Software Technologies Co.\, Ltd., L=Nanjing, ST=Jiangsu, C=CN",*.apigw.cn-north-1.huaweicloud.com,"Huawei Software Technologies Co., Ltd.",apigw.cn-north-1.huaweicloud.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,b37335443a2f1fa50f1bb9f29b0ff203,3d9bd0f352af21149bb15dbfedd7a2f7281c07d74830ecccbba7e6f85e08cd01,True,ctls,360b4ac59a96469895a54927e2593c85.apigw.cn-north-1.huaweicloud.com,443,https://360b4ac59a96469895a54927e2593c85.apigw.cn-north-1.huaweicloud.com:443,https,application/json,GET,43.254.0.94,/,390466920,43.254.0.94,2,False,,api-gateway,,,,,,,
3cloud.huawei.com,,200,1320,AS136907,HWCLOUDS-AS-AP HUAWEI CLOUDS,HK,14.137.154.0/24,3cloud.huawei.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-30T10:41:15Z,2023-09-30T10:41:15Z,"CN=3cloud.huawei.com, O=Huawei Technologies Co.\, Ltd, L=Shenzhen, ST=Guangdong, C=CN",3cloud.huawei.com,"Huawei Technologies Co., Ltd",3cloud.huawei.com,"CN=Actalis Organization Validated Server CA G3, O=Actalis S.p.A., L=Ponte San Pietro, ST=Bergamo, C=IT",Actalis Organization Validated Server CA G3,Actalis S.p.A.,c12695490c8cb8ed1db11c9a689d5fe2,483d386ade583961156943a2400e5c5e306640ec2c58852956255a6f9a30c2cf,,ctls,3cloud.huawei.com,443,https://3cloud.huawei.com:443,https,text/html,GET,14.137.135.17,/,190856733,14.137.135.17,1,False,https://61.160.52.240,,,,,,,,
421e33712366402f96e73bd927998d3b.waf.huaweicloud.com,未找到,404,2150,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,421e33712366402f96e73bd927998d3b.waf.huaweicloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2017-08-17T01:41:51Z,2027-08-15T01:41:51Z,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,,"O=Default Company Ltd, L=Default City, C=XX",,Default Company Ltd,ea37e19c758a66f7d20c17cf7c276c63,72233debaa9b5bebdad8ba027e3c345cfe28547e5d614b0d2e32f7f99d784b62,,ctls,421e33712366402f96e73bd927998d3b.waf.huaweicloud.com,443,https://421e33712366402f96e73bd927998d3b.waf.huaweicloud.com:443,https,text/html,GET,117.78.24.40,/,-684935588,117.78.24.35,1,False,,CloudWAF,,,,,True,,
