new,host,a,soa,status_code,cdn,cdn-name,cname,caa,aaaa,mx,txt,ns
[x],payments.intigriti.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u2306935.wl186.sendgrid.net,,,mx.sendgrid.net,v=spf1 ip4:159.183.223.14 ip4:167.89.105.42 -all,
,api-demo.intigriti.com,"13.32.99.4, 13.32.99.88, 13.32.99.2, 13.32.99.70","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,api-stage.intigriti.com,"18.160.41.90, 18.160.41.31, 18.160.41.128, 18.160.41.110","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,api-uat.intigriti.com,"18.160.41.31, 18.160.41.90, 18.160.41.110, 18.160.41.128","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,api.intigriti.com,"13.32.99.4, 13.32.99.70, 13.32.99.88, 13.32.99.2","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,app-demo.intigriti.com,"52.222.139.89, 52.222.139.55, 52.222.139.126, 52.222.139.108","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,app-stage.intigriti.com,"52.222.139.126, 52.222.139.89, 52.222.139.108, 52.222.139.55","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,app-uat.intigriti.com,"52.222.139.126, 52.222.139.55, 52.222.139.89, 52.222.139.108","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,autodiscover.intigriti.com,"40.99.157.8, 40.99.155.232, 52.97.188.72","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,"2603:1026:c0d:34::8, 2603:1026:c0d:2a::8, 2603:1026:c0d:70::8",,,
,click-stage.intigriti.com,"143.204.89.99, 143.204.89.21, 143.204.89.110, 143.204.89.7","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,click-uat.intigriti.com,"18.244.146.125, 18.244.146.72, 18.244.146.29, 18.244.146.84","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,communication-demo.intigriti.com,"18.66.112.83, 18.66.112.37, 18.66.112.56, 18.66.112.5","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,communication-stage.intigriti.com,"18.66.112.37, 18.66.112.5, 18.66.112.83, 18.66.112.56","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
