new,host,soa,status_code,mx,ns,txt,caa
[x],admin.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],api.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],app.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],db-staging.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],db.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],mta-sts.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"mx2.improvmx.com, mx1.improvmx.com","trey.ns.cloudflare.com, meera.ns.cloudflare.com",v=spf1 include:_spf.google.com include:spf.improvmx.com -all,"digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, comodoca.com, mailto:security@railto.com"
[x],staging-admin.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],staging-api.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],staging-app.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],staging-db.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],staging.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],www.railto.com,"meera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
