new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],apidocs.fanduel.com,,,apidocs.east.fdbox.net,"ns-75.awsdns-09.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,v=spf1 a:gw-1.east.fdbox.net a:gw-2.east.fdbox.net a:gw-3.east.fdbox.net a:gw-4.east.fdbox.net include:amazonses.com ~all,,,
[x],test-casino.fanduel.com,54.144.128.85,,,,NOERROR,,,,,,,,
,1099pro.fanduel.com,10.213.12.150,,1099-nlb-f0ac8c90c3ce4246.elb.us-west-2.amazonaws.com,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.213.12.150,
,ablink.ma.cas.fanduel.com,"65.9.86.10, 65.9.86.106, 65.9.86.75, 65.9.86.63","2600:9000:2104:4400:8:f46f:9b00:93a1, 2600:9000:2104:4e00:8:f46f:9b00:93a1, 2600:9000:2104:2000:8:f46f:9b00:93a1, 2600:9000:2104:5600:8:f46f:9b00:93a1, 2600:9000:2104:b000:8:f46f:9b00:93a1, 2600:9000:2104:f800:8:f46f:9b00:93a1, 2600:9000:2104:5400:8:f46f:9b00:93a1, 2600:9000:2104:2e00:8:f46f:9b00:93a1",d1u26kdsim4qr0.cloudfront.net,"ns-1190.awsdns-20.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-383.awsdns-47.com, ns-607.awsdns-11.net, ns-1190.awsdns-20.org, ns-1625.awsdns-11.co.uk",,,,,
,ablink.ma.sb.fanduel.com,"18.65.39.112, 18.65.39.75, 18.65.39.12, 18.65.39.118","2600:9000:238d:5a00:1b:cf5a:4c40:93a1, 2600:9000:238d:c200:1b:cf5a:4c40:93a1, 2600:9000:238d:b800:1b:cf5a:4c40:93a1, 2600:9000:238d:6a00:1b:cf5a:4c40:93a1, 2600:9000:238d:f800:1b:cf5a:4c40:93a1, 2600:9000:238d:400:1b:cf5a:4c40:93a1, 2600:9000:238d:8a00:1b:cf5a:4c40:93a1, 2600:9000:238d:fa00:1b:cf5a:4c40:93a1",d2y9j6lcu6pve9.cloudfront.net,"ns-360.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1902.awsdns-45.co.uk, ns-360.awsdns-45.com, ns-935.awsdns-52.net, ns-1160.awsdns-17.org",,,,,
,ablink.racing.fanduel.com,"18.244.202.58, 18.244.202.44, 18.244.202.113, 18.244.202.107",,d2fi36nbddhqko.cloudfront.net,"ns-1654.awsdns-14.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,abmail.racing.fanduel.com,,,u13036686.wl187.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 ip4:192.254.113.143 -all,,,
,account-internal.fanduel.com,"172.16.70.1, 172.16.53.93, 172.16.61.129",,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"172.16.70.1, 172.16.53.93, 172.16.61.129",
,account.ak.sportsbook.fanduel.com,"18.244.155.126, 18.244.155.5, 18.244.155.65, 18.244.155.35",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1465.awsdns-55.org, ns-1863.awsdns-40.co.uk, ns-498.awsdns-62.com, ns-961.awsdns-56.net",,,,,
,account.al.sportsbook.fanduel.com,"65.9.66.8, 65.9.66.117, 65.9.66.37, 65.9.66.26",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ar.sportsbook.fanduel.com,"18.244.155.5, 18.244.155.126, 18.244.155.35, 18.244.155.65",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.az.sportsbook.fanduel.com,,,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.ca.sportsbook.fanduel.com,"65.9.66.117, 65.9.66.37, 65.9.66.8, 65.9.66.26",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,account.co.sportsbook.fanduel.com,"18.154.63.104, 18.154.63.112, 18.154.63.20, 18.154.63.72",,,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
