input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,final_url,tls_expired,csp_domains_,tls_self_signed,tls_emails_
0-antivirus.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://0-antivirus.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
01-antivirus.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://01-antivirus.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
02-antivirus.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://02-antivirus.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
111-viruswall.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://111-viruswall.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
114.viruswall.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://114.viruswall.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
13-distance.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://13-distance.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
2013-corona.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://2013-corona.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
4sale.telenet.be,404 Not Found,404,612,AS6848,TELENET-AS,BE,195.130.128.0/19,,,,,,,,,,,,,,,,,,,80,http://4sale.telenet.be:80,http,Apache,text/html,GET,195.130.132.84,/,-896013687,195.130.132.84,Apache,14,False,,,,,,,,,
52.yelo.be,Telenet TV Yelo,200,19605,AS6848,TELENET-AS,BE,213.224.0.0/16,yelo.telenet.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T02:57:30Z,2024-04-07T02:57:29Z,"CN=yelo.telenet.tv, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",yelo.telenet.tv,www.yelo.telenet.tv,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,018d4b6b123f4d737eaf5b45295b6754,917679594a9aca3526e6aa8a5b679dd6dafd1ffa642732b3ea3d91086c5e4550,ctls,yelo.telenet.tv,,443,https://52.yelo.be:443,https,,text/html,GET,213.224.149.248,/,-833618195,2a02:1800:100:4001::6:2,AngularJS,54,False,,Telenet BV,,,https://yelo.telenet.tv/,,,,
9lives.be,,200,3432,AS6848,TELENET-AS,BE,195.162.192.0/19,www.9lives.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-14T05:46:02Z,2023-12-16T05:46:01Z,"CN=*.prd.telenet.be, O=Telenet BV, L=Mechelen, ST=Antwerpen, C=BE",*.prd.telenet.be,prd.telenet.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,38f8a262dcdd51a53c677ab6894e75a5,283ac6d610a082ca099ffe8c6ee5468a1f72a6e483c0f4d7d8d06a1720406695,ctls,www.9lives.be,,443,https://9lives.be:443,https,,text/html,GET,195.162.197.140,/,1721626789,2a02:1800:120:6002::3,Varnish,51,False,,Telenet BV,True,,https://www.9lives.be/9lives/9lives.html,,,,
