new,host,soa,caa,status_code,cname,a,mx,ns,txt,cdn,cdn-name,has_internal_ips,internal_ips,aaaa
[x],asbestos.la.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,,,,,,,,,
[x],aws.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,35.182.173.59,,,,,,,,
[x],builder.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
[x],cert.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,192.168.234.7,,,,,,True,192.168.234.7,
[x],docs.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,sidefx.com,206.223.178.168,"alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com","ns-337.awsdns-42.com, ns-978.awsdns-58.net, ns-1354.awsdns-41.org, ns-1574.awsdns-04.co.uk","MS=ms61042170, v=spf1 mx ip4:76.9.215.90/32 ip4:38.140.221.82/32 ip4:206.223.178.168/32 ip4:74.123.188.162/32 a:mail.psigate.com  include:_spf.google.com include:servers.mcsv.net -all, Side Effects Software Inc, google-site-verification=XUH02tc8QIabJdsHlI1ZctC-ClrDNt71ljRjIMbcyA8, hostmaster@sidefx.com +1 416 504 9876",,,,,
[x],doris.la.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,,,,,,,,,
[x],download.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,206.223.178.168,,,,,,,,
[x],drive.sidefx.com,"ns1.google.com, dns-admin.google.com",,NOERROR,ghs.googlehosted.com,142.251.40.115,,,,,,,,2607:f8b0:4006:81f::2013
[x],edu.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,ftp.sidefx.com,206.223.178.164,,,,,,,,
[x],email.mg.sidefx.com,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com","digicert.com, letsencrypt.org, ;",NOERROR,mailgun.org,34.102.239.211,"mxa.mailgun.org, mxb.mailgun.org","ns-133.awsdns-16.com, ns-586.awsdns-09.net, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA",True,google,,,
[x],file.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,192.168.234.65,,,,,,True,192.168.234.65,
[x],florida.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,,,,,,,,,
[x],ftp.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,206.223.178.164,,,,,,,,
[x],gallery.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,ftp.sidefx.com,206.223.178.164,,,,,,,,
[x],games.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,archive.sidefx.com,,,,,,,,,
[x],gate.la.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,,,,,,,,,
[x],hamster.la.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
[x],internal.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,192.168.234.70,,,,,,True,192.168.234.70,
[x],juliana.la.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
[x],karen.la.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,,,,,,,,,
[x],la-gw.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,74.123.188.162,,,,,,,,
[x],labs.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,archive.sidefx.com,,,,,,,,,
[x],lists.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,archive.sidefx.com,,,,,,,,,
[x],mail.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,,,,,,,,,
[x],mailproxy.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,206.223.178.168,,,,,,,,
[x],media.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,True,cloudfront,,,
[x],nat.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
[x],ovpn.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,206.223.178.167,,,,,,,,
[x],peter.la.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,,,,,,,,,
[x],phish.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,3.138.63.169,,,,,,,,
[x],pipe.la.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,,,,,,,,,
[x],servgate.la.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,,,,,,,,,
[x],service.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,archive.sidefx.com,,,,,,,,,
[x],sftp.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,206.223.178.170,,,,,,,,
[x],sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,206.223.178.168,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns-978.awsdns-58.net, ns-1354.awsdns-41.org, ns-337.awsdns-42.com, ns-1574.awsdns-04.co.uk","MS=ms61042170, google-site-verification=XUH02tc8QIabJdsHlI1ZctC-ClrDNt71ljRjIMbcyA8, Side Effects Software Inc, v=spf1 mx ip4:76.9.215.90/32 ip4:38.140.221.82/32 ip4:206.223.178.168/32 ip4:74.123.188.162/32 a:mail.psigate.com  include:_spf.google.com include:servers.mcsv.net -all, hostmaster@sidefx.com +1 416 504 9876",,,,,
[x],sidefx1.la.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",entrust.net,NOERROR,,,,,,,,,,
[x],smtp.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,206.223.178.163,,,,,,,,
[x],sslvpn.sidefx.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,76.9.215.90,,,,,,,,
