input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_subject_org_,csp_domains_
*.algolia.com,Site Search & Discovery powered by AI | Algolia,200,329529,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.algolia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-03T00:00:00Z,2024-02-02T23:59:59Z,"CN=algolia.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",algolia.com,*.dashboard.algolia.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f5b266e35a70370ea30ddc4bc995d6e5,d318dd3e2aafb63f7d6fdeb36bd373f6ef388eb5c16ced45e39d6585c51b7f43,True,ctls,www.algolia.com,cloudflare,443,https://algolia.com:443,https,cloudflare,text/html,GET,104.16.46.55,/,990331403,104.16.45.55,webpack,153,False,True,https://www.algolia.com/,"Cloudflare, Inc.",*.pendo.io
*.algolia.net,,404,164,AS16276,OVH,FR,149.202.0.0/16,algolia.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-20T00:00:00Z,2024-01-19T23:59:59Z,"CN=algolia.net, O=Algolia, ST=California, C=US",algolia.net,*.algolianet.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d996252868a755cd1b281cf5710e0040,c7f5fcb7649e5986fa1b5bf1b6029ad00b6fc929dfbeb661143d2e3307fb7227,True,ctls,algolia.net,,443,https://algolia.net:443,https,nginx,application/json,GET,149.202.84.123,/,1672854361,103.254.154.6,Nginx,1,False,,https://algolia.net/1/404,Algolia,
*.algolianet.com,Algolianet.com,200,132,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,algolianet.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2022-06-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,algolianet.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3ab7b5f5171f338d1e20d37a18d2787c,24cda955fbb7ff6a54588d3333dca8359c4686f7b2c4980d9152a082546707c4,True,ctls,algolianet.com,cloudflare,443,https://algolianet.com:443,https,cloudflare,text/html,GET,104.18.119.11,/,1828954820,104.18.120.11,Cloudflare,7,False,True,,"Cloudflare, Inc.",url=https://www.algolia.com/
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://doubleclick.net:443,https,sffe,text/html,GET,142.250.186.142,/,708578229,2a00:1450:4001:80b::200e,HTTP/3,2179,False,,https://marketingplatform.google.com/about/enterprise/,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.184.196,/,302920777,2a00:1450:4001:801::2004,HTTP/3,1831,False,,https://marketingplatform.google.com/about/analytics/,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform
*.google.co.uk,Google,200,205163,AS15169,GOOGLE,US,142.250.0.0/15,www.google.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:00:49Z,2023-07-17T12:00:48Z,CN=www.google.co.uk,www.google.co.uk,www.google.co.uk,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,96e89e10ad984706e3de9ccb5eb3065f,37703e49f41472b1255753868561f47fc0e8211c0fda15cdc01727a92d457a3e,,ctls,www.google.co.uk,,443,https://google.co.uk:443,https,gws,text/html,GET,142.250.181.227,/,708578229,2a00:1450:4001:812::2003,HTTP/3,168,False,,https://www.google.co.uk/,,http:
*.google.com,Google,200,254414,AS15169,GOOGLE,US,172.217.0.0/19,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,172.217.16.206,/,708578229,2a00:1450:4001:827::200e,HTTP/3,569,False,,https://www.google.com/,,https://csp.withgoogle.com/csp/gws/other-hp
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,AS15169,GOOGLE,US,142.250.0.0/15,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,googletagmanager.com,,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.185.72,/,302920777,2a00:1450:4001:80e::2008,HTTP/3,12,False,,,,
*.onetrust.com,Trust Intelligence Cloud Solutions | OneTrust,200,150244,AS13335,CLOUDFLARENET,US,172.64.192.0/20,www.onetrust.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-09T15:36:27Z,2023-08-07T16:35:17Z,CN=onetrust.com,onetrust.com,oneaccess-dev.corp.onetrust.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,f9dd3411d05cd3973d510aa9d1b2da5f,ebd45342af01016e2f7c58a218258dbabfd3c101522fe4a1272169ff61730345,True,ctls,www.onetrust.com,cloudflare,80,http://onetrust.com:80,http,cloudflare,text/html,GET,172.64.144.98,/,981394608,2606:4700:4400::6812:2b9e,Java,2430,False,True,https://www.onetrust.com/,,*.cloudflare.com
000-v3-client.fitbit.com,404 Not Found,404,548,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://000-v3-client.fitbit.com:80,http,cloudflare,text/html,GET,104.16.66.50,/,566218143,104.16.65.50,Google Cloud CDN,14,False,True,,,
