input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,lines,tech_,tls_self_signed,tls_subject_org_,tls_expired,cdn
activate.arubanetworks.com,,,2364,activate.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-19T00:00:00Z,"CN=activate.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",activate.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,activate.arubanetworks.com,443,https://activate.arubanetworks.com:443,https,,text/html,GET,35.164.114.233,43,HSTS,,Hewlett Packard Enterprise Company,,
aed.arubanetworks.com,CAR & CAP Dashboard,,798,aed.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-01-21T00:00:00Z,"CN=aed.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",aed.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,aed.arubanetworks.com,443,https://aed.arubanetworks.com:443,https,Microsoft-IIS/8.5,text/html,GET,13.57.3.210,19,Windows Server,,Hewlett Packard Enterprise Company,,
aed.getaws.arubanetworks.com,CAR & CAP Dashboard,,798,aed.getaws.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-01-21T00:00:00Z,"CN=aed.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",aed.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,aed.getaws.arubanetworks.com,443,https://aed.getaws.arubanetworks.com:443,https,Microsoft-IIS/8.5,text/html,GET,13.57.3.210,19,Windows Server,,Hewlett Packard Enterprise Company,,
afo.arubanetworks.com,Access Denied,,269,www.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T00:00:00Z,"CN=www.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=San Jose, ST=California, C=US",www.arubanetworks.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.arubanetworks.com,443,https://afo.arubanetworks.com:443,https,AkamaiGHost,text/html,GET,18.208.237.48,10,,,Hewlett Packard Enterprise Company,,
afp.arubanetworks.com,Page Expired,,1379,sso.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-18T00:00:00Z,"CN=sso.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",sso.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,sso.arubanetworks.com,443,https://afp.arubanetworks.com:443,https,nginx,text/html,GET,104.36.248.206,44,Nginx,,Hewlett Packard Enterprise Company,,
ags-thdweb.arubanetworks.com,TheHomeDepot,,2204,ags-thdweb.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,"CN=ags-thdweb.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",ags-thdweb.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,ags-thdweb.arubanetworks.com,443,https://ags-thdweb.arubanetworks.com:443,https,nginx/1.15.12,text/html,GET,3.229.63.74,1,Nginx:1.15.12,,Hewlett Packard Enterprise Company,,
akb.arubanetworks.com,Aruba Knowledge Base (AKB),,3533,akb.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-21T00:00:00Z,"CN=akb.arubanetworks.com, O=Hewlett Packard Enterprise Company, L=Palo Alto, ST=California, C=US",akb.arubanetworks.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,akb.arubanetworks.com,443,https://akb.arubanetworks.com:443,https,Apache,text/html,GET,104.36.248.201,68,Python,,Hewlett Packard Enterprise Company,,
amerlocator.arubanetworks.com,,,2054,amerlocator.arubanetworks.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,"CN=*.na158.force.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",*.na158.force.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,amerlocator.arubanetworks.com,443,https://amerlocator.arubanetworks.com:443,https,,text/html,GET,13.110.64.163,66,,,"salesforce.com, inc.",,
ans-stg-dec-qe.k8s-prod.getaws.arubanetworks.com,,,21,ans-stg-dec-qe.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T13:41:47Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,ans-stg-dec-qe.k8s-prod.getaws.arubanetworks.com,443,https://ans-stg-dec-qe.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/plain,GET,54.193.199.202,1,Nginx:1.21.6,True,Acme Co,,
ans-stg-develop.k8s-prod.getaws.arubanetworks.com,Aruba Notification System,,1127,ans-stg-develop.k8s-prod.getaws.arubanetworks.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-30T20:14:13Z,CN=ans-stg-develop.k8s-prod.getaws.arubanetworks.com,ans-stg-develop.k8s-prod.getaws.arubanetworks.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ans-stg-develop.k8s-prod.getaws.arubanetworks.com,443,https://ans-stg-develop.k8s-prod.getaws.arubanetworks.com:443,https,nginx/1.21.6,text/html,GET,54.193.199.202,22,Nginx:1.21.6,,,,
