input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,cdn_name,tech_,cdn,tls_mismatched,webserver,final_url
admin.droneportal-test.portofantwerp.com,Unifly,200,11963,admin.droneportal-test.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-14T11:42:53Z,2023-06-12T11:42:52Z,CN=admin.droneportal-test.portofantwerpbruges.com,admin.droneportal-test.portofantwerpbruges.com,,admin.droneportal-test.portofantwerpbruges.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ca8e71379bc05ba9f2b91d6293a4e979,6b17307637467387cf58647953391c304daef4fee9a05760423c1a8ed90b5866,,ctls,admin.droneportal-test.portofantwerpbruges.com,443,https://admin.droneportal-test.portofantwerp.com:443,https,text/html,GET,20.71.75.76,/,1506877856,20.71.75.76,49,False,https://3.aerial.maps.api.here.com/,,HSTS,,,,https://admin.droneportal-test.portofantwerpbruges.com/
admin.droneportal.portofantwerp.com,Unifly,200,11963,admin.droneportal.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-14T11:34:05Z,2023-07-13T11:34:04Z,CN=admin.droneportal.portofantwerpbruges.com,admin.droneportal.portofantwerpbruges.com,,admin.droneportal.portofantwerpbruges.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,28a9f645c56902fb82eb922a67702ef9,74d5662058a8ff087323c7de3abb4665c2e48e89b2e1cf423f6b5faa538d0f8a,,ctls,admin.droneportal.portofantwerpbruges.com,443,https://admin.droneportal.portofantwerp.com:443,https,text/html,GET,20.76.27.235,/,1506877856,20.76.27.235,49,False,https://3.aerial.maps.api.here.com/,,HSTS,,,,https://admin.droneportal.portofantwerpbruges.com/
autodiscover.portofantwerp.com,Sign in to Outlook,200,198592,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,80,http://autodiscover.portofantwerp.com:80,http,text/html,GET,52.97.189.72,/,-1249852061,40.99.149.168,174,False,,,HSTS,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=15b3665d-2aa9-8250-806d-d176206ff220&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=portofantwerp.com&nonce=638194151197444295.38fa55ed-c7e6-4db1-82a2-a1ef03806d06&state=DctNDsIgEEBh0Lu4o2X4Z9F4lhGGxMQ6Da3t9WXxvd2TQoj7cBukHhEx2ATZgQfI0Tlnsp9saug9VVUiBeXqC1QyaBQCNW2TDlUHOV4184XzsxN-1mXjfnDD73FR36bC6-OsC_4Oru-98En9Dw
bedrijvengids.portofantwerp.com,Port of Antwerp,200,44485,bedrijvengids.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-17T07:30:08Z,2024-05-18T07:30:07Z,CN=bedrijvengids.portofantwerpbruges.com,bedrijvengids.portofantwerpbruges.com,,companyguide.portofantwerpbruges.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,827a400ac31c46a311b0af0cde0abbd0,d9dd43e9deae0be96b371b6b9020d9b62bb142306756ba23dda563c4f153bde7,,ctls,bedrijvengids.portofantwerpbruges.com,443,https://bedrijvengids.portofantwerp.com:443,https,text/html,GET,94.107.237.236,/,-2081826305,94.107.237.236,619,False,,,Google Tag Manager,,,,https://bedrijvengids.portofantwerpbruges.com
dasp-d1.portofantwerp.com,Not Found,404,315,dasp-d1.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-08-01T11:58:07Z,2023-09-02T11:58:06Z,"CN=*.portofantwerp.com, O=Haven van Antwerpen - Brugge (Port of Antwerp - Bruges), L=Antwerpen, ST=Antwerpen, C=BE",*.portofantwerp.com,Haven van Antwerpen - Brugge (Port of Antwerp - Bruges),portofantwerp.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,d1f1ba665f5e87d81e0380e107f52490,eeb1cdc7a57a6911df06ff82db28620914322b0a0472a8b3e21b5490868a91a3,True,ctls,dasp-d1.portofantwerp.com,443,https://dasp-d1.portofantwerp.com:443,https,text/html,GET,188.118.8.22,/,225052475,188.118.8.22,7,False,,,Microsoft HTTPAPI:2.0,,,Microsoft-HTTPAPI/2.0,
dasp-m1.portofantwerp.com,Not Found,404,315,dasp-m1.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-08-01T11:58:07Z,2023-09-02T11:58:06Z,"CN=*.portofantwerp.com, O=Haven van Antwerpen - Brugge (Port of Antwerp - Bruges), L=Antwerpen, ST=Antwerpen, C=BE",*.portofantwerp.com,Haven van Antwerpen - Brugge (Port of Antwerp - Bruges),portofantwerp.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,d1f1ba665f5e87d81e0380e107f52490,eeb1cdc7a57a6911df06ff82db28620914322b0a0472a8b3e21b5490868a91a3,True,ctls,dasp-m1.portofantwerp.com,443,https://dasp-m1.portofantwerp.com:443,https,text/html,GET,94.107.237.224,/,225052475,94.107.237.224,7,False,,,Microsoft HTTPAPI:2.0,,,Microsoft-HTTPAPI/2.0,
datasharing.portofantwerp.com,Port of Antwerp Open Data | Port of Antwerp-Bruges Open Data Platform,200,28244,datasharing.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-28T23:18:17Z,2023-07-27T23:18:16Z,CN=datasharing.portofantwerp.com,datasharing.portofantwerp.com,,datasharing.portofantwerp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,888b7b7cbe4ef4d9aaaec55405a1b600,aba432e0cdfac1b9d6ca3de0d5a7c30a7dedd10dca11971f318adf1ee3252c86,,ctls,datasharing.portofantwerp.com,443,https://datasharing.portofantwerp.com:443,https,text/html,GET,65.52.153.67,/,1026057194,65.52.153.67,583,False,,azure,Sitecore,True,,,
digital.portofantwerp.com,,200,33933,digital.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-10T08:03:37Z,2023-11-11T08:03:36Z,CN=digital.portofantwerp.com,digital.portofantwerp.com,,digital.portofantwerp.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,9688b627064dffd23bb23cd4242142c7,1060d81fd6a17b0bbfd125bf189d9fbaa432356bec6c3cccc6009ea9296b2b6d,,ctls,digital.portofantwerp.com,443,https://digital.portofantwerp.com:443,https,text/html,GET,34.249.46.95,/,-964123282,52.51.93.4,17,False,,,HSTS,,,,
droneportal-test.portofantwerp.com,Port Of Antwerp Portal,200,14455,droneportal-test.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-14T11:43:02Z,2023-06-12T11:43:01Z,CN=droneportal-test.portofantwerpbruges.com,droneportal-test.portofantwerpbruges.com,,droneportal-test.portofantwerpbruges.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4c6edb9da6e6dcb3e4cd0c56317497e6,f17fd7ca018d48f63e352c609a5bebd034bd65e49c273ae725fc4ca24427b498,,ctls,droneportal-test.portofantwerpbruges.com,443,https://droneportal-test.portofantwerp.com:443,https,text/html,GET,20.71.75.76,/,190856733,20.71.75.76,49,False,https://2.base.maps.ls.hereapi.com/,,HSTS,,,,https://droneportal-test.portofantwerpbruges.com/
droneportal.portofantwerp.com,Port Of Antwerp Portal,200,14455,droneportal.portofantwerpbruges.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-14T11:34:23Z,2023-07-13T11:34:22Z,CN=droneportal.portofantwerpbruges.com,droneportal.portofantwerpbruges.com,,droneportal.portofantwerpbruges.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,24e6e47ee33c470d37e89dd97a0dd3ca,78ea67f5734c70c17a6bfe168a3a1b52561762a45f50f43331d6964c11f4f49b,,ctls,droneportal.portofantwerpbruges.com,443,https://droneportal.portofantwerp.com:443,https,text/html,GET,20.76.27.235,/,1506877856,20.76.27.235,49,False,https://1.base.maps.ls.hereapi.com/,,HSTS,,,,https://droneportal.portofantwerpbruges.com/
