new,host,a,mx,soa,ns,txt,caa,status_code,cname,cdn,cdn-name,aaaa,has_internal_ips,internal_ips
[x],admin.droneportal-test.portofantwerp.com,20.71.75.76,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,,letsencrypt.org,NOERROR,poa-uat.unifly.tech,,,,,
[x],admin.droneportal.portofantwerp.com,20.76.27.235,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,,letsencrypt.org,NOERROR,poa-prd.unifly.tech,,,,,
[x],autodiscover.portofantwerp.com,"40.99.150.40, 40.99.150.56, 52.98.243.24, 40.99.149.216",,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,,,NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,
[x],bedrijvengids.portofantwerp.com,,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],dasp-d1.portofantwerp.com,188.118.8.22,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],dasp-m1.portofantwerp.com,94.107.237.224,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],datasharing.portofantwerp.com,65.52.153.67,,"ns2.haven.antwerpen.be, noc.portofantwerp.com","ns1.haven.antwerpen.be, ns2.haven.antwerpen.be",,letsencrypt.org,NOERROR,,True,azure,,,
[x],digital.portofantwerp.com,"52.51.93.4, 34.249.46.95",,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",,,,NOERROR,"digital-portofantwerp-1-2.nxt.unifiedpost.com, nxt-1-2-frontend-portofantwerp-1949769235.eu-west-1.elb.amazonaws.com",,,,,
[x],droneportal-test.portofantwerp.com,20.71.75.76,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,,letsencrypt.org,NOERROR,poa-uat.unifly.tech,,,,,
[x],droneportal.portofantwerp.com,20.76.27.235,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",,,letsencrypt.org,NOERROR,poa-prd.unifly.tech,,,,,
[x],events.portofantwerp.com,52.51.215.23,events-portofantwerp-com.mail.protection.outlook.com,"ns2.haven.antwerpen.be, noc.portofantwerp.com","ns2.haven.antwerpen.be, ns1.haven.antwerpen.be",,letsencrypt.org,NOERROR,,,,,,
[x],future-acc.portofantwerp.com,"52.49.25.102, 54.246.210.44",,"ns-1969.awsdns-54.co.uk, awsdns-hostmaster.amazon.com","ns-892.awsdns-47.net, ns-1228.awsdns-25.org, ns-1969.awsdns-54.co.uk, ns-434.awsdns-54.com",,"awstrust.com, amazonaws.com, amazontrust.com, globalsign.com, amazon.com, letsencrypt.org",NOERROR,yamblastaging.com,,,,,
[x],gitlab-d1.portofantwerp.com,188.118.8.52,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],gitlab.portofantwerp.com,94.107.237.228,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],hmobctrl-d1.portofantwerp.com,188.118.8.82,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],job.portofantwerp.com,,job-portofantwerp-com.mail.protection.outlook.com,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,v=spf1 include:spf.protection.outlook.com -all,,NOERROR,,,,,,
[x],lyncdiscover.portofantwerp.com,,,"admin.nsatc.net, dns.level3.net",,,,NOERROR,webdir.online.lync.com,,,2603:1027:0:48::21,,
[x],mail-d1.portofantwerp.com,188.118.8.61,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],mail.portofantwerp.com,188.118.8.29,mail-portofantwerp-com.mail.protection.outlook.com,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,v=spf1 include:customers.clickdimensions.com ~all,,NOERROR,,,,,,
[x],mam-d1.portofantwerp.com,188.118.8.77,,"ns2.haven.antwerpen.be, noc.portofantwerp.com","ns1.haven.antwerpen.be, ns2.haven.antwerpen.be",,,NOERROR,,,,,,
[x],mam-m1.portofantwerp.com,94.107.237.227,,"ns2.haven.antwerpen.be, noc.portofantwerp.com","ns2.haven.antwerpen.be, ns1.haven.antwerpen.be",,,NOERROR,,,,,,
[x],mam-test.portofantwerp.com,188.118.8.12,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],mdm-m1.portofantwerp.com,94.107.237.225,,"ns2.haven.antwerpen.be, noc.portofantwerp.com","ns2.haven.antwerpen.be, ns1.haven.antwerpen.be",,,NOERROR,,,,,,
[x],media.portofantwerp.com,94.107.237.236,,"ns-1868.awsdns-41.co.uk, awsdns-hostmaster.amazon.com","ns2.haven.antwerpen.be, ns1.haven.antwerpen.be, ns-1488.awsdns-58.org, ns-167.awsdns-20.com, ns-1868.awsdns-41.co.uk, ns-514.awsdns-00.net",,amazon.com,NOERROR,rr-media-portofantwerp-com.getbynder.com,,,,,
[x],netmonitor.portofantwerp.com,188.118.8.7,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],newsroom.portofantwerp.com,"172.66.40.152, 172.66.43.104",,"marty.ns.cloudflare.com, dns.cloudflare.com",,,"mailto:admin@prezly.com, amazon.com, comodoca.com, digicert.com, entrust.net, globalsign.com, letsencrypt.org, pki.goog, sectigo.com",NOERROR,customers.prezly.com,True,cloudflare,,,
[x],opendata-stg.portofantwerp.com,52.166.182.144,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,letsencrypt.org,NOERROR,,True,azure,,,
[x],outlook.portofantwerp.com,188.118.8.61,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,mail-d1.portofantwerp.com,,,,,
[x],portofantwerp.com,"94.107.237.236, 94.107.237.194, 188.118.8.124",portofantwerp-com.mail.protection.outlook.com,"ns2.haven.antwerpen.be, noc.portofantwerp.com","ns2.haven.antwerpen.be, ns1.haven.antwerpen.be","domain-verification:cde95e51a6235b8d76f4e8c34251d677f2c39d90, google-site-verification=BLfgz8tbKT1heSJD8WlGm6Ivx8r-n8LldSwy4XNsjHc, infoblox-domain-mastery=53d38df7ebff266155a565d048f9969ec2f3db4465cedd09aa5dfca4ee6fa90a44, apple-domain-verification=0hcXC9r9Xg1Fjtxm, atlassian-domain-verification=o71Fe9UtFQjj319rKNJdaW3Ze/ccWTw0LLVGIJlePyoruTMua/MfjQOpYIHTNBcH, facebook-domain-verification=8bnjqzpouc0sfmeygtm4394ezxbt5h, workplace-domain-verification=egdFVjTOnuzlPMCgIchGAlka52pd7Q, MS=ms29686084, v=spf1 ip4:94.107.237.204 ip4:188.118.8.13 include:spf.protection.outlook.com -all, 4BTX6ho7YB9KX3iHLEO9yNuixMaXcyrMNadNoGMlrZE0IicedTySgzldjN1EbIk0w+fIhre0fwYqK0NIMqMkNA==, _globalsign-domain-verification=GqtgPJJ27IxNGI6npbycuyE1CrSZgBwvkZXxiDIdBn",globalsign.com,NOERROR,,,,,,
[x],potf19.portofantwerp.com,52.51.215.23,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],press.portofantwerp.com,,press-portofantwerp-com.mail.protection.outlook.com,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,v=spf1 include:spf.protection.outlook.com include:customers.prezly.io -all,,NOERROR,,,,,,
[x],relay.portofantwerp.com,"94.107.237.200, 188.118.8.8",,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],s.portofantwerp.com,,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],sapsupport.portofantwerp.com,188.118.8.53,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],sip.portofantwerp.com,,,"admin.nsatc.net, dns.level3.net",,,,NOERROR,sipdir.online.lync.com,,,,,
[x],surveys.portofantwerp.com,77.241.93.24,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,v=spf1 include:wappmail.com -all,letsencrypt.org,NOERROR,,,,,,
[x],usa.portofantwerp.com,217.111.147.8,,"ns2.haven.antwerpen.be, noc.portofantwerp.com","ns1.haven.antwerpen.be, ns2.haven.antwerpen.be",,,NOERROR,,,,,,
[x],vsbctrunk-m1.portofantwerp.com,94.107.237.218,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,,,,,,
[x],web2.mail.portofantwerp.com,0.0.0.0,,"fake-for-negative-caching.adguard.com, hostmaster.web2.mail.portofantwerp.com",,,,NOERROR,,,,::,True,0.0.0.0
[x],webmail.portofantwerp.com,188.118.8.16,,"ns2.haven.antwerpen.be, noc.portofantwerp.com",,,,NOERROR,mail-d1.portofantwerp.com,,,,,
[x],www.events.portofantwerp.com,52.51.215.23,,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,cname.halito.com,,,,,
