new,host,a,aaaa,cname,mx,soa,status_code,ns,has_internal_ips,internal_ips,txt,caa,cdn,cdn-name
[x],0.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],0.yandex.ru,213.180.204.242,,,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],05222domain-xmpp.ya.ru,213.180.204.242,,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],05269domain-xmpp.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],0807b4.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],1.avatars.mds.yandex.net,"87.250.247.183, 87.250.247.184, 87.250.247.181, 87.250.247.182",2a02:6b8::184,,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],1.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],10-tina.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],10.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],100-43-83-160.yandex.com,100.43.83.160,,,,"ns1.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],100-43-83-161.yandex.com,100.43.83.161,,,,"ns1.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],1000.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],1000000.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],101743230.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],104324956.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],10a.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],10questions.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],11206178.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],115662641.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,,,NOERROR,,,,,,,
[x],117240938.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],12.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],120129341.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],121447594.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],122.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],123.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],124.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],124016313.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],125705038.ya.ru,"213.180.193.1, 93.158.134.1","2a02:6b8::242, 2a02:6b8::1, 2a02:6b8:0:1::1",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],1274744024.verify.yandex.ru,"213.180.193.90, 93.158.134.90, 213.180.204.90, 87.250.250.90, 77.88.21.90",2a02:6b8::90,an.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],127540849.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],127908635.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],128858542.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],129.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],12959330.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],12966475.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],13.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],130498157.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],131039366.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],132.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],1333761395.verify.yandex.ru,"213.180.193.90, 77.88.21.90, 213.180.204.90, 87.250.250.90, 93.158.134.90",2a02:6b8::90,an.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],137106206.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],141-8-143-142.spider.yandex.com,141.8.143.142,,,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],141393404.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],14487738.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns1.yandex.ru, ns2.yandex.ru",,,,,,
[x],1537962r8100a1106-yvadpt9kmail.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],158896447.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],162.58.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],162178210.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],164103906.ya.ru,213.180.204.242,,any.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],1641532825.verify.yandex.ru,"213.180.204.90, 87.250.250.90, 77.88.21.90, 213.180.193.90, 93.158.134.90",2a02:6b8::90,an.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],1651341282.verify.yandex.ru,"213.180.193.90, 213.180.204.90, 77.88.21.90, 87.250.250.90, 93.158.134.90",2a02:6b8::90,an.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],168.0.254internet.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],179143488.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],17x17.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],18.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],1885910687.verify.yandex.ru,"213.180.204.90, 87.250.250.90, 77.88.21.90, 213.180.193.90, 93.158.134.90, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1",an.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns1.yandex.ru, ns2.yandex.ru",,,,,,
[x],191385736.verify.yandex.ru,"77.88.21.90, 213.180.193.90, 213.180.204.90, 87.250.250.90, 93.158.134.90",2a02:6b8::90,an.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
