new,host,soa,status_code,a,aaaa,mx,ns,txt,caa,cname
,s2.domainkey.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"v=DKIM1; k=rsa; h=sha256; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA4d/jridMLV9rZ/lBiDYA17BWKWIHnvLzCVGoFcOENqxLym8ro869rgp82mcxobr2kPyd+sfAS/REOoZ+pkf1wnyywQrf4r9i1O9Bnop4/WsRXTIfgKtaIOtwyhgsv9JH5KpxeQxHwl9CEHhqJuF, Jp808gbqRZt6PDp2YetB23EyJ5kp/jpn5/aCvVpC27+jnQH6NoYN8wNsC6cTSA1EhL1etUwJrZUwRtf8S2PIDJOm1/CUtc9a/d3sZk15LDtUUbODrQMrj5mzMzHPYp43MwLFRlvSa/O+xIx8esNxwnDa7PH6PZLB8lhtkY49/4ofKV5BQKMGmGmyn+rgYDHD8iwIDAQAB",,s2._domainkey.tutanota.de
,spf.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,v=spf1 ip4:81.3.6.160/28 -all,,
,status.tutanota.com,"ns1.nodeping.com, info.nodeping.com",NOERROR,"51.79.77.52, 84.22.105.156, 50.116.36.87, 107.191.117.145",,"aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com","ns2.nodeping.com, ns3.nodeping.com, ns1.nodeping.com","google-site-verification=mkrdZCJ1IWLlDl3Th6fVNZy1r-_qeLPejkFj6-tExx4, v=spf1 ip4:142.202.241.105 ip6:2605:8340:0:9::2 ip4:161.129.153.106 ip6:2604:fbc0:2:d::8dbe ip4:66.55.82.33 ip6:2001:1850:1:0:107::21 include:spf.braintreegateway.com include:_spf.google.com include:email.freshdesk.com ~all, ta46q918t2qn6hiv968k6n2l0l","sectigo.com, letsencrypt.org, mailto:support@nodeping.com",nodeping.com
,support.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,terms.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.51,2a01:4f8:221:1d48::100:51,mail.test.tutanota.de,,v=spf1 include:spf.test.tutanota.de -all,"sectigo.com, letsencrypt.org",
,test.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.51,2a01:4f8:221:1d48::100:51,mail.test.tutanota.de,,v=spf1 include:spf.test.tutanota.de -all,,
,tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.12,2a10:e000:1::12,mail.tutanota.de,"ns-1714.awsdns-22.co.uk, ns-382.awsdns-47.com, ns-811.awsdns-37.net, ns-1076.awsdns-06.org","abuseipdb-verification=V6gdNUbd, v=spf1 include:spf.tutanota.de -all, google-site-verification=f4CoOCIjk4gRC1tdcBRI0BB17BJXEyPp9vIY6vFwgkg","letsencrypt.org, sectigo.com",
,tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.12,2a10:e000:1::12,mail.tutanota.de,"ns-1344.awsdns-40.org, ns-1757.awsdns-27.co.uk, ns-478.awsdns-59.com, ns-998.awsdns-60.net",,"letsencrypt.org, sectigo.com",
,w1.api.test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.51,2a01:4f8:221:1d48::100:51,,,,,
,w1.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,81.3.6.162,2a02:790:1:d::100:162,,,,,
,w1.test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.51,2a01:4f8:221:1d48::100:51,,,,,
,w1.test.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.51,,,,,,
,w1.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,81.3.6.162,,,,v=spf1 include:spf.tutanota.de -all,,
,w11.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.11,2a10:e000:1::11,,,,,
,w11.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,w12.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.12,2a10:e000:1::12,,,,,
,w13.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.13,2a10:e000:1::13,,,,,
,w15.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.15,2a10:e000:1::15,,,,,
,w2.api.test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.52,2a01:4f8:221:1d48::100:52,,,,,
,w2.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,81.3.6.163,2a02:790:1:d::100:163,,,,,
,w2.test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.52,2a01:4f8:221:1d48::100:52,,,,,
,w2.test.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.52,,,,,,
,w2.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,w2.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,81.3.6.163,,,,v=spf1 include:spf.tutanota.de -all,,
,w3.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,81.3.6.164,2a02:790:1:d::100:164,,,,,
,w3.test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.53,2a01:4f8:221:1d48::100:53,,,,,
,w3.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,w3.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,81.3.6.164,,,,v=spf1 include:spf.tutanota.de -all,,
,w4.api.test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.54,2a01:4f8:221:1d48::100:54,,,,,
,w4.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,81.3.6.165,2a02:790:1:d::100:165,,,,,
,w4.test.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,188.40.133.54,2a01:4f8:221:1d48::100:54,,,,,
,w4.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,81.3.6.165,,,,v=spf1 include:spf.tutanota.de -all,,
,w5.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,81.3.6.166,2a02:790:1:d::100:166,,,,,
,w5.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,w6.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,2a02:790:1:d::100:167,,,,,
,w6.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,w7.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,81.3.6.168,2a02:790:1:d::100:168,,,,,
,w8.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,w9.api.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.9,2a10:e000:1::9,,,,,
,w9.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,www.local.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,www.mail.test.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,www.tutanota.com,"ns-1714.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.12,2a10:e000:1::12,,,v=spf1 -all,,
,www.tutanota.de,"ns-1757.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,185.205.69.12,2a10:e000:1::12,,,v=spf1 -all,,
