new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,caa
,android-build-output.caffeine.tv,142.250.186.179,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:802::2013,,,,
,api-sam.development.caffeine.tv,"13.225.78.124, 13.225.78.79, 13.225.78.15, 13.225.78.85",d16x6372ho5q6o.cloudfront.net,"ns-752.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,"ns-1252.awsdns-28.org, ns-1794.awsdns-32.co.uk, ns-752.awsdns-30.net, ns-343.awsdns-42.com",
,api-sam.staging.caffeine.tv,"18.66.112.121, 18.66.112.21, 18.66.112.103, 18.66.112.104",d1qixklx3fzr7j.cloudfront.net,"ns-491.awsdns-61.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
,api.caffeine.tv,"35.163.241.190, 54.244.132.37, 34.216.48.206, 52.42.167.40",api.mesh.prd.prd.ethos.usw2.ctv.gg,"ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,api.ckousik.staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"heritage=external-dns,external-dns/owner=eks-staging.caffeine.tv.,external-dns/resource=service/istio-system/istio-ingressgateway",,,
,api.development.caffeine.tv,"52.32.65.108, 35.162.21.98, 35.83.85.23",api.mesh.dev-us-west-2.ethos.ctv.gg,"ns-1663.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,api.kyleparrott.staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"heritage=external-dns,external-dns/owner=eks-staging.caffeine.tv.,external-dns/resource=service/istio-system/istio-ingressgateway",,,
,api.staging.caffeine.tv,"35.86.5.63, 52.34.220.49, 44.233.158.63, 54.214.77.53",api.mesh.stg.stg.ethos.usw2.ctv.gg,"ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,argos.caffeine.tv,"35.163.241.190, 34.216.48.206, 52.42.167.40, 54.244.132.37",argos.mesh.prd.prd.ethos.usw2.ctv.gg,"ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,argos.staging.caffeine.tv,"35.86.5.63, 44.233.158.63, 54.214.77.53, 52.34.220.49",argos.mesh.stg.stg.ethos.usw2.ctv.gg,"ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,assets.caffeine.tv,146.75.118.49,h2.shared.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,assets.staging.caffeine.tv,151.101.246.49,h2.shared.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,atlantis.caffeine.tv,54.189.115.191,,"ns-83.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,atlantis.staging.caffeine.tv,34.210.246.201,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1328.awsdns-38.org, ns-1839.awsdns-37.co.uk, ns-374.awsdns-46.com, ns-690.awsdns-22.net",
,bank-vault.staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"heritage=external-dns,external-dns/owner=eks-staging.caffeine.tv.,external-dns/resource=service/istio-system/istio-ingressgateway",,,
,broadcaster-admin.caffeine.tv,172.217.18.19,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:828::2013,,,,
,brt.caffeine.tv,142.250.185.115,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:80f::2013,,,,
,caffeine.tv,"18.66.97.116, 18.66.97.23, 18.66.97.30, 18.66.97.49",,"ns-83.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:223c:7600:9:47b9:ba80:93a1, 2600:9000:223c:1600:9:47b9:ba80:93a1, 2600:9000:223c:7a00:9:47b9:ba80:93a1, 2600:9000:223c:c600:9:47b9:ba80:93a1, 2600:9000:223c:f200:9:47b9:ba80:93a1, 2600:9000:223c:b400:9:47b9:ba80:93a1, 2600:9000:223c:ec00:9:47b9:ba80:93a1, 2600:9000:223c:ac00:9:47b9:ba80:93a1","MS=ms61367863, ZOOM_verify_Dw5lBchqT7efhKsI0FnIig, _globalsign-domain-verification=16aKJufSrMKbcCAKCXzVC4PbCHEMl2CuparSiVEdN9, _globalsign-domain-verification=KNVFwiIau0UPX7e9YI_-YKI2YdlopUxcXX_0EgGYBQ, _globalsign-domain-verification=O60kZMoa5mBPIKKqd9FSRXcGUhU6s3rzZHzWNLAlL7, _globalsign-domain-verification=o9ERCKqNteyHWYRBJgTox9mljIsayxPBzLC9qR6x05, apple-domain-verification=sxWxP5WXVZmz2euP, atlassian-domain-verification=10oOTXYYOzPNySxkXx1XijVK8VZjWU5qj92SMpDw27/ly5tt1m6cXw5m/BFNg0M0, bugcrowd-verification=e246e21909826f80b815a3a88900a04b, dc76vkk1pvfho7av8fdp16rn94, facebook-domain-verification=4c04vjbewr1jz5qk5zovog18zecqwv, google-site-verification=fwVYxDCyp5ceI5bYCPCRKw0TLU6gRjMpWAPoEu8_kdQ, google-site-verification=nyhQ6yNAKH4OSxFSf_H2xtHYdMjQENVuI9VMoyeRPEE, google-site-verification=svLydb9zhR15Hx5S5CDDVQ5Ns99kXaZL00F62Vx4Qj4, google-site-verification=szT3_zNmY8VKcsIljqJBmYVThZSbGiNB73VN4tr5lEs, google-site-verification=tLIFQfOERFp7yoX4VaPpl7ig-wiOD9xGmCcdmQfTaNg, google-site-verification=vexOKTB5ATaBXp_6YXvd4_L2EW5dEKTvJIas6QsHKiU, v=spf1 include:_spf.google.com include:amazonses.com include:mail.zendesk.com include:spf.tipalti.com include:spf_c.oracle.com include:spf_a.oracle.com -all","aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-1464.awsdns-55.org, ns-1610.awsdns-09.co.uk, ns-650.awsdns-17.net, ns-83.awsdns-10.com","mailto:noc@caffeine.tv, awstrust.com, globalsign.com, godaddy.com, letsencrypt.org, sectigo.com"
,chromecast.caffeine.tv,"65.9.25.122, 65.9.25.39, 65.9.25.95, 65.9.25.125",,"ns-83.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
,chromecast.development.caffeine.tv,"108.138.51.113, 108.138.51.64, 108.138.51.77, 108.138.51.90",,"ns-1333.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
,chromecast.staging.caffeine.tv,"13.32.99.125, 13.32.99.110, 13.32.99.102, 13.32.99.17",,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
,community-dashboard.staging.caffeine.tv,172.217.168.51,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4017:80e::2013,,,,
,content-guide-editor.caffeine.tv,216.58.209.19,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:401b:808::2013,,,,
,content-guide-editor.staging.caffeine.tv,142.250.184.211,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:830::2013,,,,
,cpp.caffeine.tv,151.101.38.49,h2.shared.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
