new,host,a,soa,status_code,has_internal_ips,internal_ips,aaaa,cname,ns,mx,txt,cdn,cdn-name
[x],00.114.qq.com,,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],000477120.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],021.qq.com,0.0.0.1,,NOERROR,True,0.0.0.1,,,,,,,
[x],0d2um9mttanvfdm.vpn.km.antivirus.bo.webproxy.idc.tencent.com,31.13.112.9,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,2a03:2880:f11b:83:face:b00c:0:25de,,,,,,
[x],1-9-9-7.qzone.qq.com,203.205.254.103,"qq.com, webmaster.qq.com",NOERROR,,,240e:928:1400:10::49,,,,,,
[x],1111.qq.com,0.0.0.1,,NOERROR,True,0.0.0.1,,,,,,,
[x],12530.qq.com,0.0.0.1,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,True,0.0.0.1,,,,,,,
[x],13-courier2.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],155-9-171-56.114.qq.com,,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],155-9-172-12.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],155-9-184-64.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],155-9-192-44.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],155-9-193-88.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],155-9-202-43.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],155-9-204-67.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],155-9-243-10.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],155-9-243-95.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],158-7-251-33.114.qq.com,,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],16261861750.mapps.tencent.com,124.156.189.141,"ns-open1.qq.com, webmaster.qq.com, ns-tel1.qq.com",NOERROR,,,,ins-fzv8w2j8.ias.tencent-cloud.net,,,,,
[x],16285806898.mapps.tencent.com,30.49.191.2,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],17-121-112-44.114.qq.com,,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],17-121-112-74.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],17-121-114-34.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],17-121-114-39.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],17-121-114-61.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],17-121-114-96.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],17-121-116-21.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],17-121-117-20.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],17-121-117-5.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
[x],17-121-117-58.114.qq.com,203.205.239.246,"ns-tel1.qq.com, webmaster.qq.com",NOERROR,,,,,,,,,
