input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,final_url,csp_domains_,tls_expired,cdn_name,cdn
002.18.cdn.be-okta.dev.tencent.com,404 Not Found,404,583,002.18.cdn.be-okta.dev.tencent.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=coding.net, O=Tencent Technology (Shenzhen) Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",coding.net,Tencent Technology (Shenzhen) Company Limited,www.coding.net,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,3c9ecad2ae43bd0d2e5f8ab6edbeaf66,345189f4fa3deb9565ef4d6b2ff819ae63d34dce2977997419197fe98adf5736,ctls,002.18.cdn.be-okta.dev.tencent.com,443,https://002.18.cdn.be-okta.dev.tencent.com:443,https,Nginx,text/html,GET,81.69.167.241,/,-108780905,42.192.175.15,Nginx,26,False,True,True,,,,,
007.qq.com,在线体验 - 腾讯防水墙_专业的业务安全解决方案,200,1553,007.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=007.qq.com, O=Tencent Technology (Shenzhen) Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",007.qq.com,Tencent Technology (Shenzhen) Company Limited,007.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,8eef9bb19140c1ae6b1552fbf356aa4c,d61b5d7f8ab5cafe875196ca61d66c18c6eac8c952b10d48d89a13c9a091fbb1,ctls,007.qq.com,443,https://007.qq.com:443,https,nginx/1.12.2,text/html,GET,119.147.14.86,/,1969161028,2402:4e00:8010::18,Nginx:1.12.2,21,False,,,,,,,
1-9-9-7.qzone.qq.com,404,200,554,1-9-9-7.qzone.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-09T23:59:59Z,"CN=*.qzone.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",*.qzone.qq.com,Shenzhen Tencent Computer Systems Company Limited,qzone.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,45468e0cc2d9d2a1f7be6a6b8ca176f4,58fad71c0c0b8c951708b92cbf8a78b0116f8c10bb8e9a8b4615194351de94fa,ctls,1-9-9-7.qzone.qq.com,443,https://1-9-9-7.qzone.qq.com:443,https,QZHTTP-2.38.18,text/html,GET,203.205.254.103,/,1543951290,240e:928:1400:10::49,HSTS,21,False,,True,,,,,
1.game.qq.com,403 Forbidden,403,321,1.game.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-13T00:00:00Z,2023-10-14T23:59:59Z,"CN=game.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",game.qq.com,Shenzhen Tencent Computer Systems Company Limited,*.game.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,12b9877497dc8e75dfa16f74fbbed86c,51cb1b6e62a364a1135cf44addc7ab859cafa8df15db02bc45c69e263ce3b3dc,ctls,1.game.qq.com,443,https://1.game.qq.com:443,https,Apache,text/html,GET,101.89.39.122,/,-1054231241,101.89.39.122,Apache,11,False,,True,,,,,
1.jxqy.qq.com,,200,1375,1.jxqy.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=1.jxqy.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",1.jxqy.qq.com,Shenzhen Tencent Computer Systems Company Limited,3.jxqy.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,62d6df21f9b327bc1ab0aa85feecd25b,62bc658e8a9a57149a4138401de760686528f7d21bbe6ab5d92d82f2a1f41bb1,ctls,1.jxqy.qq.com,443,https://1.jxqy.qq.com:443,https,nginx,text/html,GET,203.205.234.24,/,1117835091,203.205.234.24,Nginx,43,False,,,,,,,
1.qq.com,腾讯精品页游,200,22684,1.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-30T00:00:00Z,2023-07-31T23:59:59Z,"CN=1.qq.com, O=Tencent Technology (Shenzhen) Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",1.qq.com,Tencent Technology (Shenzhen) Company Limited,1.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,7bfc260b40318028770f5af848cb99e5,0e6310341cf23b95af335cf07d99b0b01a8f54e4b9ab3d8e7f6e9dcf11d20cb9,ctls,1.qq.com,443,https://1.qq.com:443,https,Apache,text/html,GET,101.89.15.139,/,258824078,101.89.15.139,Apache,532,False,,,,,,,
1.tv.ott.video.qq.com,,404,36,1.tv.ott.video.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-09-09T23:59:59Z,"CN=1.tv.ott.video.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",1.tv.ott.video.qq.com,Shenzhen Tencent Computer Systems Company Limited,open.t.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,5ab36c1c4b6ef05db53a13afeb7e6f50,056d3113d5f6af3b8fa9340d12d20b43a34c340163a82b2353bf05e9cdf65d92,ctls,1.tv.ott.video.qq.com,443,https://1.tv.ott.video.qq.com:443,https,TAPISIX/2.1.8,text/plain,GET,183.47.104.240,/,430942978,183.47.104.240,,2,False,,,,,,,
1.vvoice.play.ott.video.qq.com,,200,21,,,,,,,,,,,,,,,,,,,80,http://1.vvoice.play.ott.video.qq.com:80,http,openresty,text/html,GET,14.17.27.101,/,1506877856,14.17.27.101,OpenResty,2,False,,,,,,,
101.qq.com,攻略中心-英雄联盟官方网站-腾讯游戏,200,4487,101.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T00:00:00Z,2024-05-19T23:59:59Z,"CN=101.qq.com, O=Tencent Technology (Shenzhen) Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",101.qq.com,Tencent Technology (Shenzhen) Company Limited,101.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,e7ee160b4bbaad971d145570a63d9765,26cdcfa64cec0b2c194f777155f63bd66f5f570290f9d0a1978c492a75621c5e,ctls,101.qq.com,443,https://101.qq.com:443,https,nginx,text/html,GET,203.205.234.24,/,1035875518,203.205.234.24,Nginx,124,False,,,,,,,
102.qq.com,一起寻找失踪宝贝 - 腾讯游戏温馨提示,404,3069,102.qq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-11T00:00:00Z,2024-02-11T23:59:59Z,"CN=lolm.qq.com, O=Shenzhen Tencent Computer Systems Company Limited, L=Shenzhen, ST=Guangdong Province, C=CN",lolm.qq.com,Shenzhen Tencent Computer Systems Company Limited,xinyue.qq.com,"CN=DigiCert Secure Site CN CA G3, O=DigiCert Inc, C=US",DigiCert Secure Site CN CA G3,DigiCert Inc,ffa785c344e503375fbeb7080406178a,5c77afe2c51e04204385b370ec69b64723a4208a3b6fbf2c8b77ec3e5c8c4b9a,ctls,102.qq.com,443,https://102.qq.com:443,https,nginx,text/html,GET,203.205.137.78,/,494670890,203.205.137.78,Nginx,70,False,,,,,,,
