new,host,a,soa,status_code,aaaa,txt,cname,has_internal_ips,internal_ips,mx,cdn,cdn-name,ns,caa
[x],acc.apl-platform.postnl.nl,,"ns-904.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,,,a030.aws.cldsvc.net,,,,,,"ns-1200.awsdns-22.org, ns-1826.awsdns-36.co.uk, ns-904.awsdns-49.net, ns-275.awsdns-34.com",
[x],acc.podp.postnl.nl,"104.126.36.227, 104.126.36.211","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:7100::687e:24e3, 2a02:26f0:7100::687e:24d3",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],acc.postnl.nl,"104.126.36.211, 104.126.36.227","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:7100::687e:24d3, 2a02:26f0:7100::687e:24e3",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],acc.supplychaincontrol.postnl.nl,"80.239.150.65, 80.239.150.83","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2001:2030:0:17::50ef:fe02, 2001:2030:0:17::50ef:fe25",v=spf1 -all,,,,,,,,
[x],acceptatie-mijndataportaal.postnl.nl,"23.53.43.50, 23.53.42.251","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::214:8e63, 2a02:26f0:ab00::214:8e71",,"c129221.edgekey.net, e129221.dscb.akamaiedge.net",,,,,,,
[x],access.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],account.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],account.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,v=spf1 include:amazonses.com -all,,,,,,,,
[x],accountresources.pat.postnl.nl,"104.126.37.35, 104.126.37.17","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::5c7a:d729, 2a02:26f0:ab00::5c7a:d720",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],accountresources.postnl.nl,"95.101.74.148, 95.101.74.159","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a94, 2a02:26f0:c900:9::5f65:4a9f",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],accp.mb.ws.postnl.nl,145.78.21.189,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],accp.nvsp.ws.postnl.nl,145.78.26.7,,NOERROR,,,,,,,,,,
[x],accp.pi.ws.postnl.nl,145.78.26.130,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],accp.walsal.ws.postnl.nl,145.78.21.80,,NOERROR,,,,,,,,,,
[x],adfs-datalake.postnl.nl,99.80.222.247,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],admin.pat.rouwpost.postnl.nl,"80.239.254.38, 80.239.254.35","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:0:17::50ef:fe23, 2001:2030:0:17::50ef:fe26",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],adresboekservice.mijnpost.pat.ws.postnl.nl,145.78.21.110,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],adresboekservice.mijnpost.tst.ws.postnl.nl,145.78.21.109,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],ambassadeurs.postnl.nl,80.158.39.253,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],annualreport.postnl.nl,"83.96.200.114, 83.96.201.114","ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,,frontend.tangelo.nl,,,,,,,
[x],api-acc-sandbox.postnl.nl,"3.67.18.251, 18.195.53.244, 3.66.149.197","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"api-acc-sandbox.apimanagement.hana.ondemand.com, af22f9aa7-postnl-rtest05-94573797.eu-central-1.elb.amazonaws.com",,,,,,,
[x],api-acc.postnl.nl,"104.126.116.26, 104.126.116.25","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2600:1408:7400::17de:4fa3, 2600:1408:7400::17de:4fd9",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],api-sandbox.postnl.nl,"104.126.37.35, 104.126.37.17","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:ab00::5c7a:d720, 2a02:26f0:ab00::5c7a:d729",,,,,,,,,
[x],api-test-sandbox.postnl.nl,"52.28.181.249, 52.29.56.8, 52.58.159.26","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"api-test-sandbox.apimanagement.hana.ondemand.com, a8c9ee61a-postnl-rtest02-288650634.eu-central-1.elb.amazonaws.com",,,,,,,
[x],api-test.postnl.nl,"95.101.74.142, 95.101.74.139","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a8e, 2a02:26f0:c900:9::5f65:4a8b",,"c90648.edgekey.net, e90648.dscb.akamaiedge.net",,,,,,,
[x],api-tls1.postnl.nl,155.56.55.101,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],api.events.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],api.postnl.nl,"23.212.251.137, 23.212.251.134",,NOERROR,"2600:1408:c400:20::17d4:fb89, 2600:1408:c400:20::17d4:fb86",,"api.postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],api.retail.pat.postnl.nl,"104.126.36.227, 104.126.36.211","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:7100::687e:24d3, 2a02:26f0:7100::687e:24e3",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],api.retail.postnl.nl,"95.101.133.58, 95.101.133.43","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:0:17::5f65:852b, 2001:2030:0:17::5f65:853a",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],apimanager.developer.postnl.nl,52.215.39.63,"ns-1.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,qmp.p04.cldsvc.net,,,,,,,
[x],apl-api.apl-platform.postnl.nl,"104.126.37.35, 104.126.37.40","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::5c7a:d723, 2a02:26f0:ab00::5c7a:d76a",,"apl-platform.edgekey.net, e25570.dscb.akamaiedge.net",,,,,,,
[x],apl-api.tst.apl-platform.postnl.nl,"104.126.37.40, 104.126.37.35","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::5c7a:d723, 2a02:26f0:ab00::5c7a:d76a",,"apl-platform.edgekey.net, e25570.dscb.akamaiedge.net",,,,,,,
[x],apl-platform.postnl.nl,,"ns-1932.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,p030.aws.cldsvc.net,,,,,,"ns-1018.awsdns-63.net, ns-1490.awsdns-58.org, ns-1932.awsdns-49.co.uk, ns-485.awsdns-60.com",
[x],assem.mijnlogistiek-accp.postnl.nl,"104.126.36.241, 104.126.36.235","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:7100::687e:24eb, 2a02:26f0:7100::687e:24f1",v=spf1 -all,,,,,,,,
[x],auth.mijnpost.pat.ws.postnl.nl,145.78.21.164,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],autobetaalservice.postnl.nl,217.198.20.138,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,v=spf1 ip4:217.198.20.138 -all,,,,,,,,
[x],autodiscover.b2b.postnl.nl,"40.99.157.40, 40.99.155.232, 40.99.149.168","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:6b::8, 2603:1026:c0d:2a::8, 2603:1026:c0d:75::8",,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,
[x],autodiscover.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],autodiscover.postnl.com,"52.98.240.136, 52.98.229.152, 52.97.190.40","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0e:86e::8, 2603:1026:c0e:863::8, 2603:1026:c0e:867::8",,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,
[x],autodiscover.postnl.nl,"52.98.152.200, 52.98.241.168, 40.99.150.8, 52.98.241.200","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:6a::8, 2603:1026:c0d:76::8, 2603:1026:c0d:73::8",,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,
[x],bolah.mijnlogistiek-accp.postnl.nl,"104.126.37.26, 104.126.37.33","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:ab00::214:8e63, 2a02:26f0:ab00::214:8e71",v=spf1 -all,,,,,,,,
[x],bolah.mijnlogistiek.postnl.nl,"104.126.37.19, 104.126.37.26","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:ab00::214:8e70, 2a02:26f0:ab00::5c7a:d718",v=spf1 -all,,,,,,,,
[x],boss.bds.postnl.nl,82.94.160.30,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],bosstest.bds.postnl.nl,62.41.129.182,,NOERROR,,,,,,,,,,
[x],bp-b2b.mijnpost.postnl.nl,"34.253.71.1, 34.250.39.30, 52.16.20.67",,NOERROR,,,pe-prd-b2bservice02-nlbe-7c446b9e5cac54ae.elb.eu-west-1.amazonaws.com,,,,,,,
[x],bp-b2bservice.mijnpost.pat.postnl.nl,"52.18.170.82, 52.49.147.196, 18.200.187.127","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,pe-acc-b2bservice02-nlbe-b110e7dd6f7cc4fe.elb.eu-west-1.amazonaws.com,,,,,,,
[x],brandportal.postnl.com,94.236.95.190,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],brandportal.staging.postnl.nl,"18.184.171.74, 3.121.91.79","ns-1587.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,brandportal-postnl-staging.customer.getmarvia.com,,,,,,,
[x],carrier-api.acc.apl-platform.postnl.nl,"96.16.54.179, 96.16.54.154",,NOERROR,,,"apl-platform.edgekey.net, e25570.dscb.akamaiedge.net",,,,,,,
[x],carrier-api.apl-platform.postnl.nl,"95.101.74.149, 95.101.74.145","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a91, 2a02:26f0:c900:9::5f65:4a95",,"apl-platform.edgekey.net, e25570.dscb.akamaiedge.net",,,,,,,
[x],carrier-api.tst.apl-platform.postnl.nl,"23.12.145.151, 23.12.145.143","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2600:1408:7400::17de:4f89, 2600:1408:7400::17de:4fe9",,"apl-platform.edgekey.net, e25570.dscb.akamaiedge.net",,,,,,,
[x],ccp.postnl.nl,82.94.160.16,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],click.edm.postnl.nl,13.111.36.44,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],clients.postnl.post,"95.101.111.135, 95.101.111.162","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:22::1726:62ed, 2a02:26f0:480:22::1726:62e9",,"c25570.edgekey.net, e25570.dscb.akamaiedge.net",,,,,,,
[x],cnnct.postnl.nl,"23.53.43.19, 23.53.43.34",,NOERROR,"2a02:26f0:ab00::5c7a:d70b, 2a02:26f0:ab00::5c7a:d722",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],component-lib.supplychaincontrol.postnl.nl,,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],conf.mijnpost.pat.ws.postnl.nl,145.78.21.239,,NOERROR,,,,,,,,,,
[x],conf.mijnpost.tst.ws.postnl.nl,145.78.21.87,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],conf.mijnpost.ws.postnl.nl,13.95.234.105,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,mp-conf-prod-waz.cloudapp.net,,,,True,azure,,
[x],consumenten.postnl.nl,91.197.72.25,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,v=spf1 mx include:_spf.salesforce.com include:spf.protection.outlook.com -all,,,,consumenten-postnl-nl.mail.protection.outlook.com,,,,
[x],contentapi.pat.postnl.nl,"95.101.74.144, 95.101.74.133","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a90, 2a02:26f0:c900:9::5f65:4a85",,"c207022.edgekey.net, e207022.dscb.akamaiedge.net",,,,,,,
[x],contentapi.postnl.nl,"2.19.120.92, 2.19.120.88","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100::1735:2b68, 2a02:26f0:3100::1735:2b98",,"postnl.nl.edgekey.net, e77734.dscb.akamaiedge.net",,,,,,,
[x],cpt.fat.postnl.nl,"104.126.36.233, 104.126.36.137","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:7100::687e:2489, 2a02:26f0:7100::687e:24e9",v=spf1 -all,,,,,,,,
[x],cpt.pat.postnl.nl,"104.126.36.241, 104.126.36.235","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2a02:26f0:7100::687e:24f1, 2a02:26f0:7100::687e:24eb",v=spf1 -all,,,,,,,,
[x],cpt.postnl.nl,"80.239.254.39, 95.101.133.25","a1-6.akam.net, domain-registry.postnl.nl",NOERROR,"2001:2030:0:17::50ef:fe27, 2001:2030:0:17::5f65:8519",v=spf1 -all,,,,,,,,
[x],creditmanagement.postnl.nl,62.41.129.193,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],ctaweb.pat.postnl.nl,145.78.26.92,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],d-ccp.postnl.nl,82.94.160.28,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],d01saml.gis.postnl.nl,145.78.21.94,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
[x],dashboard.events.postnl.nl,3.126.106.228,"a1-6.akam.net, domain-registry.postnl.nl",NOERROR,,,,,,,,,,
