input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,webserver,final_url,csp_domains_,cdn_name,cdn,location
*.abtasty.com,AB Tasty - The experience optimization company,200,289432,AS13335,CLOUDFLARENET,US,162.159.160.0/24,www.abtasty.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-25T00:00:00Z,2023-08-24T23:59:59Z,"CN=abtasty.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",abtasty.com,"Cloudflare, Inc.",*.abtasty.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2d9a319bb11137f999df49ca682e9301,32e6fc40fde065a9a42c337bce0acc29da68cb085941b19b56b4163799ad58b6,True,ctls,www.abtasty.com,443,https://abtasty.com:443,https,text/html,GET,162.159.135.42,/,-1840324437,162.159.135.42,Yoast SEO:20.6,2372,False,cloudflare,https://www.abtasty.com/,,cloudflare,True,
acc.supplychaincontrol.postnl.nl,DKS App,200,628,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,acc.supplychaincontrol.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-02T12:41:32Z,2023-05-31T12:41:31Z,CN=acc01.postnl.nl,acc01.postnl.nl,,zwijsen.mijnlogistiek-accp.postnl.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ff454347754e24d4528ba02f72b09e19,d3249f8b0cf3eb378268b43c5618b4a551bd1ff1477a07b41affbb3791685c2d,,ctls,acc.supplychaincontrol.postnl.nl,443,https://acc.supplychaincontrol.postnl.nl:443,https,text/html,GET,104.126.37.33,/,1130752818,2a02:26f0:ab00::214:8e63,HSTS,18,False,AmazonS3,,,,,
account.events.postnl.nl,,200,1750,AS16509,AS16509,Unknown,3.144.0.0/13,account.events.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-26T08:15:52Z,2023-10-03T23:45:00Z,"CN=*.events.postnl.nl, O=Koninklijke PostNL B.V., L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.events.postnl.nl,Koninklijke PostNL B.V.,events.postnl.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,34d7148fc1a4cedfefed50ee3fd79a1d,e0a78825c7aad968b552901eedb6c82d0adfe83142d34eaf3a6448c239b4bfde,True,ctls,account.events.postnl.nl,80,http://account.events.postnl.nl:80,http,text/html,GET,3.126.106.228,/,1089686941,3.126.106.228,Plesk,15,False,nginx,https://account.events.postnl.nl/,,,,
accountresources.pat.postnl.nl,,403,42,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,accountresources.pat.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-25T09:11:44Z,2023-07-24T09:11:43Z,CN=acc02.postnl.nl,acc02.postnl.nl,,workdocs-ips.a02.cldsvc.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5a5bd9c5ebaf14e907813c9e15b0d7be,29e8ff9a7b6d6984e2c19d68d173421fc34cfb2b1683d283513cbd21b01924ca,,ctls,accountresources.pat.postnl.nl,443,https://accountresources.pat.postnl.nl:443,https,application/json,GET,104.126.37.35,/,768769774,2a02:26f0:ab00::5c7a:d720,HSTS,1,False,,,,,,
ajax.googleapis.com,Hosted Libraries  |  Google Developers,200,61019,AS15169,GOOGLE,US,172.217.0.0/19,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,developers.google.com,443,https://ajax.googleapis.com:443,https,text/html,GET,172.217.18.10,/,302920777,2a00:1450:4001:82f::200a,HTTP/3,1966,False,Google Frontend,https://developers.google.com/speed/libraries,https://csp.withgoogle.com/csp/devsite/v2,,,
ambassadeurs.postnl.nl,Sociuu,200,4908,AS6878,AS6878,DE,80.158.32.0/19,ambassadeurs.postnl.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-19T00:00:00Z,2023-10-19T23:59:59Z,CN=ambassadeurs.postnl.nl,ambassadeurs.postnl.nl,,ambassadeurs.postnl.nl,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",708a5752d33d0624ff8780572b923013,d6e0e251dec2ae3e58882a574f7bf70bd314962e60e9681bf1663a1cb73d2b1d,,ctls,ambassadeurs.postnl.nl,443,https://ambassadeurs.postnl.nl:443,https,text/html,GET,80.158.39.253,/,-587703107,80.158.39.253,HSTS,60,False,elb,,https://fonts.googleapis.com,,,
api-sandbox.postnl.nl,,404,156,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api-sandbox.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-25T09:11:44Z,2023-07-24T09:11:43Z,CN=acc02.postnl.nl,acc02.postnl.nl,,workdocs-ips.a02.cldsvc.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5a5bd9c5ebaf14e907813c9e15b0d7be,29e8ff9a7b6d6984e2c19d68d173421fc34cfb2b1683d283513cbd21b01924ca,,ctls,api-sandbox.postnl.nl,80,http://api-sandbox.postnl.nl:80,http,application/json,GET,104.126.37.35,/,1435874759,2a02:26f0:ab00::5c7a:d720,HSTS,1,False,,https://api-sandbox.postnl.nl/,,,,
api-test-sandbox.postnl.nl,,404,156,AS16509,AS16509,Unknown,52.40.0.0/14,api-test-sandbox.postnl.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-12-19T12:50:01Z,2024-01-14T23:45:00Z,"CN=api-test-sandbox.postnl.nl, O=Koninklijke PostNL B.V., L='s-Gravenhage, ST=Zuid-Holland, C=NL",api-test-sandbox.postnl.nl,Koninklijke PostNL B.V.,api-test-sandbox.postnl.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,2925d6b07e1c969639c8e8168556d8c5,8d25aa3fe52132a12febfbe2b1f1e452362a0f029280e46872871ef769e9c5ce,,ctls,api-test-sandbox.postnl.nl,443,https://api-test-sandbox.postnl.nl:443,https,application/json,GET,52.29.56.8,/,1435874759,52.28.181.249,HSTS,1,False,,,,,,
api.retail.pat.postnl.nl,Service Unavailable,503,266,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.retail.pat.postnl.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-25T09:11:44Z,2023-07-24T09:11:43Z,CN=acc02.postnl.nl,acc02.postnl.nl,,workdocs-ips.a02.cldsvc.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5a5bd9c5ebaf14e907813c9e15b0d7be,29e8ff9a7b6d6984e2c19d68d173421fc34cfb2b1683d283513cbd21b01924ca,,ctls,api.retail.pat.postnl.nl,443,https://api.retail.pat.postnl.nl:443,https,text/html,GET,104.126.37.17,/,-279435420,2a02:26f0:ab00::5c7a:d729,HSTS,9,False,AkamaiGHost,,,,,
apimanager.developer.postnl.nl,API Management Portal,200,1260,AS16509,AS16509,Unknown,52.216.72.0/24,apimanager.developer.postnl.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-06-02T12:13:09Z,2023-06-02T12:18:00Z,"CN=apimanager.developer.postnl.nl, O=Koninklijke PostNL B.V., L='s-Gravenhage, ST=Zuid-Holland, C=NL",apimanager.developer.postnl.nl,Koninklijke PostNL B.V.,quotamanager.developer.postnl.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,2cc6f9c860b7ddaa83cab933c8701f39,2b7e054685d1dce317a0d7e524d9082a1b54f3974c12b714a99fbf098deccdc5,,ctls,apimanager.developer.postnl.nl,80,http://apimanager.developer.postnl.nl:80,http,text/html,GET,52.215.39.63,/,-251155750,52.215.39.63,Apache:2.4.6,1,False,Apache/2.4.6,https://apimanager.developer.postnl.nl:443/,,,,
