new,host,a,soa,has_internal_ips,internal_ips,status_code,ns,cdn,cdn-name,cname,mx,txt,caa,aaaa
[x],0-17.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126",,True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],0-idsru-0-splunk-forwarder-cnbj6semea.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],0-peijians03-demo.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],01763.office.mobilevikings.be,10.216.5.220,"ns-640.awsdns-16.net, awsdns-hostmaster.amazon.com",True,10.216.5.220,NOERROR,,,,,,,,
[x],01772-admin.office-okta.mobilevikings.be,"13.227.219.15, 13.227.219.96, 13.227.219.22, 13.227.219.44","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772-coinbase-exchange.v2-office-okta.mobilevikings.be,"52.222.236.46, 52.222.236.25, 52.222.236.63, 52.222.236.12","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.chd-okta.mobilevikings.be,"52.85.242.107, 52.85.242.78, 52.85.242.7, 52.85.242.125","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.ci.office-okta.mobilevikings.be,"52.222.236.63, 52.222.236.25, 52.222.236.46, 52.222.236.12","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.employeesurveyoffice-okta.mobilevikings.be,"52.222.236.63, 52.222.236.12, 52.222.236.25, 52.222.236.46","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"ns-1508.awsdns-60.org, ns-1761.awsdns-28.co.uk, ns-50.awsdns-06.com, ns-758.awsdns-30.net",True,cloudfront,,,,,
[x],01772.firewalloffice-okta.mobilevikings.be,"52.222.236.25, 52.222.236.63, 52.222.236.46, 52.222.236.12","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.office-okta-cgi.mobilevikings.be,"13.226.153.123, 13.226.153.129, 13.226.153.14, 13.226.153.27","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.office-okta-cloudfront.mobilevikings.be,"13.226.153.129, 13.226.153.123, 13.226.153.14, 13.226.153.27","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.office-okta-mail.mobilevikings.be,"18.244.102.43, 18.244.102.74, 18.244.102.103, 18.244.102.25","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.office-okta-v.mobilevikings.be,"18.155.129.12, 18.155.129.77, 18.155.129.11, 18.155.129.58",,,,NOERROR,,True,cloudfront,,,,,
[x],01772.office-okta.container.mobilevikings.be,"52.222.236.63, 52.222.236.12, 52.222.236.25, 52.222.236.46","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.office-okta.design-bucket.mobilevikings.be,"18.67.76.42, 18.67.76.83, 18.67.76.80, 18.67.76.124","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.office-okta.hw.mobilevikings.be,"52.222.236.25, 52.222.236.46, 52.222.236.63, 52.222.236.12","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.office-okta.mirror.mobilevikings.be,"13.227.219.44, 13.227.219.15, 13.227.219.22, 13.227.219.96","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.secure-okta.mobilevikings.be,"13.227.219.15, 13.227.219.44, 13.227.219.96, 13.227.219.22","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.skinsoffice-okta.mobilevikings.be,"52.85.242.7, 52.85.242.125, 52.85.242.107, 52.85.242.78","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.v2-office-okta.mobilevikings.be,"52.85.242.7, 52.85.242.107, 52.85.242.78, 52.85.242.125","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772.wfbdirectoffice-okta.mobilevikings.be,"52.222.236.12, 52.222.236.63, 52.222.236.25, 52.222.236.46","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772data.office-okta.mobilevikings.be,"52.222.236.46, 52.222.236.25, 52.222.236.12, 52.222.236.63","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"ns-1508.awsdns-60.org, ns-1761.awsdns-28.co.uk, ns-50.awsdns-06.com, ns-758.awsdns-30.net",True,cloudfront,,,,,
[x],01772team.office-okta.mobilevikings.be,"52.222.236.63, 52.222.236.46, 52.222.236.12, 52.222.236.25","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"ns-1508.awsdns-60.org, ns-1761.awsdns-28.co.uk, ns-50.awsdns-06.com, ns-758.awsdns-30.net",True,cloudfront,,,,,
[x],01772v.office-okta.mobilevikings.be,"52.222.236.25, 52.222.236.46, 52.222.236.12, 52.222.236.63","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],01772v3.office-okta.mobilevikings.be,"13.226.153.14, 13.226.153.129, 13.226.153.123, 13.226.153.27","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],03v0eu9o.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],1-day.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],103148g48.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],104-69.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],1062397.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],114-126-39.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],1163197g47.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],1188159g9.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],11payer.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],142972g22.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],155-9-171-76.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],155-9-185-4.office-okta.mobilevikings.be,"52.222.236.12, 52.222.236.46, 52.222.236.63, 52.222.236.25","ns-1761.awsdns-28.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront,,,,,
[x],155-9-187-87.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],155-9-208-55.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],155-9-213-21.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],155-9-241-78.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126",,True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],15j98s5t.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],165-137-111-69.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],165-137-111-98.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],17-121-112-133.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
[x],17-121-112-247.dev.mobilevikings.be,"10.55.240.141, 10.55.240.126","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.141, 10.55.240.126",NOERROR,,,,,,,,
[x],17-121-112-251.dev.mobilevikings.be,"10.55.240.126, 10.55.240.141","ns-566.awsdns-06.net, awsdns-hostmaster.amazon.com",True,"10.55.240.126, 10.55.240.141",NOERROR,,,,,,,,
