input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_subject_org_,final_url,csp_domains_
01772-admin.office-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772-admin.office-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772-admin.office-okta.mobilevikings.be,cloudfront,443,https://01772-admin.office-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.12,/,-534994007,52.222.236.25,Amazon Web Services,20,False,True,,,,
01772-coinbase-exchange.v2-office-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772-coinbase-exchange.v2-office-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772-coinbase-exchange.v2-office-okta.mobilevikings.be,cloudfront,443,https://01772-coinbase-exchange.v2-office-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.25,/,-2081645735,52.222.236.46,Amazon Web Services,20,False,True,,,,
01772.chd-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.chd-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.chd-okta.mobilevikings.be,cloudfront,443,https://01772.chd-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.25,/,-1990890344,52.222.236.12,Amazon Web Services,20,False,True,,,,
01772.ci.office-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.ci.office-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.ci.office-okta.mobilevikings.be,cloudfront,443,https://01772.ci.office-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.46,/,1262150349,52.222.236.12,Amazon Web Services,20,False,True,,,,
01772.employeesurveyoffice-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.employeesurveyoffice-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.employeesurveyoffice-okta.mobilevikings.be,cloudfront,443,https://01772.employeesurveyoffice-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.25,/,-693351894,52.222.236.63,Amazon Web Services,20,False,True,,,,
01772.firewalloffice-okta.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.firewalloffice-okta.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.firewalloffice-okta.mobilevikings.be,cloudfront,443,https://01772.firewalloffice-okta.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,-850608020,52.222.236.12,Amazon Web Services,20,False,True,,,,
01772.office-okta-cgi.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.office-okta-cgi.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.office-okta-cgi.mobilevikings.be,cloudfront,443,https://01772.office-okta-cgi.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,748835443,52.222.236.25,Amazon Web Services,20,False,True,,,,
01772.office-okta-cloudfront.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.office-okta-cloudfront.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.office-okta-cloudfront.mobilevikings.be,cloudfront,443,https://01772.office-okta-cloudfront.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.25,/,239117225,52.222.236.12,Amazon Web Services,20,False,True,,,,
01772.office-okta-mail.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.office-okta-mail.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.office-okta-mail.mobilevikings.be,cloudfront,443,https://01772.office-okta-mail.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.63,/,1251311967,52.222.236.25,Amazon Web Services,20,False,True,,,,
01772.office-okta-v.mobilevikings.be,ERROR: The request could not be satisfied,502,951,AS16509,AMAZON-02,US,52.222.236.0/23,01772.office-okta-v.mobilevikings.be,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-09T00:00:00Z,2024-06-06T23:59:59Z,CN=*.mobilevikings.be,*.mobilevikings.be,*.vikingdeals.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,46f5459fd8318debe6cdb0622d0e2ff9,6f3c50e965522692897644da89defb946da1cf2f08fde3a1e1615c7f068d75ba,True,ctls,01772.office-okta-v.mobilevikings.be,cloudfront,443,https://01772.office-okta-v.mobilevikings.be:443,https,CloudFront,text/html,GET,52.222.236.12,/,-1653756644,52.222.236.46,Amazon Web Services,20,False,True,,,,
