new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,has_internal_ips,internal_ips,mx,txt
[x],2fa.cbre.com,208.68.246.52,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],activesync.cbre.com,208.68.247.203,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],admin.gcso.cbre.com,"52.37.82.52, 44.231.43.54, 52.39.194.211",alien-cert-alb-pub-1517049728.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],agent.cbre.com,208.68.247.144,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],agile.cbre.com,45.223.164.170,g3q636y.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],agribusiness.cbre.com,"104.18.20.118, 104.18.21.118",agribusiness.cbre.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,"2606:4700::6812:1476, 2606:4700::6812:1576",,,,
[x],aloha-api-docs-dev.cbre.com,,d3pti99yfkpcxj.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,
[x],aloha-api-docs-qa.cbre.com,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],aloha-api.cbre.com,,d2mhoc5tmxgkoh.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,
[x],amex.locator.cbre.com,"185.181.124.198, 185.181.125.37",amex.pimsworkspace.co.uk,"ns1.locator.pimsworkspace.co.uk, cpanel-alerts.xssl.net",NOERROR,,,"ns1.locator.pimsworkspace.co.uk, ns2.locator.pimsworkspace.co.uk",,,,,v=spf1 +a +mx +ip4:185.181.124.198 ~all
[x],amlapi.cbre.com,"165.160.15.20, 165.160.13.20",amlapi-sy.ase1-int-ausy-cbre-prod.cbrecloudapps.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],analytics.cbre.com,208.68.246.80,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],apac.artifactory.gcso.cbre.com,"52.71.246.226, 3.208.219.110, 35.171.13.15",gcso-art-prod-pub-156136334.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apacbi.cbre.com,45.223.167.4,c3qg7c9.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],apacgenetec.cbre.com,103.55.52.42,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],apacnavigator.cbre.com,208.68.246.52,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],apacresearch.cbre.com,"104.18.20.118, 104.18.21.118",apacresearch.cbre.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,"2606:4700::6812:1576, 2606:4700::6812:1476",,,,
[x],apbrazil-api-dev.cbre.com,,dx5hbva0l2g66.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,
[x],apbrazil-api-qa.cbre.com,,d1g73unpd4w34r.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,
[x],api-agile.cbre.com,,xnpdfvr.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],api-dev.cbre.com,"23.20.188.145, 3.217.115.226, 34.203.113.108",wso2-ext-alb-dev-1946550425.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],api-dev.smartfm.cbre.com,20.221.91.221,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],api-qa.smartfm.cbre.com,20.221.91.221,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],api-sb.experience.cbre.com,52.167.254.17,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
[x],api-test.cbre.com,"52.87.139.206, 54.80.235.193, 44.207.160.245",wso2-ext-alb-uat-1063665309.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],api.aggregate.cbre.com,,"aggregateapi.azurewebsites.net, waws-prod-dm1-307.sip.azurewebsites.windows.net, waws-prod-dm1-307-d591.centralus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],api.avm.cbre.com,"10.126.180.111, 10.126.179.162, 10.126.179.63",internal-vas-emea-avm-prod-alb-80040080.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.126.180.111, 10.126.179.162, 10.126.179.63",,
[x],api.benchmarker.cbre.com,20.118.56.7,"pipbenchmarkerapi.azurewebsites.net, waws-prod-dm1-307.sip.azurewebsites.windows.net, waws-prod-dm1-307-d591.centralus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],api.builder.cbre.com,20.118.56.7,"eabuilderapi.azurewebsites.net, waws-prod-dm1-307.sip.azurewebsites.windows.net, waws-prod-dm1-307-d591.centralus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],api.cbre.com,"54.84.112.253, 54.236.110.255, 3.233.18.109",wso2-ext-alb-prod-2147378004.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,
[x],api.experience.cbre.com,20.36.153.219,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
[x],api.forecaster.cbre.com,20.118.56.7,"eaforecasterapi.azurewebsites.net, waws-prod-dm1-307.sip.azurewebsites.windows.net, waws-prod-dm1-307-d591.centralus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],api.officeready.cbre.com,"34.225.175.92, 3.83.186.228, 44.212.194.255",prod-alb-or-1288829886.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],api.permissionsmanagement.cbre.com,20.118.56.7,"permissionsmanagementapi.azurewebsites.net, waws-prod-dm1-307.sip.azurewebsites.windows.net, waws-prod-dm1-307-d591.centralus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],api.smartfm.cbre.com,45.223.167.4,jolodkc.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],apiaz-test.cbre.com,20.1.224.19,"tm-master-wso2-dev.trafficmanager.net, wso2-eastus2-dev.eastus2.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],apiaz.cbre.com,20.22.59.19,wso2-eastus2-prod.eastus2.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],apiazapac.cbre.com,20.239.117.194,"tm-master-wso2-prod.trafficmanager.net, wso2-eastasia-prod.eastasia.cloudapp.azure.com","ns1-05.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],apiazemea-test.cbre.com,52.233.168.235,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
[x],apiemea-test.cbre.com,"35.178.105.55, 13.42.97.19, 18.130.72.237",wso2-ext-alb-uat-eu-831888319.eu-west-2.elb.amazonaws.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apikey-test.cbre.com,"52.87.139.206, 44.207.160.245, 54.80.235.193",wso2-ext-alb-uat-1063665309.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apikey.cbre.com,"54.84.112.253, 54.236.110.255, 3.233.18.109",wso2-ext-alb-prod-2147378004.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],archive-fms5.gcso.cbre.com,"44.231.43.54, 52.39.194.211, 52.37.82.52",alien-cert-alb-pub-1517049728.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],archive.cbre.com,208.68.246.64,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,"mxb-001bfb01.gslb.pphosted.com, mxa-001bfb01.gslb.pphosted.com",ddbd6bf9-f1fb-4ef1-b7ab-d98eb77b85f9
[x],argentina.preview.cbre.com,20.105.224.7,"www.cbre.trafficmanager.net, cbre-prod-westeurope-cd.azurewebsites.net, waws-prod-am2-545.sip.azurewebsites.windows.net, waws-prod-am2-545-94bc.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],artifactory.gcso.cbre.com,"3.208.219.110, 52.71.246.226, 35.171.13.15",gcso-art-prod-pub-156136334.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],as.myim.cbre.com,208.68.246.143,myim.cbre.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],asianavigator.cbre.com,203.92.217.164,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],assetintel-qa.cbre.com,"3.210.138.72, 3.230.63.122, 18.214.12.92",usawse1asinq-alb-496643076.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],assetintel-uat.cbre.com,45.223.160.170,hmt5m8r.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],assetintel.cbre.com,"34.206.68.197, 44.193.163.9, 107.22.5.168",usawse1asinp-alb-375602650.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],assetiqdev.cbre.com,52.55.15.132,dev-assetiq-1981938965.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],ataccama-dev.cbre.com,54.144.128.85,,,NOERROR,,,,,,,,
[x],aternity.cbre.com,208.68.246.52,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],authnavigator.cbre.com,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],authoring.cbre.com,208.68.246.71,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],avm.cbre.com,45.223.164.170,,"ns-235.awsdns-29.com, awsdns-hostmaster.amazon.com",NOERROR,True,incapsula,"ns-1150.awsdns-15.org, ns-1782.awsdns-30.co.uk, ns-235.awsdns-29.com, ns-952.awsdns-55.net",,,,,
[x],awtr01.mydevices.cbre.com,208.68.247.72,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],axiscp-test.cbre.com,208.68.245.44,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],backupsappaws.gcso.cbre.com,"52.39.194.211, 52.37.82.52, 44.231.43.54",alien-cert-alb-pub-1517049728.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],bam.cbre.com,,qvbt6be.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],bamdevmapexportapi.cbre.com,40.70.153.60,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
[x],bamdevmapstoreapi.cbre.com,40.70.153.60,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
[x],bamdevmapuserapi.cbre.com,40.70.153.60,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
[x],bammapexportapi.cbre.com,20.98.185.60,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],bammaplogoapi.cbre.com,20.98.185.60,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],bammapstoreapi.cbre.com,20.98.185.60,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],bammapuserapi.cbre.com,20.98.185.60,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],bamuat.cbre.com,45.223.167.4,8el93xi.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],bamuatmapexportapi.cbre.com,20.22.162.38,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],bamuatmapstoreapi.cbre.com,20.22.162.38,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],bamuatmapuserapi.cbre.com,20.22.162.38,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],benchmarker.cbre.com,20.118.56.7,"pipbenchmarker.azurewebsites.net, waws-prod-dm1-307.sip.azurewebsites.windows.net, waws-prod-dm1-307-d591.centralus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],biz.trammellcrow.com,,u23075753.wl004.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,mx.sendgrid.net,v=spf1 ip4:167.89.74.134 ip4:167.89.95.30 ip4:168.245.105.246 ip4:168.245.127.38 ip4:168.245.23.192 ip4:168.245.37.232 ip4:168.245.41.16 ip4:168.245.64.186 -all
[x],blueprint.cbre.com,"104.18.21.118, 104.18.20.118",blueprint.cbre.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,"2606:4700::6812:1476, 2606:4700::6812:1576",,,,
[x],bluesky.cbre.com,,bluesky-prod-fe-28747400.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],borrowerportal.qa.cbre.com,54.144.128.85,,,NOERROR,,,,,,,,
[x],boss.cbre.com,45.223.179.4,"po.cbre.com, x2bm9jq.impervadns.net","ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],bossearch-dev.cbre.com,208.68.244.20,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],bossearch.cbre.com,"208.68.245.22, 208.68.246.98",bossearch.glb.cbre.com,"glb1.cbre.com, hostmaster.glb.cbre.com",NOERROR,,,,,,,,
[x],bossearch.glb.cbre.com,"208.68.245.22, 208.68.246.98",,"glb1.cbre.com, hostmaster.glb.cbre.com",NOERROR,,,"glb1.cbre.com, glb2.cbre.com",,,,,
[x],bpworkplacetoolkit.cbre.com,194.35.8.144,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],brand.cbre.com,"34.194.94.124, 44.209.109.47","lb1.beam3.monigle.net, a856434d7746e4d94870d723d5e35a09-b6154d33011b00c7.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],brokerhub-dev.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],brokerhub-qa.cbre.com,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],brokerhub-uat.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],brokerhub.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],build.cbre.com,,gem74ul.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],builder.cbre.com,20.118.56.7,"eabuilder.azurewebsites.net, waws-prod-dm1-307.sip.azurewebsites.windows.net, waws-prod-dm1-307-d591.centralus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],bulgaria.preview.cbre.com,20.40.202.10,"www.cbre.trafficmanager.net, cbre-prod-centralus-cd.azurewebsites.net, waws-prod-dm1-197.sip.azurewebsites.windows.net, waws-prod-dm1-197-7b84.centralus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],calc.cbre.com,"13.32.121.112, 13.32.121.80, 13.32.121.53, 13.32.121.21",dkzqhjx1mbbzw.cloudfront.net,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1148.awsdns-15.org, ns-1707.awsdns-21.co.uk, ns-365.awsdns-45.com, ns-749.awsdns-29.net","2600:9000:2394:3400:1:47d6:df00:93a1, 2600:9000:2394:9e00:1:47d6:df00:93a1, 2600:9000:2394:1800:1:47d6:df00:93a1, 2600:9000:2394:aa00:1:47d6:df00:93a1, 2600:9000:2394:6800:1:47d6:df00:93a1, 2600:9000:2394:9400:1:47d6:df00:93a1, 2600:9000:2394:4000:1:47d6:df00:93a1, 2600:9000:2394:0:1:47d6:df00:93a1",,,,
[x],canada.preview.cbre.com,,,,NOERROR,,,,,,,,
[x],capitaladvisors.preview.cbre.com,54.144.128.85,,,NOERROR,,,,,,,,
[x],capitalflows.cbre.com,52.174.193.210,"gitdb-prod.azurewebsites.net, waws-prod-am2-115.sip.azurewebsites.windows.net, waws-prod-am2-115.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],capitalmarkets.cbre.com,208.68.247.36,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],caproxyfte.cbre.com,208.68.246.115,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],capstonepipeline-dev.cbre.com,13.77.96.119,"capstonepipeline-dev.azurewebsites.net, waws-prod-bn1-021.vip.azurewebsites.windows.net, waws-prod-bn1-021.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],capstonepipeline-test.cbre.com,13.77.96.119,"capstonepipeline-test.azurewebsites.net, waws-prod-bn1-021.vip.azurewebsites.windows.net, waws-prod-bn1-021.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],capstonepipeline.cbre.com,13.65.95.109,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,capstonepipeline-prod.azurewebsites.net
[x],careers.cbre.com,51.163.163.150,cbreglobal.avature.net,"ns-753.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,v=spf1 redirect=spf.avature.net
[x],cbftp.cbre.com,45.223.59.188,5s7ik92.impervadns.net,"ns1.impervadns.net, hostmaster.incapsula.com",NOERROR,True,incapsula,,,,,,
[x],cbftp.glb.cbre.com,208.68.244.89,,"glb1.cbre.com, hostmaster.glb.cbre.com",NOERROR,,,,,,,,
[x],cbi.cbre.com,208.68.247.57,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],cbocspool.cbre.com,54.144.128.85,,,NOERROR,,,,,,,,
[x],cbre.com,208.68.247.36,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"dns2.cscdns.net, dns1.cscdns.net",,,,"mxb-001bfb01.gslb.pphosted.com, mxa-001bfb01.gslb.pphosted.com",
[x],cbreapps.cbre.com,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],cbrehotels.preview.cbre.com,20.105.224.7,"www.cbre.trafficmanager.net, cbre-prod-westeurope-cd.azurewebsites.net, waws-prod-am2-545.sip.azurewebsites.windows.net, waws-prod-am2-545-94bc.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,
[x],cbremarketrentcycle-uat.cbre.com,20.36.236.74,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,"dns1.cscdns.net, dns2.cscdns.net",,,,,
[x],ccoe.cbre.com,20.186.84.67,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
[x],chatbot.cbre.com,"34.232.73.7, 52.71.107.25, 54.164.238.31",,"ns-107.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1008.awsdns-62.net, ns-107.awsdns-13.com, ns-1492.awsdns-58.org, ns-1544.awsdns-01.co.uk",,,,,
[x],ckc-staging.cbre.com,208.68.245.44,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
[x],ckc.glb.cbre.com,208.68.246.52,,"glb1.cbre.com, hostmaster.glb.cbre.com",NOERROR,,,,,,,,
[x],cloudeng.cbre.com,,,"ns-550.awsdns-04.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-192.awsdns-24.com, ns-550.awsdns-04.net, ns-1358.awsdns-41.org, ns-1545.awsdns-01.co.uk",,,,,
