input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tls_wildcard_certificate,tech_,cdn_name,cdn,final_url,csp_domains_,tls_expired,tls_self_signed
*.appcues.com,Appcues | Product adoption made easy,200,70311,www.appcues.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-30T20:59:25Z,2023-06-28T20:59:24Z,CN=www.appcues.com,www.appcues.com,,www.appcues.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9e1ff653beec702a011b8e8216ca9b02,907a8196383e4e91d893af38b8b783bceb8ceaa7cb5886d55690700d61e6ffe7,ctls,www.appcues.com,443,https://appcues.com:443,https,,text/html,GET,76.223.27.102,/,-404696657,13.248.155.104,33,False,,,Webflow,,,https://www.appcues.com/,,,
apacbi.cbre.com,,200,2352,apacbi.cbre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-07T08:48:58Z,2023-10-04T08:48:58Z,CN=imperva.com,imperva.com,,staging.pipbuilder.cbrehotels.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,0b32bb9baaf0ff8ddb8a1581f5f5866b,2f626380b7afabb9ec1d2fd8be57a6af6a713bbb2619ec79d07df68bd38a9be9,ctls,apacbi.cbre.com,443,https://apacbi.cbre.com:443,https,Tableau,text/html,GET,45.223.167.4,/,-1441956789,45.223.167.4,19,False,,,Imperva,incapsula,True,,https://api.mapbox.com,,
apacgenetec.cbre.com,Not Found,404,315,,,,,,,,,,,,,,,,,,,80,http://apacgenetec.cbre.com:80,http,Microsoft-HTTPAPI/2.0,text/html,GET,103.55.52.42,/,225052475,103.55.52.42,7,False,,,Microsoft HTTPAPI:2.0,,,,,,
api.builder.cbre.com,,500,780,api.builder.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2023-07-27T23:59:59Z,CN=api.builder.cbre.com,api.builder.cbre.com,,api.builder.cbre.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",80e907c0eb007bb96e91f87f10296167,75449375ceaa815106590adc62d29b4ac1e5a24e26f69308daad5e521d2ce4ab,ctls,api.builder.cbre.com,443,https://api.builder.cbre.com:443,https,Microsoft-IIS/10.0,application/json,GET,20.118.56.7,/,-1586197265,20.118.56.7,14,False,,,Windows Server,,,,,,
api.officeready.cbre.com,HTTP Status 404 – Not Found,404,431,api.officeready.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-22T00:00:00Z,2023-11-22T23:59:59Z,"CN=officeready.cbre.com, O=CBRE Group Inc., ST=Texas, C=US",officeready.cbre.com,CBRE Group Inc.,api.officeready.cbre.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c4860888f349c946a1b35c622c4e4726,f93f69888c4dcd31eb73b4b0e0da999b38e431bad2df82726aa8ba17e9547cea,ctls,api.officeready.cbre.com,80,http://api.officeready.cbre.com:80,http,,text/html,GET,34.225.175.92,/,-230353730,3.83.186.228,1,False,,,,,,https://api.officeready.cbre.com:443/,,,
api.permissionsmanagement.cbre.com,,500,780,api.permissionsmanagement.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2023-07-27T23:59:59Z,CN=api.permissionsmanagement.cbre.com,api.permissionsmanagement.cbre.com,,api.permissionsmanagement.cbre.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",d7af594f6dba32f34f67d719d6606280,38c640db5412de23b5c40e7958a8e26bc69d8263e19d64bae3049fba4f9e7594,ctls,api.permissionsmanagement.cbre.com,443,https://api.permissionsmanagement.cbre.com:443,https,Microsoft-IIS/10.0,application/json,GET,20.118.56.7,/,-462588774,20.118.56.7,14,False,,,Windows Server,,,,,,
apiemea-test.cbre.com,,503,13,apiemea-test.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-11T00:00:00Z,2023-10-24T23:59:59Z,"CN=api-dev.cbre.com, O=CBRE\, Inc., L=Dallas, ST=Texas, C=US",api-dev.cbre.com,"CBRE, Inc.",wso2-trafficmgr-nonprod.cbre.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2c773e21ef649a34d122c030b43b5564,7da2bc8c4bda7500edca15a92473708897c2e3c054f49f719a7cfec2a0ae64e8,ctls,apiemea-test.cbre.com,443,https://apiemea-test.cbre.com:443,https,awselb/2.0,text/plain,GET,18.130.72.237,/,-39778747,35.178.105.55,1,False,,,,,,,,,
apikey.cbre.com,WSO2 Management Console,200,15366,apikey.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-14T00:00:00Z,2023-10-25T23:59:59Z,"CN=api.cbre.com, O=CBRE\, Inc., L=Dallas, ST=Texas, C=US",api.cbre.com,"CBRE, Inc.",wso2-trafficmgr.cbre.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7e8f85591da16792a6b0686041795ebb,cbba25369caa9dc453821e1214a301480719580af4a59064dde6baeeb91a3d49,ctls,apikey.cbre.com,80,http://apikey.cbre.com:80,http,WSO2 Carbon Server,text/html,GET,54.236.110.255,/,-314378795,3.233.18.109,465,False,,,Java,,,https://apikey.cbre.com/carbon/admin/login.jsp,,,
argentina.preview.cbre.com,Microsoft Azure Web App - Error 404,404,2667,argentina.preview.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,argentina.preview.cbre.com,443,https://argentina.preview.cbre.com:443,https,,text/html,GET,20.105.224.7,/,387302845,20.105.224.7,87,False,True,True,,,,,,,
artifactory.gcso.cbre.com,JFrog,200,3024,artifactory.gcso.cbre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=us.artifactory.gcso.cbre.com,us.artifactory.gcso.cbre.com,,artifactory.gcso.cbre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f5e8e5ef646c251bc2556a1ec83bb228,d10aa152091ffd00eaaa1c9375c1e0249b02360c3640822ac38c58eba9b3963b,ctls,artifactory.gcso.cbre.com,80,http://artifactory.gcso.cbre.com:80,http,,text/html,GET,52.71.246.226,/,131975511,35.171.13.15,1,False,,True,Kong:2.4.1,,,https://artifactory.gcso.cbre.com:443/ui/,js.driftt.com,,
