input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tech_,cdn_name,cdn,final_url,csp_domains_
*.amap.com,高德地图,200,21199,443,https://amap.com:443,https,nginx,text/html,GET,182.92.251.86,/,-1951478705,182.92.251.86,301,False,amap.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,2023-03-09T15:07:13Z,2024-04-09T15:07:12Z,"CN=*.amap.com, O=Alibaba (China) Technology Co.\, Ltd., L=HangZhou, ST=ZheJiang, C=CN",*.amap.com,"Alibaba (China) Technology Co., Ltd.",amap.com,"CN=GlobalSign Organization Validation CA - SHA256 - G3, O=GlobalSign nv-sa, C=BE",GlobalSign Organization Validation CA - SHA256 - G3,GlobalSign nv-sa,ebfde44ad290b21bafec0e5675ee0367,a524a44f9253ca0cd0c2a1f6daa20b418212ae3c18ff8fe8e53ed6091f8667e5,True,ctls,amap.com,Nginx,,,,
*.inspectlet.com,"Inspectlet - Session Recording, Website Heatmaps, Javascript A/B Testing, Feedback Surveys, Error Logging, Form Analytics",200,161731,443,https://inspectlet.com:443,https,cloudflare,text/html,GET,172.67.10.172,/,805200592,2606:4700:10::6816:39f5,477,False,www.inspectlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-06-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1c2e5460d1e1512a3a9b593722741fa4,716cbebdc8a69fad199d81ff727b24683825c982584235343576ead6d886d59c,True,ctls,www.inspectlet.com,Pure CSS,cloudflare,True,https://www.inspectlet.com/,
0-boot-security-saml-demo-okta-wreesmann.airbnb.app,,404,67,443,https://0-boot-security-saml-demo-okta-wreesmann.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.93,/,1307429962,76.76.21.241,4,False,0-boot-security-saml-demo-okta-wreesmann.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,0-boot-security-saml-demo-okta-wreesmann.airbnb.app,Vercel,,,,
0-node-express-okta-idpnode-admin.airbnb.app,,404,67,443,https://0-node-express-okta-idpnode-admin.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.93,/,1307429962,76.76.21.241,4,False,0-node-express-okta-idpnode-admin.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,0-node-express-okta-idpnode-admin.airbnb.app,Vercel,,,,
0-tlcovid19-private.secure.admin.airbnb.com,Anmelden – Google Konten,200,96772,443,https://0-tlcovid19-private.secure.admin.airbnb.com:443,https,GSE,text/html,GET,34.120.23.133,/,-1709961072,2600:1901:0:7a6a::,1494,False,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,OpenGSE,google,True,https://accounts.google.com/InteractiveLogin?continue=https://accounts.google.com/signin/oauth/legacy/consent?authuser%3Dunknown%26part%3DAJi8hAM_ZQwuCRxPBd6f30H5406T5Xabh4ogkbRvbyC5BkKl_3pLJ1Uz-2ylDe9u-gxFdCbqr2iaBbfccZfj_CBx05ihh0e-HCnvsUJc1_n7m4lXWNLYGvN1OfatWE2a2t5X1QToIfiT_wCFAxRepYkaWnBTfb8Q2aVmtUXJph65WkiuNpbwstDI6k9-we9ubV07lr4sCRnXLm7FIRnKFBQz6obDxZiqVF0VCLSohVJFC6m8nsCSlBWesVhddgbYL2u4Wly9BfkMj6he1DBeOZwkrwYmp5-Us8B5EwPKgdfFX9S9Tc-SCe3kUJEi4cVnDOtcCEFLd3XZWm5-nbXi09O712SKND-8UR0JQom8ZSR89XM0za_v6_LXC6S-M-n6BvPdlnDs_ypOzJ8WDc2HuSfdGwacwH766yqnMqhOG9IczTu7UokZJNr28ZP7TYtphIRbGKyFwqAyid13asD5kJ7znp4wqBEsKA%26as%3DS-83807229%253A1683920882401872%26client_id%3D1012551742179-08e23tpqsta8lmp6j7sctdllm1770mjj.apps.googleusercontent.com%23&oauth=1&rip=1&sacu=1&ifkv=Af_xneFyCNKGV7Mh51zkTCWC3iYQWY5czUSKCD36uSU-ss7tx0W1IJk8FVqWND1We-gPmC8b9KfoIA,https:
005-coinbase-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,,404,67,443,https://005-coinbase-0-boot-security-saml-demo-okta-wreesmann.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.164,/,1307429962,76.76.21.241,4,False,005-coinbase-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,005-coinbase-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,Vercel,,,,
005-coinbase.airbnb.app,,404,67,443,https://005-coinbase.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.123,/,1307429962,76.76.21.142,4,False,005-coinbase.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,005-coinbase.airbnb.app,Vercel,,,,
0ms.optustvnow.next.airbnb.com,Invalid URL,400,208,80,http://0ms.optustvnow.next.airbnb.com:80,http,AkamaiGHost,text/html,GET,2.16.187.11,/,297576588,2.16.187.115,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
1-airstream-boot-security-saml-active-okta.airbnb.app,,404,67,443,https://1-airstream-boot-security-saml-active-okta.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.93,/,1307429962,76.76.21.61,4,False,1-airstream-boot-security-saml-active-okta.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,1-airstream-boot-security-saml-active-okta.airbnb.app,Vercel,,,,
1-spring-boot-security-saml-active-okta-airbnb.appwww5f.airbnb.app,,404,67,80,http://1-spring-boot-security-saml-active-okta-airbnb.appwww5f.airbnb.app:80,http,Vercel,text/plain,GET,76.76.21.164,/,1307429962,76.76.21.61,4,False,,,,,,,,,,,,,,,,,,,,,Vercel,,,,
