input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,final_url,tls_mismatched,tls_self_signed,csp_domains_,tls_expired
*.3qsdn.com,Professionelles Streaming & Video Hosting - DSGVO Konform | 3Q,200,43667,AS5089,NTL,GB,91.224.0.0/11,3q.video,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.3q.video, O=3Q GmbH, L=Berlin, ST=Berlin, C=DE",*.3q.video,3q.video,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,180cc7031601d1cfce687f15e2456013,c26b0805a5b003de12972dfffacf03a03243995f0fd2166e76fc09d1d580128d,ctls,3q.video,,443,https://3qsdn.com:443,https,sdn/1.0,text/html,GET,91.242.173.38,/,-137334846,2001:67c:6d8:0:1:ffff:5bf2:ad2f,Webflow,88,False,,3Q GmbH,True,https://3q.video/,,,,
*.facebook.com,Facebook - log in or sign up,200,13974,AS32934,FACEBOOK,US,157.240.192.0/18,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,2023-05-17T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,5110802e765750624ab3d6785aeec848,e17a08756c6cfcd9128edfa651b071c72c0a753718d5415ccf67041f068f4637,ctls,m.facebook.com,,443,https://facebook.com:443,https,,application/vnd.wap.xhtml+xml,GET,157.240.251.35,/,142313513,2a03:2880:f177:83:face:b00c:0:25de,HTTP/3,2,False,,"Meta Platforms, Inc.",True,https://m.facebook.com/?_rdr,,,,
*.flickr.com,Find your inspiration. | Flickr,200,354932,AS16509,AMAZON-02,US,143.204.216.0/24,flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,ctls,flickr.com,cloudfront,443,https://flickr.com:443,https,,text/html,GET,143.204.209.183,/,-1366882441,143.204.209.183,Amazon Web Services,929,False,True,,True,,,,https://tpc.googlesyndication.com,
*.google.com,Google,200,34484,AS15169,GOOGLE,US,142.250.0.0/15,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,142.250.181.238,/,708578229,2a00:1450:4001:801::200e,HTTP/3,15,False,,,,https://www.google.com/,,,https://csp.withgoogle.com/csp/gws/other-hp,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:13Z,2023-07-17T12:00:12Z,CN=*.googleapis.com,*.googleapis.com,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,06c854b043dd65e1f308ec77994c4cd0,39a04a5ea2fa354528ea8a0e650c2167cefe25f1f01485bbc770bed6288a409b,ctls,googleapis.com,,443,https://googleapis.com:443,https,,text/html,GET,142.250.181.228,/,302920777,2a00:1450:4001:829::2004,HTTP/3,12,False,,,True,,,,,
*.udldigital.de,BASECAMP - Die Plattform der digitalen Community in Berlin,200,159904,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.basecamp.digital,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-19T00:00:00Z,2023-06-19T23:59:59Z,"CN=www.basecamp.digital, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",www.basecamp.digital,basecamp.digital,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b7dff66b2d7e7692cd222b986f36ad14,2b927d832ff07fab547e75ac0d7a4c4b1d6566378a5c33790cee0c9e0c839860,ctls,www.basecamp.digital,,443,https://udldigital.de:443,https,cloudflare-nginx,text/html,GET,116.203.166.194,/,566218143,2a01:4f8:1c0c:816b::1,Yoast SEO:20.4,1875,False,,Telefónica Germany GmbH & Co. OHG,,https://www.basecamp.digital/,,,maps.gstatic.com,
*.youtube-nocookie.com,Oops,404,7501,AS15169,GOOGLE,US,172.217.0.0/19,youtube-nocookie.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,daa3b740f2db8b5a7b864d3ada166890,dda5766e50d188d90b1dadb806816ad1b2abde1b0f35f467406a2fe028740cb3,ctls,youtube-nocookie.com,,443,https://youtube-nocookie.com:443,https,ESF,text/html,GET,172.217.16.142,/,1452363452,2a00:1450:4001:808::200e,HTTP/3,1,False,,,True,,True,,,
155-9-60-89.m2m.telefonica.de,Automatische Weiterleitung,200,702,AS24961,MYLOC-AS IP Backbone of myLoc managed IT AG,DE,89.163.128.0/17,155-9-60-89.m2m.telefonica.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-01-20T17:11:16Z,2022-04-20T17:11:15Z,CN=m2m.o2.de,m2m.o2.de,m2m.o2.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cd39de034023fe357f01d632eff8aef1,47679e058e6e4c56c3837fc47b986d9ee24b954d6926c776d79fe99eacccb5c7,ctls,155-9-60-89.m2m.telefonica.de,,443,https://155-9-60-89.m2m.telefonica.de:443,https,,text/html,GET,89.163.234.212,/,523552665,89.163.234.212,HSTS,19,False,,,True,,True,,URL=http://m2m.telefonica.de/,True
16.moe.alditalk-kundenbetreuung.de,Domain im Kundenauftrag registriert,200,6637,AS15598,IPX-AS15598,DE,89.31.143.0/24,,,,,,,,,,,,,,,,,,,80,http://16.moe.alditalk-kundenbetreuung.de:80,http,UD Forwarding 3.1,text/html,GET,89.31.143.1,/,-1840324437,89.31.143.1,,1,False,,,,,,,,
19c5965eef8b19aed90e2c134c9be737.sf-int.aurasa.telefonica.de,404 Not Found,404,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,19c5965eef8b19aed90e2c134c9be737.sf-int.aurasa.telefonica.de,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-08T03:35:48Z,2024-01-08T03:35:48Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,b837fb9556dc2799c2d98ed8af206bb2,9ea9951fdc4572aca9ad8a104b1f353f92ca02c471b9b23223e6dc4264d53371,ctls,19c5965eef8b19aed90e2c134c9be737.sf-int.aurasa.telefonica.de,,443,https://19c5965eef8b19aed90e2c134c9be737.sf-int.aurasa.telefonica.de:443,https,,text/html,GET,20.82.230.178,/,566218143,20.82.230.178,HSTS,14,False,,Acme Co,,,True,True,,
