input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tls_subject_org_,tech_,final_url,cdn_name,cdn,tls_wildcard_certificate,tls_expired,tls_emails_
autodiscover.driveuconnect.eu,Connexion,200,19351,wapprod.mpsa.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-20T00:00:00Z,2024-04-13T23:59:59Z,"CN=wapprod.mpsa.com, O=Stellantis N.V., L=HOOFDDORP, C=NL",wapprod.mpsa.com,enterpriseregistration.inetpsa.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a0544010696820390fd00447f9d3ce19,9923158110a74e05b3d3e9801600cb03deb58ca491754577dfaab66a0030a298,ctls,wapprod.mpsa.com,80,http://autodiscover.driveuconnect.eu:80,http,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,text/html,GET,52.97.135.104,/,-1249852061,2603:1026:c0d:c1c::8,445,False,,Stellantis N.V.,Microsoft HTTPAPI:2.0,https://wapprod.mpsa.com/adfs/ls/?client-request-id=5a8fe683-a635-ba4a-3a64-04f9133a1beb&username=&wa=wsignin1.0&wtrealm=urn%3afederation%3aMicrosoftOnline&wctx=estsredirect%3d2%26estsrequest%3drQQIARAAjZE9bBJhAIb5OHq29adNTVzcTqfiwX33B1zSATiwUK8FSks9Y8jx8R13wt0Hx13pTzq5OGldOzo4MBkn00lX4tBEp04OxjQ1TYyD1s0SF8e-w5tne5PnnadgDCp3uX_h2XGznGlCFuEx_Rdvbnr26bcXuvS6eKg0I39uKre_H4DZpmdv4gAR18XIj-FgCBjL97t9JR4ngd8hpB0jpmkjLMhSDBEnTgZG_B0ARwCcADAMJ2QhCVMSTMoJCAVJ5rlUTEAGLxmcyJrQaLBiykyxRkLgWMRjmDAEEZuJ5nF4ZiUd-BY_LuLZO_hneMoknlPvkr5_QO0DFfnLKtFauVzGMlbqds9-onrbW9rOzoNsu2hz7Z5aliUznxKMkpY08IAvtRCpSF2ICvlOw003KnCV6HoFlmvdSk5HGeRIWbVsbDt2YTNL1FrNZBctc7XuWsmenHNZtib797tbG0s4v8LqvF-tWgEXyA3Llter9SF1Kc9vKfpCk0PcEUWTLnbt5lEEfImA00iYo84j4NXExREfX56NfsFbxTfPrTuTpU-h0UR8wyRqgVtSDWltOa71B3nU40S3QQbLUW21hzlj7WHeE4oPg4y2wCtwnwb7NH1IT01SsyGGypbgCQ1-0ODZldDh1CUuPLoKjq-J0zTqGLbTn5vfZexm3Sdt7DLKLrPl9OsIjWnT6AS4zyiPmIsJ5vHe3t7766HzG-fD36MPXz-fLZ7O3Eu3xbJnmzWotmr5clqAxVI02goKZb0caGIqqVcH65lGIhqVkgt_AQ2,,,,,
connectedservices.driveuconnect.eu,,200,15,connectedservices.driveuconnect.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=connectedservices.driveuconnect.eu, O=Fiat Group Automobiles S.p.A., L=Torino, C=IT",connectedservices.driveuconnect.eu,connectedservices.driveuconnect.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4cfee8a4c4061282bf3c9af30e0aac35,0d4bcee09d3a05c3c0a2cf9cea31a9c42fd6e66ab79b6b178339658330ac54dc,ctls,connectedservices.driveuconnect.eu,443,https://connectedservices.driveuconnect.eu:443,https,Apache,text/html,GET,82.112.205.252,/,-780928015,82.112.205.252,2,False,,Fiat Group Automobiles S.p.A.,Apache,,,,,,
dev.login.driveuconnect.com,Uconnect,200,11584,dev.login.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-15T15:04:21Z,2025-11-14T15:04:21Z,"CN=dev.login.driveuconnect.com, OU=ICT, O=FCA US LLC, L=Auburn Hills, ST=Michigan, C=US",dev.login.driveuconnect.com,dev.login.driveuconnect.com,"CN=FCAUSCAM01, DC=cdroot, DC=net, DC=cdroot, DC=net",FCAUSCAM01,,9eea777d774ca553ac24b86cc8538704,8530c29868d11429add57c4396c8decf8f46d66cbf5223c519137ab9906f9714,ctls,dev.login.driveuconnect.com,443,https://dev.login.driveuconnect.com:443,https,,text/html,GET,129.9.176.34,/,-1014672792,129.9.176.34,206,False,,FCA US LLC,,https://dev.login.driveuconnect.com/login/login.fcc?TYPE=33554433&REALMOID=06-0007ca7a-e72f-1df1-a725-c91097ab0000&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-1Kmz9LNf9v%2fEXO1mCp5UXoO1yka8pvkTbxwCTRHsHofkDt1YYnO%2fhHVSTR65OV8zRcV3f6rOvB4IoMiGNuuUoQM0LZQIJfMv&TARGET=-SM-HTTP%3a%2f%2fdev%2elogin%2edriveuconnect%2ecom%2f,,,,,am_itm_wmw_webmn@chrysler.com
driveuconnect.com,503 Service Temporarily Unavailable,503,408,driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2018-02-27T00:00:00Z,2019-03-09T12:00:00Z,"CN=*.meap.me, OU=ITM, O=FCA US LLC, L=Auburn Hills, ST=Michigan, C=US",*.meap.me,*.meap.me,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7a5a91f0dc9f0c32a6270118a2700f73,c36c3e97026b3553f158ba34d2e85fed58f3ba51f92642043b352ac13460a6fe,ctls,driveuconnect.com,443,https://driveuconnect.com:443,https,,text/html,GET,206.198.145.71,/,1685898128,206.198.145.71,12,False,True,FCA US LLC,,,,,True,True,
driveuconnect.eu,,200,15,driveuconnect.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=connectedservices.driveuconnect.eu, O=Fiat Group Automobiles S.p.A., L=Torino, C=IT",connectedservices.driveuconnect.eu,connectedservices.driveuconnect.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4cfee8a4c4061282bf3c9af30e0aac35,0d4bcee09d3a05c3c0a2cf9cea31a9c42fd6e66ab79b6b178339658330ac54dc,ctls,driveuconnect.eu,443,https://driveuconnect.eu:443,https,Apache,text/html,GET,82.112.205.252,/,-780928015,82.112.205.252,2,False,True,Fiat Group Automobiles S.p.A.,Apache,,,,,,
e.driveuconnect.com,503 Service Temporarily Unavailable,503,410,e.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2018-02-27T00:00:00Z,2019-03-09T12:00:00Z,"CN=*.meap.me, OU=ITM, O=FCA US LLC, L=Auburn Hills, ST=Michigan, C=US",*.meap.me,*.meap.me,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7a5a91f0dc9f0c32a6270118a2700f73,c36c3e97026b3553f158ba34d2e85fed58f3ba51f92642043b352ac13460a6fe,ctls,e.driveuconnect.com,443,https://e.driveuconnect.com:443,https,,text/html,GET,206.198.145.71,/,-1009211375,206.198.145.71,12,False,True,FCA US LLC,,,,,True,True,
ftp.driveuconnect.eu,,200,15,ftp.driveuconnect.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=connectedservices.driveuconnect.eu, O=Fiat Group Automobiles S.p.A., L=Torino, C=IT",connectedservices.driveuconnect.eu,connectedservices.driveuconnect.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4cfee8a4c4061282bf3c9af30e0aac35,0d4bcee09d3a05c3c0a2cf9cea31a9c42fd6e66ab79b6b178339658330ac54dc,ctls,ftp.driveuconnect.eu,443,https://ftp.driveuconnect.eu:443,https,Apache,text/html,GET,82.112.205.252,/,-780928015,82.112.205.252,2,False,True,Fiat Group Automobiles S.p.A.,Apache,,,,,,
links.e.driveuconnect.com,Anti-Spam and Privacy,200,3323,links.e.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-04-20T00:00:00Z,2023-05-21T23:59:59Z,"CN=*.acoustic-adm.com, O=Acoustic\, L.P., L=Atlanta, ST=Georgia, C=US",*.acoustic-adm.com,acoustic-adm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cbb53f74a8695747df5ca55026444656,0e60dbdc328752ccfbaca7b26efbd4b767570893ece8b48cb4ffe16126280f65,ctls,links.e.driveuconnect.com,443,https://links.e.driveuconnect.com:443,https,Apache,text/html,GET,54.243.36.171,/,-1182956792,54.243.36.171,149,False,True,"Acoustic, L.P.",HSTS,,,,True,,
login-dev.driveuconnect.eu,,200,,login-dev.driveuconnect.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-12-14T23:59:59Z,CN=login-dev.driveuconnect.eu,login-dev.driveuconnect.eu,login-dev.driveuconnect.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,86c4a0f62e0eed243d92c275910101c3,092afe4c209d13b4a5ddba80131d58e02a4e78365c7ad8878892cccb94103611,ctls,login-dev.driveuconnect.eu,443,https://login-dev.driveuconnect.eu:443,https,,text/html,GET,52.222.214.106,/,-1516177449,52.222.214.129,1,False,,,Amazon Web Services,,cloudfront,True,,,
login-stage.driveuconnect.eu,,200,,login-stage.driveuconnect.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-12-14T23:59:59Z,CN=login-stage.driveuconnect.eu,login-stage.driveuconnect.eu,login-stage.driveuconnect.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9273215337b539172fb501e15a6941cc,ff93fd0c87e064584ec7dbb58a3f5c1e5d2fec9e83fa48223872a8a334599747,ctls,login-stage.driveuconnect.eu,443,https://login-stage.driveuconnect.eu:443,https,,text/html,GET,13.32.99.74,/,-1516177449,13.32.99.83,1,False,,,Amazon Web Services,,cloudfront,True,,,
