new,host,a,status_code,mx,soa,ns,aaaa,cname,cdn,cdn-name,txt,caa,has_internal_ips,internal_ips,ptr
[x],0.00000-okta-idpsvc-legacy-northamerica.0.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],0.00000-okta-idpsvc-legacy0-iad.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],0.00000-okta-idpsvc-legacy0.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],0.northamerica.00000-okta-idpsvc-legacy0.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],0.northamerica.000000-okta-idpsvc-legacy.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00-okta-network-gateway-prodsashidthakur1.accountscore.com,107.162.226.109,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00-site-basics-02-atcontenttypes-00000-okta-idpsvc-legacy.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],000-00000-okta-idpsvc-legacy.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],000-m195-0-okta-network-gateway-prodsashidthakur1.accountscore.com,107.162.226.109,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],000-m195-00315-okta-pop3.accountscore.com,107.162.226.109,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com","pdns105.ultradns.org, a1-111.akam.net, a4-66.akam.net, a14-64.akam.net, pdns105.ultradns.com, a11-64.akam.net, a3-66.akam.net, pdns105.ultradns.biz, pdns105.ultradns.net, a16-66.akam.net",,,,,,,,,
[x],00000-okta-idpsvc-legacy-0-chd.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-0-i-chefsslure-assets.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-0-iad.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-00-site-basics-02-atcontenttypes.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-comv5.github.data.backup1-api-e6zyxw.0-chd.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-data.backup1-api-e6zyxw.0-chd.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-f826-4cf6-b31c-59fd60a7c17d-6.0.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-loginredir.netuplo8d.0.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-northamerica.0.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-p.3.0.safetynetalt.0.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-p.3demo.0.0.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-uc-id-cn-198105.team.0.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy-web.000.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy.0-102.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy.0-chd.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy.0-i-chef390788ure-assets.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy.0-i-chefredirure-assets-hostmaster.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy.000-052.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
[x],00000-okta-idpsvc-legacy.000071.accountscore.net,107.162.226.111,NOERROR,,"ibloxgrid11.equifax.com, hostmaster.equifax.com",,,,,,,,,,
