new,host,a,soa,status_code,ns,mx,txt,caa,cname,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
[x],0-test-sf.danskebank.com,212.93.34.183,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,test-sf.danskebank.com,,,,,
[x],0.test-sf.danskebank.com,212.93.34.183,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,test-sf.danskebank.com,,,,,
[x],1-test-sf.danskebank.com,212.93.34.183,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,test-sf.danskebank.com,,,,,
[x],account-closure-panel.danskebank.com,"212.93.47.131, 212.93.38.131","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],activatemailbox.danskebank.com,"212.93.38.97, 212.93.47.97","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],activation.danskebank.com,"212.93.47.59, 212.93.38.59","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ap.survey.danskebank.dk,20.54.166.199,"ns.scannet2.dk, hostmaster.scannet.dk",NOERROR,,,,,"danskebank-actionpilot.ennova.com, web003.ennova.com",,True,azure,,
[x],api-district.danskebank.dk,"212.93.59.11, 212.93.61.11","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],api-ny-kunde.danskebank.dk,"212.93.38.128, 212.93.47.128","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],api.danskebank.com,212.93.34.57,,NOERROR,,,,,,,,,,
[x],api.financialdashboard.danskebank.com,212.93.53.110,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],api.findash.danskebank.com,212.93.53.110,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],api.june.dk,"212.93.38.100, 212.93.47.100","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],api1-district.danskebank.com,"212.93.38.69, 212.93.47.69","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],api1-district.danskebank.dk,"212.93.38.69, 212.93.47.69","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],api2.danskebank.com,"212.93.61.111, 212.93.59.111","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],api3.danskebank.com,"212.93.38.115, 212.93.47.115","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],api4.danskebank.com,"212.93.47.119, 212.93.38.119","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],apiebank.danskebank.com,"212.93.61.224, 212.93.59.224",,NOERROR,,,,,,,,,,
[x],apiebank3.danskebank.com,"212.93.61.224, 212.93.59.224","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],apiebank3.danskebank.dk,"212.93.61.224, 212.93.59.224","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],app.danskebank.com,"212.93.59.102, 212.93.61.102","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],appointment.danskebank.dk,"212.93.38.72, 212.93.47.72","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],apps1.danskebank.dk,"212.93.59.192, 212.93.61.192",,NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],apps2.danskebank.dk,"212.93.59.193, 212.93.61.193","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],ase.danskebank.dk,212.93.33.153,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],assets.danskebank.com,"212.93.61.102, 212.93.59.102","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],auth.june.dk,"212.93.47.100, 212.93.38.100","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],av.danskebank.dk,"185.218.229.119, 185.218.229.118","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],av.syst.danskebank.dk,185.218.229.108,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,,,,,,,,,,
[x],av02.syst.danskebank.dk,185.218.230.108,"pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
[x],bapp-integration.danskebank.com,"212.93.45.51, 212.93.49.51","pdns109.ultradns.com, tech.brandshelter.com",NOERROR,"pdns109.ultradns.com, pdns109.ultradns.net, pdns109.ultradns.biz, pdns109.ultradns.org",,,,,,,,,
