input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,final_url,csp_domains_,tls_mismatched,tls_wildcard_certificate,location,tls_expired
*.112.2o7.net,,200,,AS15224,OMNITURE,US,63.140.60.0/22,112.2o7.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-03-08T23:59:59Z,"CN=*.sc.omtrdc.net, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",*.sc.omtrdc.net,Adobe Systems Incorporated,sc.omtrdc.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5aea0482f5687fba1e7b20b2977a3e7a,1a773e957c8bb8819956df96b254fce6c3d34e51c3a7073ffe3ac7833bfc089f,ctls,112.2o7.net,443,https://112.2o7.net:443,https,jag,,GET,63.140.62.160,/,1936786007,63.140.62.135,,1,False,,,,,True,True,,
*.facebook.com,Facebook - log in or sign up,200,13947,AS32934,FACEBOOK,US,157.240.192.0/18,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,2023-05-17T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,"Meta Platforms, Inc.",messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,5110802e765750624ab3d6785aeec848,e17a08756c6cfcd9128edfa651b071c72c0a753718d5415ccf67041f068f4637,ctls,m.facebook.com,443,https://facebook.com:443,https,,application/xhtml+xml,GET,157.240.252.35,/,142313513,2a03:2880:f176:181:face:b00c:0:25de,HTTP/3,4,False,,,https://m.facebook.com/?_rdr,https://sandbox.paywithmybank.com,,True,,
*.investis.com,,200,80,AS16509,AMAZON-02,US,143.204.104.0/24,investis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-05-18T23:59:59Z,CN=investis.mx,investis.mx,,investis.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1f9a0cc12ae629a10d5d939692c746,4f707e0a6f089d0fa18988d7d6288e0c260a0f98e086a767957c4c522092aa5d,ctls,investis.com,443,https://investis.com:443,https,AmazonS3,text/html,GET,143.204.89.31,/,-2098689669,143.204.89.22,Amazon Web Services,2,False,cloudfront,True,,URL=https://www.investisdigital.com,,,,
*.qbrick.com,Leading Nordic Platform For Interactive Video - Qbrick,200,201000,AS44136,ASODERLAND,SE,91.201.60.0/22,www.qbrick.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2023-07-03T23:59:59Z,CN=qbrick.com,qbrick.com,,www.qbrick.com.hemsida.eu,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",7ce334439466a96c331982dacf36daca,c76f190cacee73e430d9dc31cb1d7a394724278af45320ef68051650b714e938,ctls,www.qbrick.com,443,https://qbrick.com:443,https,LiteSpeed,text/html,GET,91.201.60.117,/,-1054028045,91.201.60.117,Yoast SEO:20.7,2648,False,,,https://www.qbrick.com/,,,,,
*.qualtrics.com,Qualtrics XM: The Leading Experience Management Software,200,332501,AS14618,AMAZON-AES,US,23.20.0.0/14,www.qualtrics.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-07T00:00:00Z,2024-03-26T23:59:59Z,"CN=*.qualtrics.com, O=Qualtrics International Inc., L=Provo, ST=Utah, C=US",*.qualtrics.com,Qualtrics International Inc.,*.sr.qualtrics.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,fb4fe0e032ed2bad845a2d0b25e2ad17,f2265e02b2b56f8cde5b89b6a79cda4bbeec8b0ec3a6b5a724781fbe13c2e3cf,ctls,www.qualtrics.com,443,https://qualtrics.com:443,https,,text/html,GET,23.21.43.10,/,-1187442269,50.17.152.14,Yoast SEO:20.4,5312,False,,,https://www.qualtrics.com/,https://sjc1.qualtrics.com/csp-report,,True,,
account-closure-panel.danskebank.com,AccountClosure,200,1354,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,account-closure-panel.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-12T18:07:02Z,2024-02-13T18:03:11Z,"CN=account-closure-panel.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",account-closure-panel.danskebank.com,Danske Bank A/S,account-closure-panel.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,8e11c6e1dd9e0daa676ce5afca6f0200,3cb943905ec47d37b50a690771bbe78364eb25e65f01260f87b06eb4edc93a30,ctls,account-closure-panel.danskebank.com,443,https://account-closure-panel.danskebank.com:443,https,nginx/1.23.2,text/html,GET,212.93.47.131,/,-1851491385,212.93.38.131,Nginx:1.23.2,13,False,,,,,,,,
activatemailbox.danskebank.com,Electronic Mail - Error - Danske Bank,500,2722,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,activatemailbox.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-03T00:42:06Z,2024-01-04T00:30:31Z,"CN=activatemailbox.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",activatemailbox.danskebank.com,Danske Bank A/S,activatemailbox.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,0f3e061f2858a6ed0ffc49c0bd4b3247,a3a27f2ff61a0df3d236b87956c4f895fbfff87dc67889158325e7eb60c1886f,ctls,activatemailbox.danskebank.com,443,https://activatemailbox.danskebank.com:443,https,Kestrel,text/html,GET,212.93.38.97,/,355682820,212.93.47.97,Microsoft ASP.NET,56,False,,,https://activatemailbox.danskebank.com/requests/handle,,,,,
activation.danskebank.com,Activation Portal - Danske Bank,200,3906,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,activation.danskebank.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-15T04:22:02Z,2023-11-16T04:12:02Z,"CN=activation.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",activation.danskebank.com,Danske Bank A/S,activation.danskebank.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,24c6989344b9f56d61c355d029107363,6c2fad7e5797b4a961f7c11e8b958c416ce77c0466d4a7c87d48a3b5260f9383,ctls,activation.danskebank.com,80,http://activation.danskebank.com:80,http,Kestrel,text/html,GET,212.93.47.59,/,355682820,212.93.47.59,Microsoft ASP.NET,84,False,,,https://activation.danskebank.com/activation/select,,,,,
api-district.danskebank.dk,,404,24,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,api-district.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T23:02:03Z,2024-04-27T22:57:56Z,"CN=district.danskebank.com, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",district.danskebank.com,Danske Bank A/S,rest-district.danskebank.se,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,78ecb42b1d6ee58d9340260a79b18d62,8d0246f737ebe13735e384d4bb1a5e161936b15861234b294eae9679751601b4,ctls,api-district.danskebank.dk,443,https://api-district.danskebank.dk:443,https,,application/json,GET,212.93.61.11,/,-400609354,212.93.59.11,HSTS,1,False,,,,,,,,
api-ny-kunde.danskebank.dk,,200,2,AS12483,DANSKEBANK-AS Aarhus Denmark,DK,212.93.32.0/19,api-ny-kunde.danskebank.dk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-03T18:22:03Z,2024-02-04T17:59:40Z,"CN=api-ny-kunde.danskebank.dk, O=Danske Bank A/S, L=Copenhagen K, ST=Copenhagen, C=DK",api-ny-kunde.danskebank.dk,Danske Bank A/S,api-uusi-asiakas.danskebank.fi,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,2ac208972bf48e9233e9bc5d1f4a0d26,2c7cbeaaee63da034bcd121afce60983a5510c0aad0ee15e3d56f272cffffbd9,ctls,api-ny-kunde.danskebank.dk,443,https://api-ny-kunde.danskebank.dk:443,https,Kestrel,,GET,212.93.38.128,/,-1840324437,212.93.47.128,Microsoft ASP.NET,1,False,,,,,,,,
