new,host,a,cname,soa,status_code,cdn,cdn-name,mx,ns,txt,caa,aaaa
,evernote.com,35.190.29.187,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,"aspmx.l.google.com, aspmx5.googlemail.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, aspmx4.googlemail.com, aspmx2.googlemail.com","ns-cloud-a3.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a4.googledomains.com","google-site-verification=Fi6NqHcoCgqU70gKoEjH3dYmlrMjTdpYc8v9ElmH3k8, atlassian-domain-verification=tOVXqvuSdF7wH9xBOcTHifwIEfXQX6XGoTgtPxe46s5sqCLZax9yh7Ms46Uuns0N, google-site-verification=x5DW8SVayPl9Xi797V29lTrJL-uRpppOtGHBP-Hq2KM, dropbox-domain-verification=yrc7u1zwqoy5, amazonses:ZO5778pj8HYqGT3wRFj/Ww/IgfU8AJ5YuoUoFoxCk8I=, google-site-verification=qIdEbREaFnUVprcM7P-w9gmHREHfW0bIZPL2sb1J5wY, miro-verification=40d39333ec2fcf94b184de8fdca33a9a480d4a17, google-site-verification=hXDPIQ2Dr4qGvu4VQ7ls5_PpdPr25-tVhI2hRZCqCMU, google-site-verification=-44O_MA-QCjmL1Rpw4Lj-pjevxOheMRGzLPfEvRvZ8M, v=spf1 ip4:119.254.30.0/26 ip4:204.154.94.0/23 ip4:167.89.16.0/24 include:_spf.google.com include:mail.zendesk.com include:mailsenders.netsuite.com include:_spf.sparkpostmail.com include:mg-spf.greenhouse.io -all, adobe-idp-site-verification=453e072a-bf19-40ff-a370-146e1459ffd0, ZOOM_verify_TdJK5O4ZQ92bqaxap6cbpw, google-site-verification=FqT94NZW0mwOCQdLneRkulRu1tpk9X2eQWAqjenRFj8, apple-domain-verification=yJzU0JcusoBfuohM, facebook-domain-verification=ald97r41mq52lyt3zyn7iipmy75y93, google-site-verification=Hk5lck-rGtDs-jrzWHxxqCt55BE_NO8jGbKeISs7VEA, google-site-verification=gLeYtJQ3G3nJt45KuRweZcDjqU00AFnkHh6hARMV0ds, google-site-verification=qD4mZ9GDvlXV5dcjVM0L_rIGuGOE3WLrFem4j-6Fz6I, google-site-verification=xsIWB17Sk86wQcNzLtFv2pP-6pjzbCv6yzEyZVK4Yxk, google-site-verification=r9P3QUwtv232t-_jN55Jl1xafIU_00ucUaYgybP7k9k, h1-domain-verification=RRP11TgYbS83xtxg31xb8StneabT5XQ7Uo6eiS44odH8iLvJ, lc7kqxfd8kpr7hwptf9msfg60vg19wll, asv=9d228dc836a5edcac89e69ce0b2ab4cc, docker-verification=d4449a7e-12da-4006-be0c-cb9c965031f5, google-site-verification=NXvrNynzRWnzd2b4IDnLKaOcZFBDXiacXY4jGiV29J8, citrix-verification-code=9d21a4be-d514-44b6-b26a-a6ca9a7498b7, 5hg44l7nrl4tfsqj45zfp34qxqnx6129","letsencrypt.org, pki.goog, awstrust.com, digicert.com, amazon.com",
,forum.evernote.com,35.186.237.46,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,forums.evernote.com,35.186.237.46,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,groups.evernote.com,108.177.14.121,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,2a00:1450:4010:c0b::79
,help.evernote.com,"104.16.53.111, 104.16.51.111, 34.196.15.232, 50.16.90.51, 3.213.165.124",evernotesupport.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail-pod-19.int.zendesk.com,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net","pod=19, v=spf1 include:mail.zendesk.com ~all",,
,home.evernote.com,142.250.185.147,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,2a00:1450:4001:810::2013
,image.emails.evernote.com,"23.32.238.137, 23.32.238.155","images.s7.exacttarget.com.edgesuite.net, a1843.g.akamai.net","n0g.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,
,jira.evernote.com,35.186.237.46,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,links.comms.evernote.com,"18.66.147.77, 18.66.147.3, 18.66.147.41, 18.66.147.64",d2edv2ftesbs3e.cloudfront.net,"ns-44.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-44.awsdns-05.com, ns-646.awsdns-16.net, ns-1482.awsdns-57.org, ns-1617.awsdns-10.co.uk",,,"2600:9000:225e:1e00:9:8e1:be80:93a1, 2600:9000:225e:4c00:9:8e1:be80:93a1, 2600:9000:225e:6800:9:8e1:be80:93a1, 2600:9000:225e:7a00:9:8e1:be80:93a1, 2600:9000:225e:7c00:9:8e1:be80:93a1, 2600:9000:225e:b800:9:8e1:be80:93a1, 2600:9000:225e:e600:9:8e1:be80:93a1, 2600:9000:225e:200:9:8e1:be80:93a1"
,links.messages.evernote.com,"18.164.52.26, 18.164.52.55, 18.164.52.80, 18.164.52.86",d1scnbui7m2ard.cloudfront.net,"ns-27.awsdns-03.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-1452.awsdns-53.org, ns-1921.awsdns-48.co.uk, ns-27.awsdns-03.com, ns-995.awsdns-60.net",,,"2600:9000:2450:6000:12:ec65:3e40:93a1, 2600:9000:2450:a400:12:ec65:3e40:93a1, 2600:9000:2450:f800:12:ec65:3e40:93a1, 2600:9000:2450:8800:12:ec65:3e40:93a1, 2600:9000:2450:dc00:12:ec65:3e40:93a1, 2600:9000:2450:da00:12:ec65:3e40:93a1, 2600:9000:2450:de00:12:ec65:3e40:93a1, 2600:9000:2450:8600:12:ec65:3e40:93a1"
,links.notifications.evernote.com,"18.164.52.80, 18.164.52.86, 18.164.52.26, 18.164.52.55",d1scnbui7m2ard.cloudfront.net,"ns-27.awsdns-03.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-1921.awsdns-48.co.uk, ns-995.awsdns-60.net, ns-27.awsdns-03.com, ns-1452.awsdns-53.org",,,"2600:9000:2552:ca00:12:ec65:3e40:93a1, 2600:9000:2552:2c00:12:ec65:3e40:93a1, 2600:9000:2552:3c00:12:ec65:3e40:93a1, 2600:9000:2552:7200:12:ec65:3e40:93a1, 2600:9000:2552:8e00:12:ec65:3e40:93a1, 2600:9000:2552:1e00:12:ec65:3e40:93a1, 2600:9000:2552:6a00:12:ec65:3e40:93a1, 2600:9000:2552:200:12:ec65:3e40:93a1"
,m.evernote.com,34.83.134.175,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,m.evernote.com,,workplace-domain-verification=619b684f-5300-49bd-b397-1e5f0ab4993a,,
,m.preprod2.evernote.com,35.197.118.142,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,m.stage.evernote.com,35.197.118.142,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,m1.svc.stage.evernote.com,35.186.207.150,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,m1.svc.www.evernote.com,35.201.119.18,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,m2.svc.evernote.com,35.190.95.230,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,m2.svc.stage.evernote.com,34.120.198.253,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,mail-sys.evernote.com,,sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,smtp.sparkpostmail.com,"ns-304.awsdns-38.com, ns-775.awsdns-32.net, ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk","202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",,
,mail.evernote.com,172.217.16.211,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,2a00:1450:4001:806::2013
,maintenance.evernote.com,2.19.228.218,"wildcard.evernote.com.edgekey.net, e7641.g.akamaiedge.net","n0g.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
,market.evernote.com,35.186.237.46,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,messages.evernote.com,"54.187.137.251, 35.80.120.46, 35.80.125.133, 52.26.128.141, 54.189.25.106, 44.227.213.16, 52.43.234.228, 35.162.48.195",sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,smtp.sparkpostmail.com,"ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk, ns-304.awsdns-38.com, ns-775.awsdns-32.net","202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",,
,metrics.evernote.com,173.223.112.224,"metrics.evernote.com.edgekey.net, e7641.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
,ms-out.evernote.com,204.154.94.123,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,ms-ugc-out.evernote.com,204.154.94.124,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,msteams.svc.www.evernote.com,"216.239.34.21, 216.239.36.21, 216.239.38.21, 216.239.32.21",,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,"google-site-verification=Mkg_iz08N0f1vjgmcWY4wueXQ1LaeKFzs5xa1eVvjC0, google-site-verification=qIdEbREaFnUVprcM7P-w9gmHREHfW0bIZPL2sb1J5wY",,
,mta.emails.evernote.com,13.111.22.106,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,mta2.emails.evernote.com,13.111.22.107,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,mta3.emails.evernote.com,13.111.22.108,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,mx.evernote.com,35.190.29.187,evernote.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,"aspmx5.googlemail.com, aspmx4.googlemail.com, aspmx3.googlemail.com, aspmx2.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a4.googledomains.com","docker-verification=d4449a7e-12da-4006-be0c-cb9c965031f5, miro-verification=40d39333ec2fcf94b184de8fdca33a9a480d4a17, google-site-verification=Fi6NqHcoCgqU70gKoEjH3dYmlrMjTdpYc8v9ElmH3k8, ZOOM_verify_TdJK5O4ZQ92bqaxap6cbpw, google-site-verification=qIdEbREaFnUVprcM7P-w9gmHREHfW0bIZPL2sb1J5wY, google-site-verification=-44O_MA-QCjmL1Rpw4Lj-pjevxOheMRGzLPfEvRvZ8M, citrix-verification-code=9d21a4be-d514-44b6-b26a-a6ca9a7498b7, v=spf1 ip4:119.254.30.0/26 ip4:204.154.94.0/23 ip4:167.89.16.0/24 include:_spf.google.com include:mail.zendesk.com include:mailsenders.netsuite.com include:_spf.sparkpostmail.com include:mg-spf.greenhouse.io -all, apple-domain-verification=yJzU0JcusoBfuohM, google-site-verification=hXDPIQ2Dr4qGvu4VQ7ls5_PpdPr25-tVhI2hRZCqCMU, google-site-verification=r9P3QUwtv232t-_jN55Jl1xafIU_00ucUaYgybP7k9k, lc7kqxfd8kpr7hwptf9msfg60vg19wll, 5hg44l7nrl4tfsqj45zfp34qxqnx6129, google-site-verification=qD4mZ9GDvlXV5dcjVM0L_rIGuGOE3WLrFem4j-6Fz6I, dropbox-domain-verification=yrc7u1zwqoy5, facebook-domain-verification=ald97r41mq52lyt3zyn7iipmy75y93, adobe-idp-site-verification=453e072a-bf19-40ff-a370-146e1459ffd0, google-site-verification=gLeYtJQ3G3nJt45KuRweZcDjqU00AFnkHh6hARMV0ds, google-site-verification=xsIWB17Sk86wQcNzLtFv2pP-6pjzbCv6yzEyZVK4Yxk, atlassian-domain-verification=tOVXqvuSdF7wH9xBOcTHifwIEfXQX6XGoTgtPxe46s5sqCLZax9yh7Ms46Uuns0N, asv=9d228dc836a5edcac89e69ce0b2ab4cc, google-site-verification=Hk5lck-rGtDs-jrzWHxxqCt55BE_NO8jGbKeISs7VEA, h1-domain-verification=RRP11TgYbS83xtxg31xb8StneabT5XQ7Uo6eiS44odH8iLvJ, google-site-verification=FqT94NZW0mwOCQdLneRkulRu1tpk9X2eQWAqjenRFj8, google-site-verification=NXvrNynzRWnzd2b4IDnLKaOcZFBDXiacXY4jGiV29J8, amazonses:ZO5778pj8HYqGT3wRFj/Ww/IgfU8AJ5YuoUoFoxCk8I=, google-site-verification=x5DW8SVayPl9Xi797V29lTrJL-uRpppOtGHBP-Hq2KM","amazon.com, pki.goog, letsencrypt.org, digicert.com, awstrust.com",
,nap-accounts.evernote.com,"2.17.100.202, 2.17.100.251","nap-accounts.evernote.com.edgekey.net, e68129.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,"2a02:26f0:ab00::214:8e4b, 2a02:26f0:ab00::5c7a:d723"
,nap-accounts.preprod3.evernote.com,"23.213.161.205, 23.213.161.218","nap-accounts.preprod3.evernote.com.edgekey.net, e68129.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,"2a02:26f0:64::210:b540, 2a02:26f0:64::210:b549"
,nap-accounts.stage.evernote.com,"2.16.187.136, 2.16.187.51","nap-accounts.stage.evernote.com.edgekey.net, e68129.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
,notifications.evernote.com,"54.187.137.251, 44.227.213.16, 54.189.25.106, 35.80.120.46, 52.43.234.228, 35.80.125.133, 54.149.67.182, 52.26.128.141",sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,smtp.sparkpostmail.com,"ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk, ns-304.awsdns-38.com, ns-775.awsdns-32.net","202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",,
,preprod.evernote.com,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,preprod2.evernote.com,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,preview.evernote.com,34.83.134.175,m.evernote.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,m.evernote.com,,workplace-domain-verification=619b684f-5300-49bd-b397-1e5f0ab4993a,,
,private.test.gke4.evernote.com,34.120.239.55,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,prod.blog.evernote.com,52.3.191.43,wp855.host.pressdns.com,"ns-741.awsdns-28.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,rk6fkgl-stage.evernote.com,34.160.63.231,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,sandbox.evernote.com,173.223.112.224,"sandbox.evernote.com.edgekey.net, e7641.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
,schools.evernote.com,35.186.237.46,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,sectraining.evernote.com,34.83.167.50,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,skitch.evernote.com,35.186.237.46,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,slack.svc.evernote.com,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,google-site-verification=M7B7BlC2NYQG30QV9lvBdpP5Slo31AUdCN5e4nv88os,,
,sp.account.evernote.com,"54.187.134.7, 35.166.255.90, 52.88.110.2",spgo.io,"ns-678.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,,,smtp.sparkpostmail.com,"ns-1380.awsdns-44.org, ns-1748.awsdns-26.co.uk, ns-277.awsdns-34.com, ns-678.awsdns-20.net",,,
,sp.comms.evernote.com,"52.88.110.2, 35.166.255.90, 54.187.134.7",spgo.io,"ns-678.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,,,smtp.sparkpostmail.com,"ns-1380.awsdns-44.org, ns-1748.awsdns-26.co.uk, ns-277.awsdns-34.com, ns-678.awsdns-20.net",,,
,ssltest.evernote.com,204.154.94.68,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,stage-content.evernote.com,2.18.233.40,"stage.evernote.com, stage.evernote.com.edgekey.net, e7641.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
,stage-corp.evernote.com,35.190.0.228,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,google-site-verification=JQ5xss5a1tdhulxI5ASBUEpTxXG3AF7DocV4JDLofP0,,
,stage-email-assets.evernote.com,35.201.122.161,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,stage.blog.evernote.com,52.3.191.43,wp855.host.pressdns.com,"ns-741.awsdns-28.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,static.evernote.com,"99.84.216.119, 99.84.216.39, 99.84.216.36, 99.84.216.137, 205.251.193.65, 205.251.194.180, 205.251.197.169, 205.251.198.77",d1famf0ws000sr.cloudfront.net,"ns-321.awsdns-40.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-692.awsdns-22.net, ns-321.awsdns-40.com, ns-1613.awsdns-09.co.uk, ns-1449.awsdns-53.org",,,
,status.evernote.com,"74.114.154.18, 74.114.154.22",domains.tumblr.com,"ns1.tumblr.com, hostmaster.tumblr.com",NOERROR,,,,,,"mailto:content-delivery+caa@tumblr.com, comodoca.com, digicert.com, globalsign.com, letsencrypt.org",
,store.evernote.com,35.186.237.46,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,support.evernote.com,35.186.237.46,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,"aspmx.l.google.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com",,,,
,svc-stage.evernote.com,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,"google-site-verification=PkUwIRa4C-tTaPGnbv4y2o_phIv1BBhM0erbkMTE0mI, google-site-verification=r3gaieVyjB0bfsvjp_JwiyFHFjT_FuMf8dSftbLO5wI",,
,svc.app.preprod.evernote.com,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,dashboard for preprod,,
,svc.stage.evernote.com,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,"google-site-verification=pejpoLKo3I7S1oMDdxSlO9b5_T7YUYqwmuSWeulwVQg, google-site-verification=OYXswUTpoufZqVbj5cCmn4pOMhpqzL92_mfKjnXzR-U",,
,svc.www.evernote.com,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,google-site-verification=qIdEbREaFnUVprcM7P-w9gmHREHfW0bIZPL2sb1J5wY,,
,svcnat01-ba1.evernote.com,204.154.94.125,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,svcnat02-ba1.evernote.com,204.154.94.126,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,t.mail-svc.evernote.com,"54.187.134.7, 52.88.110.2, 35.166.255.90",spgo.io,"ns-678.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,,,smtp.sparkpostmail.com,"ns-1380.awsdns-44.org, ns-1748.awsdns-26.co.uk, ns-277.awsdns-34.com, ns-678.awsdns-20.net",,,
