new,host,a,aaaa,cname,soa,caa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt
[x],17-121-121-34.xi.nutanix.com,,"2a02:26f0:1700:5::5f65:1b77, 2a02:26f0:1700:5::5f65:1b7a","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],49.stage-xi.nutanix.com,"95.101.111.146, 95.101.111.147","2a02:26f0:3500:14::1724:a247, 2a02:26f0:3500:14::1724:a24a","stage-xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],69-171-244-35.xi.nutanix.com,"95.101.111.147, 95.101.111.146","2a02:26f0:3500:14::1724:a24a, 2a02:26f0:3500:14::1724:a247","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],69-171-244-42.xi.nutanix.com,"95.101.111.146, 95.101.111.147","2a02:26f0:480:23::1726:62b1, 2a02:26f0:480:23::1726:6297","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],a38.xi.nutanix.com,"95.101.111.146, 95.101.111.147","2a02:26f0:480:23::1726:62b1, 2a02:26f0:480:23::1726:6297","xi.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],aemstage.nutanix.com,"92.123.189.67, 92.123.189.49","2a02:26f0:d8::1740:c2b, 2a02:26f0:d8::1740:c40","aemstage.nutanix.com.edgekey.net, e26240.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],alliances.nutanix.com,192.146.154.70,,redirect.nutanix.com,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],analytics-api-blue.nutanix.com,23.222.46.128,,"analytics-api-blue.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],analytics-api-green.nutanix.com,23.222.46.128,,"analytics-api-green.nutanix.com.edgekey.net, e9966.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
[x],api-gateway-prod.cloud-internal.nutanix.com,"54.211.58.51, 44.193.107.184, 54.85.30.249",,prod-cpanel-elb-1410090682.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
[x],api-staging.console.nutanix.com,"80.239.254.36, 95.101.133.64","2001:2030:0:17::50ef:fe24, 2001:2030:0:17::5f65:8540","staging.console.nutanix.com.edgekey.net, e28941.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
