new,host,soa,txt,status_code,a,mx,ns,caa,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips
[x],1912044.jobalerts.devolksbank.nl,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com","v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE",NOERROR,"167.89.123.54, 167.89.123.124, 167.89.118.52, 167.89.118.83","mx2.sendgrid.net, mx.sendgrid.net","ns12.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns13.dnsmadeeasy.com","amazonaws.com, godaddy.com",,sendgrid.net,,,,
[x],_spf.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 ip4:194.53.210.32 ip4:194.53.211.32 ip4:194.53.210.60 ip4:194.53.211.60 include:spf.protection.outlook.com include:spf.flowmailer.net -all,NOERROR,,,,,,,,,,
[x],a1.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,213.206.118.84,,,,,,,,,
[x],acc.push.messaging.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,87.233.203.225,,,,2001:9a8:a6:0:87:233:203:225,,,,,
[x],access01.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],access01.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],access01.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],access02.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,,,,,
[x],access02.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],access02.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],adfs-ota.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.13,,,,,,,,,
[x],adfs.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,"194.53.210.21, 194.53.211.21",,,,,,,,,
[x],ami-acc.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.211.207,,,,,,,,,
[x],ami.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,194.53.210.39,,,,,,,,,
[x],analytics.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],api-pre.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,,,,,
[x],api-pre.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",,NOERROR,,,,,,,,,,
[x],api-qfx.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],api-r1.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],api-r1.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],api-t1.asnbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],api.devolksbank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
[x],api.regiobank.nl,"a1-161.akam.net, networkservices.sns.nl",v=spf1 -all,NOERROR,,,,,,,,,,
