input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,csp_domains_,final_url,tls_mismatched
api-mobile.kite.trade,,200,68,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api-mobile.kite.trade,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-03T23:59:59Z,CN=*.kite.trade,*.kite.trade,kite.trade,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,17f606e614152eefdabd3f151ac85b73,7b2019dbc3c00d0c23f5c1e125c04c1a5bb689b3399e54477c35460d89c4464a,True,ctls,api-mobile.kite.trade,cloudflare,443,https://api-mobile.kite.trade:443,https,cloudflare,application/json,GET,104.16.4.81,/,-515958762,2606:4700::6810:451,HTTP/3,1,False,True,,,,
api-uat.kite.trade,,404,14,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api-uat.kite.trade,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-03T23:59:59Z,CN=*.kite.trade,*.kite.trade,kite.trade,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,17f606e614152eefdabd3f151ac85b73,7b2019dbc3c00d0c23f5c1e125c04c1a5bb689b3399e54477c35460d89c4464a,True,ctls,api-uat.kite.trade,cloudflare,443,https://api-uat.kite.trade:443,https,cloudflare,text/plain,GET,104.18.14.39,/,870045881,104.18.15.39,HTTP/3,2,False,True,,,,
api.kite.trade,,200,68,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.kite.trade,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-03T23:59:59Z,CN=*.kite.trade,*.kite.trade,kite.trade,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,17f606e614152eefdabd3f151ac85b73,7b2019dbc3c00d0c23f5c1e125c04c1a5bb689b3399e54477c35460d89c4464a,True,ctls,api.kite.trade,cloudflare,443,https://api.kite.trade:443,https,cloudflare,application/json,GET,104.16.4.81,/,-515958762,2606:4700::6810:351,HTTP/3,1,False,True,,,,
careers.zerodha.com,Job Openings at Zerodha,200,104783,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,careers.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,careers.zerodha.com,cloudflare,443,https://careers.zerodha.com:443,https,cloudflare,text/html,GET,104.17.218.15,/,-1804181224,2606:4700::6811:da0f,Python,1009,False,True,"Cloudflare, Inc.",,,
cashier.zerodha.com,Kite - Zerodha's fast and elegant flagship trading platform,200,5377,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,kite.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,kite.zerodha.com,cloudflare,443,https://cashier.zerodha.com:443,https,cloudflare,text/html,GET,104.17.218.15,/,-631021826,2606:4700::6811:d90f,HTTP/3,9,False,True,"Cloudflare, Inc.",,https://kite.zerodha.com/connect/login?api_key=cashier&sess_id=aGi0RBeYoAXpNLqRQGIRBGDVF3K8Zkba,
coin.zerodha.com,Coin – Zerodha,200,5410,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,coin.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,coin.zerodha.com,cloudflare,443,https://coin.zerodha.com:443,https,cloudflare,text/html,GET,104.17.218.15,/,-1419625736,2606:4700::6811:d90f,HTTP/3,14,False,True,"Cloudflare, Inc.",,,
digilocker.zerodha.com,,404,,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,digilocker.zerodha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-14T00:00:00Z,2023-06-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zerodha.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a19a806a7b1d7d449ea874d771a5476,c95154c535e3cba44cacf725920939558b87777c7012a55d9a954a8954e4e4a6,True,ctls,digilocker.zerodha.com,cloudflare,443,https://digilocker.zerodha.com:443,https,cloudflare,text/plain,GET,104.17.217.15,/,-1840324437,2606:4700::6811:da0f,HTTP/3,1,False,True,"Cloudflare, Inc.",,,
discuss.zerodha.com,Zerodha - Trading Q&A by Zerodha - All your queries on trading and markets answered,200,273954,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,tradingqna.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-10T00:00:00Z,2023-06-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4ac82ace89e698d5ac691de717659243,8e96c4e201e33d3a50da1c5c2a839c62c5376c8b0601941f0ff4f06f52613570,True,ctls,tradingqna.com,cloudflare,443,https://discuss.zerodha.com:443,https,cloudflare,text/html,GET,104.17.217.15,/,1168982678,2606:4700::6811:d90f,Ruby on Rails,1745,False,True,"Cloudflare, Inc.",matomoadmin.zerodha.net/,https://tradingqna.com/c/zerodha/7,
https://api.smallcase.com,,200,46,AS16509,AMAZON-02,US,13.249.96.0/20,api.smallcase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,2024-02-26T23:59:59Z,CN=*.smallcase.com,*.smallcase.com,*.smallcase.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7195dd4b46dc0825b7c5346635b57c16,c1cfcc21d915eeb4fa54e54e81e2d5b561ace3d1fd9109473f73cba27d415379,True,ctls,api.smallcase.com,cloudfront,443,https://api.smallcase.com:443,https,,application/json,GET,13.249.9.61,/,-1206076886,13.249.9.50,HSTS,1,False,True,,,,
https://assets.smallcase.com,,403,255,AS16509,AMAZON-02,US,18.66.144.0/22,assets.smallcase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,2024-02-26T23:59:59Z,CN=*.smallcase.com,*.smallcase.com,*.smallcase.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7195dd4b46dc0825b7c5346635b57c16,c1cfcc21d915eeb4fa54e54e81e2d5b561ace3d1fd9109473f73cba27d415379,True,ctls,assets.smallcase.com,cloudfront,443,https://assets.smallcase.com:443,https,AmazonS3,application/xml,GET,18.66.147.92,/,1112077106,18.66.147.12,Amazon Web Services,2,False,True,,,,
