new,host,a,soa,has_internal_ips,internal_ips,status_code,cdn,cdn-name,ns,cname,aaaa,caa,mx,txt
[x],assets.fs.trint.com,"199.232.193.132, 199.232.197.132","ns1.fastly.net, hostmaster.fastly.com",,,NOERROR,True,fastly,,a2.shared.us-eu.fastly.net,,,,
[x],auth.eu.trint.com,"13.224.189.18, 13.224.189.39, 13.224.189.81, 13.224.189.122","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
[x],core-api.eu.trint.com,"108.128.1.38, 54.72.185.163, 52.210.227.64","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],hooks.trint.com,"3.210.16.86, 18.214.182.246, 18.215.46.84, 3.230.51.233, 18.213.144.202, 35.171.30.217","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,480ddc53488.trint.com,,"ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,alpha.trint.com,,"ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,analytics.trint.com,"3.223.189.226, 3.224.91.5, 3.214.179.123, 3.209.119.222, 54.86.64.14, 52.0.71.141","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
,api.eu.trint.com,"13.225.78.80, 13.225.78.116, 13.225.78.86, 13.225.78.81","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,api.fs.trint.com,151.101.205.132,"ns1.fastly.net, hostmaster.fastly.com",,,NOERROR,True,fastly,,a2.shared.us-eu.fastly.net,,,,
,api.trint.com,"52.222.214.57, 52.222.214.69, 52.222.214.78, 52.222.214.114","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,app.eu.trint.com,"18.160.10.105, 18.160.10.124, 18.160.10.36, 18.160.10.76","ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,,,,
,app.trint.com,"18.160.10.47, 18.160.10.98, 18.160.10.105, 18.160.10.120","ns-806.awsdns-36.net, awsdns-hostmaster.amazon.com",,,NOERROR,True,cloudfront,,,"2600:9000:24f3:3400:5:f555:cc80:93a1, 2600:9000:24f3:d000:5:f555:cc80:93a1, 2600:9000:24f3:f600:5:f555:cc80:93a1, 2600:9000:24f3:7800:5:f555:cc80:93a1, 2600:9000:24f3:8a00:5:f555:cc80:93a1, 2600:9000:24f3:3600:5:f555:cc80:93a1, 2600:9000:24f3:5200:5:f555:cc80:93a1, 2600:9000:24f3:3200:5:f555:cc80:93a1",,,
