input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url
admin.sorare.com,Sign in ・ Cloudflare Access,200,31302,sorare.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,sorare.cloudflareaccess.com,cloudflare,443,https://admin.sorare.com:443,https,cloudflare,text/html,GET,104.18.20.98,/,-1316064848,2606:4700::6812:1562,HSTS,87,False,True,,https:,https://sorare.cloudflareaccess.com/cdn-cgi/access/login/admin.sorare.com?kid=ed7c13b124c0d77ecc3e24e183156a8943ca6c90f75270b5b20621979d65fc8e&redirect_url=%2F&meta=eyJraWQiOiIyNDQ5OGViODliOTM2ZmQwNDZhOTRlMGEyZTQ1ZjdiYjE4ZWUzNDYxMTk5NTU1NzY2ZDgzMTNmN2Q2MTUyNzllIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzgwMzI5Niwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImVkN2MxM2IxMjRjMGQ3N2VjYzNlMjRlMTgzMTU2YTg5NDNjYTZjOTBmNzUyNzBiNWIyMDYyMTk3OWQ2NWZjOGUiLCJob3N0bmFtZSI6ImFkbWluLnNvcmFyZS5jb20iLCJhcHBfc2Vzc2lvbl9oYXNoIjoiMWZlZGZlYmVlNzNhMmViYzZjNDA5NTA1ZDJkODUxNzNhNDE4NzcwYWE3MDhlNDg5YmY2ODRmZDY3MWRjY2FhNCIsIm5iZiI6MTY4MzgwMzI5NiwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.Ogs4DqR_MlR4LmkW7savw_k_p6VZkBPbhSHKlS_Wva2RDzzylyW1NioWRHYr61KOC4H9ZUWFVPiYNXi1eQVV8XdzcotLuvTGco6sLDOgROoQJheqW957fxfENiCwmekTPXW8UV7MYBkQJS42e_0NusfJAmQc2dNOzU8WvNaviheXACHNC0ytHxC-zx1KFrrvihztECB5kXT_qIau1SzJjf-boebPXOlzTJKJnZIjZl0QLSNtQSGM9TIXZBb4JtN194cqeBia0E-oA1nFAoSbNofNLWs5uA9CwNS0ADvBwm4NaI8ZCF1CL1Ow1RcwHNpNuKQLvW9BXzPR3ReRMn-DQA
api.sorare.com,,404,16,api.sorare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=sorare.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sorare.com,"Cloudflare, Inc.",*.us-east-2.sorare.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",91363d362ffe171ff813ce9a64489128,1f31463da716f4833ca01b248effabc232b79e8113a967cf2000ff99cba0588b,True,ctls,api.sorare.com,cloudflare,443,https://api.sorare.com:443,https,cloudflare,text/html,GET,104.18.21.98,/,255941003,2606:4700::6812:1462,HTTP/3,1,False,True,,,
assets.sorare.com,404 Not Found,404,345,assets.sorare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=sorare.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sorare.com,"Cloudflare, Inc.",*.us-east-2.sorare.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",91363d362ffe171ff813ce9a64489128,1f31463da716f4833ca01b248effabc232b79e8113a967cf2000ff99cba0588b,True,ctls,assets.sorare.com,cloudflare,443,https://assets.sorare.com:443,https,cloudflare,text/html,GET,104.18.21.98,/,-1848633219,2606:4700::6812:1562,HTTP/3,15,False,True,,,
bot.sorare.com,,403,16,bot.sorare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=sorare.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sorare.com,"Cloudflare, Inc.",*.us-east-2.sorare.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",91363d362ffe171ff813ce9a64489128,1f31463da716f4833ca01b248effabc232b79e8113a967cf2000ff99cba0588b,True,ctls,bot.sorare.com,cloudflare,443,https://bot.sorare.com:443,https,cloudflare,text/plain,GET,104.18.20.98,/,1659100526,2606:4700::6812:1462,HTTP/3,1,False,True,,,
email.sorare.com,,404,19,email.sorare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T14:32:11Z,2023-06-22T14:32:10Z,CN=eu.mailgun.org,eu.mailgun.org,,eu.mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,07d921eb71cefde973035642ccf2b610,ecf90e2ae0a575df8d4a2399c822e03dee9bef06bb6f17c907032617fe34c26b,,ctls,email.sorare.com,google,443,https://email.sorare.com:443,https,,text/plain,GET,34.111.99.212,/,-138391155,34.111.99.212,,2,False,True,True,,
enterpriseregistration.sorare.com,Service,404,1565,,,,,,,,,,,,,,,,,,,,azure,80,http://enterpriseregistration.sorare.com:80,http,,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,,,
img.sorare.com,,403,42,img.sorare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=sorare.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sorare.com,"Cloudflare, Inc.",*.us-east-2.sorare.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",91363d362ffe171ff813ce9a64489128,1f31463da716f4833ca01b248effabc232b79e8113a967cf2000ff99cba0588b,True,ctls,img.sorare.com,cloudflare,443,https://img.sorare.com:443,https,cloudflare,application/json,GET,104.18.21.98,/,-2004255958,2606:4700::6812:1562,HTTP/3,1,False,True,,,
k8s.us-east-2.sorare.com,Sign in ・ Cloudflare Access,200,31344,sorare.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,sorare.cloudflareaccess.com,cloudflare,443,https://k8s.us-east-2.sorare.com:443,https,cloudflare,text/html,GET,104.18.20.98,/,-2133392132,2606:4700::6812:1562,HSTS,87,False,True,,https:,https://sorare.cloudflareaccess.com/cdn-cgi/access/login/k8s.us-east-2.sorare.com?kid=18d0d59aa75525a51a8a1eea7b47b340aeb89fc9c8a2ea5b911c036da74f2cfb&redirect_url=%2F&meta=eyJraWQiOiIyNDQ5OGViODliOTM2ZmQwNDZhOTRlMGEyZTQ1ZjdiYjE4ZWUzNDYxMTk5NTU1NzY2ZDgzMTNmN2Q2MTUyNzllIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzgwMzI5Niwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjE4ZDBkNTlhYTc1NTI1YTUxYThhMWVlYTdiNDdiMzQwYWViODlmYzljOGEyZWE1YjkxMWMwMzZkYTc0ZjJjZmIiLCJob3N0bmFtZSI6Ims4cy51cy1lYXN0LTIuc29yYXJlLmNvbSIsImFwcF9zZXNzaW9uX2hhc2giOiJiYjY5M2ZiNmM2YzE5OTZlOTMzMDFmZDg5MDUwMDA3M2NkNzBjMGE4ZDA2ZmM0ZDZjYmU5NzliNjBhMDUzY2RjIiwibmJmIjoxNjgzODAzMjk2LCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJtZXRhIiwicmVkaXJlY3RfdXJsIjoiXC8iLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX2RuIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sImF1dGhfc3RhdHVzIjoiTk9ORSJ9.KurgElP4IgAoRJ9acw1RECdDhnsrJlJgIfjmC1kLEizbZY2XGeA7aAwkVmAT3_LGuf4dXXZ50h34rbnOkG8gZ8vo7jlu-U1o4LJmZqhGgaW2oP4rhwA5K8XF5UbqCwK5E6SdZhneWoMMZkYyxTpUIbCjp3goZ_y4sTcJV-xoDTqL_7ZRS5pEbst608Jf0LZRIAtvUiIUKkTjcokGC3xZugqkS90SYXvgN6OMBWpaz2y71BARZ0ypVmEVJJ-Vx2977cqx9EGXTvzaXk3xwiAmxIU_0kPwDMyL3CFpaWvZuw_ORtPWqUvXJ0q6GOYcndwjBI5htHuo4eVu14LxjCw-qA
mlbguide.sorare.com,What is Sorare: MLB - Sorare: MLB Guide,200,99407,mlbguide.sorare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T02:27:49Z,2023-08-06T02:27:48Z,CN=mlbguide.sorare.com,mlbguide.sorare.com,,mlbguide.sorare.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,867049f573f7c98678498ca5e57cef61,889cfa2bca860280fd8b9500cec489969567e0d927b29bc2c0faca7408933dd3,,ctls,mlbguide.sorare.com,cloudflare,443,https://mlbguide.sorare.com:443,https,cloudflare,text/html,GET,104.18.21.98,/,1130901961,2606:4700::6812:1562,HTTP/3,1053,False,True,,js.intercomcdn.com,
pm-bounces.sorare.com,Postmark — Email delivery for web apps,200,4374,,,,,,,,,,,,,,,,,,,,,80,http://pm-bounces.sorare.com:80,http,AmazonS3,text/html,GET,138.197.30.54,/,-1457628171,138.197.30.54,Amazon Web Services,85,False,,,,
