input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_subject_org_
api-demo.intigriti.com,ERROR: The request could not be satisfied,,919,api-demo.intigriti.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,CN=*.intigriti.com,*.intigriti.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,api-demo.intigriti.com,443,https://api-demo.intigriti.com:443,https,CloudFront,text/html,GET,13.32.99.88,Amazon Web Services,20,True,
api-stage.intigriti.com,ERROR: The request could not be satisfied,,919,api-stage.intigriti.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,CN=*.intigriti.com,*.intigriti.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,api-stage.intigriti.com,443,https://api-stage.intigriti.com:443,https,CloudFront,text/html,GET,13.32.99.2,Amazon Web Services,20,True,
api-uat.intigriti.com,ERROR: The request could not be satisfied,,919,api-uat.intigriti.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,CN=*.intigriti.com,*.intigriti.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,api-uat.intigriti.com,443,https://api-uat.intigriti.com:443,https,CloudFront,text/html,GET,13.32.99.4,Amazon Web Services,20,True,
api.intigriti.com,,,,api.intigriti.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,CN=*.intigriti.com,*.intigriti.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,api.intigriti.com,443,https://api.intigriti.com:443,https,Hidden,,GET,13.32.99.88,HSTS,1,True,
app-demo.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,,12486,app-demo.intigriti.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,CN=*.intigriti.com,*.intigriti.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,app-demo.intigriti.com,443,https://app-demo.intigriti.com:443,https,Hidden,text/html,GET,13.225.78.24,HSTS,272,True,
app-stage.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,,12486,app-stage.intigriti.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,CN=*.intigriti.com,*.intigriti.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,app-stage.intigriti.com,443,https://app-stage.intigriti.com:443,https,Hidden,text/html,GET,13.225.78.24,HSTS,272,True,
app-uat.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,,12486,app-uat.intigriti.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,CN=*.intigriti.com,*.intigriti.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,app-uat.intigriti.com,443,https://app-uat.intigriti.com:443,https,Hidden,text/html,GET,13.225.78.24,HSTS,272,True,
app.intigriti.com,Intigriti - Bug Bounty & Agile Pentesting Platform,,354755,www.intigriti.com,443,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-02-20T08:09:32Z,CN=www.intigriti.com,www.intigriti.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,www.intigriti.com,443,https://app.intigriti.com:443,https,Vercel,text/html,GET,13.225.78.116,Vercel,1,True,
autodiscover.intigriti.com,Sign in to Outlook,,200247,login.microsoftonline.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,ctls,login.microsoftonline.com,80,http://autodiscover.intigriti.com:80,http,,text/html,GET,52.98.242.248,HSTS,173,,Microsoft Corporation
blog.intigriti.com,Intigriti - Bug Bounty & Agile Pentesting Platform,,117364,blog.intigriti.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-30T00:27:44Z,CN=tls.automattic.com,tls.automattic.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,blog.intigriti.com,443,https://blog.intigriti.com:443,https,nginx,text/html,GET,192.0.78.12,Yoast SEO:20.6,1060,,
