new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,txt,has_internal_ips,internal_ips,mx
[x],ac.sys0.ssa.gov,137.200.228.205,2001:1930:3c10:1::b,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],ai.ssa.gov,137.200.39.19,2001:1930:d07::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtmu1.ssa.gov, gtms1.ssa.gov, gtms2.ssa.gov",,,,
[x],apiauth.ssa.gov,137.200.40.9,2001:1930:d08::19,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms2.ssa.gov, gtmu2.ssa.gov, gtms1.ssa.gov, gtmu1.ssa.gov",,,,
[x],apiauthete.ssa.gov,137.200.42.59,2001:1930:d0a::26,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],apiauthint.ssa.gov,"137.200.42.58, 137.200.4.203, 137.200.4.204, 137.200.43.16, 137.200.43.17","2001:1930:e06:1::d, 2001:1930:d0a::24",,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms2.ssa.gov, gtmu2.ssa.gov, gtms1.ssa.gov, gtmu1.ssa.gov",,,,
[x],apiauthval.ssa.gov,137.200.42.60,2001:1930:d0a::27,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],ats.srt.ssa.gov,137.200.47.7,,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms1.ssa.gov, gtms2.ssa.gov, gtmu2.ssa.gov, gtmu1.ssa.gov",,,,
[x],autodiscover.adint.ssa.gov,137.200.96.9,,,,NOERROR,,,,,,,
[x],autodiscover.ssa.gov,137.200.98.12,,,,NOERROR,,,,,,,
[x],av.sys0.ssa.gov,"137.200.228.207, 137.200.43.8, 137.200.43.9, 137.200.4.30","2001:1930:d07:1::8, 2001:1930:d07:1::9, 2001:1930:e03::c, 2001:1930:3c10:1::d",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns6.ssa.gov, dns2.ssa.gov, dns1.ssa.gov, dns5.ssa.gov",,,,
[x],best.ssa.gov,137.200.39.19,2001:1930:d07::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms1.ssa.gov, gtmu1.ssa.gov, gtms2.ssa.gov, gtmu2.ssa.gov",,,,
[x],beta.ssa.gov,"173.222.106.148, 173.222.106.155","2a02:26f0:3500:18::1724:a29f, 2a02:26f0:3500:18::1724:a29d","beta.ssa.gov.edgekey.net, e82396.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
[x],blog.socialsecurity.gov,"143.204.215.21, 143.204.215.63, 143.204.215.34, 143.204.215.129","2600:9000:214f:2800:1c:ec43:1540:93a1, 2600:9000:214f:e800:1c:ec43:1540:93a1, 2600:9000:214f:b200:1c:ec43:1540:93a1, 2600:9000:214f:d600:1c:ec43:1540:93a1, 2600:9000:214f:e200:1c:ec43:1540:93a1, 2600:9000:214f:3800:1c:ec43:1540:93a1, 2600:9000:214f:ca00:1c:ec43:1540:93a1, 2600:9000:214f:8200:1c:ec43:1540:93a1",d33s9y9u4qpaol.cloudfront.net,"ns-2022.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1457.awsdns-54.org, ns-2022.awsdns-60.co.uk, ns-346.awsdns-43.com, ns-772.awsdns-32.net",,,,
[x],blog.ssa.gov,"143.204.215.63, 143.204.215.34, 143.204.215.21, 143.204.215.129","2600:9000:214f:c400:1c:ec43:1540:93a1, 2600:9000:214f:ac00:1c:ec43:1540:93a1, 2600:9000:214f:ea00:1c:ec43:1540:93a1, 2600:9000:214f:5000:1c:ec43:1540:93a1, 2600:9000:214f:2c00:1c:ec43:1540:93a1, 2600:9000:214f:b200:1c:ec43:1540:93a1, 2600:9000:214f:2200:1c:ec43:1540:93a1, 2600:9000:214f:400:1c:ec43:1540:93a1",d33s9y9u4qpaol.cloudfront.net,"ns-2022.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
[x],choosework.ssa.gov,"52.227.183.58, 208.94.148.2, 208.80.124.2, 208.80.126.2, 208.80.125.2, 208.80.127.2",,choosework.ssa.cognosante.com,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,"ns1.cognosante.com, ns3.cognosante.com, ns4.cognosante.com, ns0.cognosante.com, ns2.cognosante.com","v=spf1 include:us._netblocks.mimecast.com -all, 0ed1fe018ac0dbff146641443a81177cd9f0fafeeb, MS=ms88628294, v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov; fo=1; adkim=r; aspf=r; pct=100; ri=86400; sp=reject",,,"us-smtp-inbound-2.mimecast.com, us-smtp-inbound-1.mimecast.com"
[x],compliance.srt.ssa.gov,137.200.47.7,,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtmu1.ssa.gov, gtms1.ssa.gov, gtms2.ssa.gov",,,,
[x],diet2ws.ssa.gov,137.200.42.65,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dns2.ssa.gov,137.200.43.9,2001:1930:d07:1::9,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dns3.ssa.gov,137.200.43.10,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dns4.ssa.gov,137.200.43.11,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dns5.ssa.gov,137.200.4.30,2001:1930:e03::c,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dns6.ssa.gov,137.200.4.31,2001:1930:e03::d,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dns7.ssa.gov,137.200.4.32,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dns8.ssa.gov,137.200.4.33,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dnspub1b-nsc.ssa.gov,137.200.43.29,2001:1930:d07:1::1d,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dnspub1b-ssc.ssa.gov,137.200.4.84,2001:1930:e03::58,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dnspub2b-nsc.ssa.gov,"137.200.43.8, 137.200.43.9, 137.200.4.30","2001:1930:d07:1::1e, 2001:1930:d07:1::8, 2001:1930:d07:1::9, 2001:1930:e03::c",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns6.ssa.gov, dns5.ssa.gov, dns1.ssa.gov, dns2.ssa.gov",,,,
[x],dnspub2b-ssc.ssa.gov,137.200.4.35,2001:1930:e03::56,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],dnsrec1b-nsc.ssa.gov,"137.200.43.31, 137.200.43.8, 137.200.43.9, 137.200.4.30","2001:1930:d07:1::8, 2001:1930:d07:1::9, 2001:1930:e03::c, 2001:1930:d07:1::1f",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns1.ssa.gov, dns2.ssa.gov, dns5.ssa.gov, dns6.ssa.gov",,,,
[x],dnsrec2b-ssc.ssa.gov,137.200.4.36,2001:1930:e03::55,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],ecbsvws.ssa.gov,137.200.41.15,"2001:1930:d09::18, 2001:1930:e06::13",,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtms2.ssa.gov, gtmu1.ssa.gov, gtms1.ssa.gov",,,,
[x],edata.ssa.gov,137.200.39.19,2001:1930:e03::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms1.ssa.gov, gtmu1.ssa.gov, gtmu2.ssa.gov, gtms2.ssa.gov",,,,
[x],eme.ssa.gov,137.200.39.19,2001:1930:e03::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtmu1.ssa.gov, gtms2.ssa.gov, gtms1.ssa.gov",,,,
[x],etews.ssa.gov,"137.200.42.16, 137.200.43.8, 137.200.43.9, 137.200.4.30","2001:1930:d07:1::8, 2001:1930:d07:1::9, 2001:1930:e03::c",,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,"dns2.ssa.gov, dns1.ssa.gov, dns6.ssa.gov, dns5.ssa.gov",,,,
[x],exchange.adint.ssa.gov,137.200.98.11,,,,NOERROR,,,,,,,
[x],exchsmtp.adint.ssa.gov,137.200.98.10,,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms1.ssa.gov, gtmu2.ssa.gov, gtmu1.ssa.gov, gtms2.ssa.gov",,,,
[x],exchsmtp.ssa.gov,137.200.96.13,,,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtmu2.ssa.gov, gtms1.ssa.gov, gtmu1.ssa.gov, gtms2.ssa.gov",,,,
[x],faq-es.ssa.gov,137.200.4.16,2001:1930:e03::aaaa,vanities.ssa.gov,"gtmu1.ssa.gov, hostmaster.gtmu1.ssa.gov",NOERROR,,,"gtms2.ssa.gov, gtmu1.ssa.gov, gtmu2.ssa.gov, gtms1.ssa.gov",,,,
[x],faq.ssa.gov,23.97.10.232,,"ocommfaqprod.dynamics365portals.us, tm-3a048792-7cab-4b1c-975e-0043c4f257bf.usgovtrafficmanager.net, site-3a048792-7cab-4b1c-975e-0043c4f257bf-gcv.azurewebsites.us, gcws-prod-bn1-001.vip.azurewebsites.usgovcloudapi.net, gcws-prod-bn1-001.usgovcloudapp.net","ns1-05.azuregov-dns.us, msnhst.microsoft.com",NOERROR,,,,,,,
[x],gslbd.ssa.gov,137.200.4.44,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],gtms1.ssa.gov,137.200.4.203,2001:1930:e03::13,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],gtmu1.ssa.gov,137.200.43.16,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],gtmu2.ssa.gov,137.200.43.17,2001:1930:d07:1::11,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],guard.ssa.gov,137.200.9.2,2001:1930:e09::2,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,,,
[x],guestportal.ssa.gov,10.61.244.41,,,,NOERROR,,,,,True,10.61.244.41,
[x],guestwlc.ssa.gov,192.0.2.1,,,"dns1.ssa.gov, dnsfwadmin.ssa.gov",NOERROR,,,,,True,192.0.2.1,
