input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,final_url,webserver
autodiscover.hydass.be,Sign in to Outlook,200,199501,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.104.0.0/15,,80,http://autodiscover.hydass.be:80,http,text/html,GET,40.99.150.120,/,-1249852061,2603:1026:c0d:6a::8,HSTS,174,False,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=98b2da98-3dec-16e8-ed9f-365494b8dfdc&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=hydass.be&nonce=638192616255354911.9ff7bbfa-422b-4ed4-85a2-1d240d764ff0&state=DctBDsIgEEBRsGfRHS0zHaAsGs8yOBBNNCSl1vT2snh_97VSaugunbY9Kvh5gYgePDo3O4oAYywlpFTYEGIylIXM4hgNCJKV4KkUq_t7neqPp_uW-f1Zn6dwa2PKt0NW_u5VXu1Rj7z9AQ,
autodiscover.hydraulics-group.com,Sign in to Outlook,200,199432,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.104.0.0/15,,80,http://autodiscover.hydraulics-group.com:80,http,text/html,GET,40.99.157.56,/,-1249852061,2603:1026:c0d:c2d::8,HSTS,174,False,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,,ctls,login.microsoftonline.com,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=096bf64c-1b3e-9a8a-2448-41e86e914139&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=hydraulics-group.com&nonce=638192616254855047.9bf517bd-37cc-4e5a-89fd-b7f3de8feb1a&state=DctLDoMgFEBRqHvpDAX5D0zX8uBBa6LBYLFx92Vw7uxSQsjQPTrKe4g10gk_G2FmrZzWXNnRh6yFDcikjZGppIE5n5EFmyUml1MQQPvLp_KD6VUTbPvyubFC29Z4snct7Rhj2Z8XLtC-BdczlivVPw,
autodiscover.rem-b.com,Sign in to Outlook,200,200732,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.104.0.0/15,,80,http://autodiscover.rem-b.com:80,http,text/html,GET,40.99.150.88,/,-1249852061,2603:1026:c0d:c2d::8,HSTS,173,False,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=2c4c6795-56ba-7efb-49eb-f7d7b13214c7&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=rem-b.com&nonce=638192616254653248.b7aa3136-b27a-44e3-894a-a42d0adbd899&state=DcsxDsMgDEBRaM-Sbk6C7RgYopzFBIZKRUi0Ta9fhve3b40x9-E22HXEeKHgIooT3Fg2Qg5z8qrkSCChV2AuBCGygjLmVXPKIUY73mlpP12OXvRV914qpPls9XHlXb-flp_vs12l_wE,
enterpriseenrollment.hydass.be,Microsoft Intune admin center,200,39816,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,,443,https://enterpriseenrollment.hydass.be:443,https,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,https://intune.microsoft.com/,
enterpriseenrollment.hydraulics-group.com,Microsoft Intune admin center,200,39816,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,azure,443,https://enterpriseenrollment.hydraulics-group.com:443,https,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,True,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,https://intune.microsoft.com/,
enterpriseenrollment.remb.be,Microsoft Intune admin center,200,39816,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,,443,https://enterpriseenrollment.remb.be:443,https,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,https://intune.microsoft.com/,
enterpriseregistration.hydass.be,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,azure,443,https://enterpriseregistration.hydass.be:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,enterpriseregistration.hydass.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,True,ctls,enterpriseregistration.hydass.be,,
enterpriseregistration.hydraulics-group.com,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,azure,443,https://enterpriseregistration.hydraulics-group.com:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,enterpriseregistration.hydraulics-group.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,True,ctls,enterpriseregistration.hydraulics-group.com,,
enterpriseregistration.remb.be,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,azure,80,http://enterpriseregistration.remb.be:80,http,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,,,,,,,,,,,,,,,,,,,,,,
hydass.be,,200,716,AS6848,TELENET-AS,BE,212.123.0.0/19,,80,http://hydass.be:80,http,text/html,GET,212.123.6.254,/,-858093599,212.123.6.254,,22,False,,,,,,,,,,,,,,,,,,,,,,,Telenet Hosting & Cloud
