input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tech_,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,tls_mismatched,final_url,tls_self_signed,csp_domains_,location,tls_expired
news-us.op-mobile.opera.com,,404,29,443,https://news-us.op-mobile.opera.com:443,https,Tengine,text/html,GET,82.145.213.12,/,271159681,82.145.213.12,1,False,news-us.op-mobile.opera.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-06T00:00:00Z,2023-07-13T23:59:59Z,"CN=*.op-mobile.opera.com, O=Opera Norway AS, L=Oslo, ST=Oslo, C=NO",*.op-mobile.opera.com,op-mobile.opera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a7b663891e469dcbeba8c8e15115cc59,6e1d7f7bd155df1ff75d9d9a63cdf03e5c2ea8939e70d8fd8cadf39e1bf40b88,ctls,news-us.op-mobile.opera.com,Tengine,Opera Norway AS,True,,,,,,,,
news-za.op-mobile.opera.com,,200,1,443,https://news-za.op-mobile.opera.com:443,https,Tengine,text/html,GET,82.145.213.12,/,-1840324437,82.145.213.12,1,False,news-za.op-mobile.opera.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-06T00:00:00Z,2023-07-13T23:59:59Z,"CN=*.op-mobile.opera.com, O=Opera Norway AS, L=Oslo, ST=Oslo, C=NO",*.op-mobile.opera.com,op-mobile.opera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a7b663891e469dcbeba8c8e15115cc59,6e1d7f7bd155df1ff75d9d9a63cdf03e5c2ea8939e70d8fd8cadf39e1bf40b88,ctls,news-za.op-mobile.opera.com,Tengine,Opera Norway AS,True,,,,,,,,
news.opera.com,Opera News - Neuesten Nachrichten In Deutschland | Aktuelle Nachrichten,200,150777,443,https://news.opera.com:443,https,Tengine,text/html,GET,82.145.213.6,/,-407880057,82.145.213.6,1,False,m.dailyadvent.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-08T01:22:49Z,2023-08-06T01:22:48Z,CN=dailyadvent.com,dailyadvent.com,dailyadvent.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0b583174882c117a0ab232b72ceed922,287ab4c02d8b4ab1aac06d1f681ad276b8b03808a40f407758ace6339d4b03aa,ctls,m.dailyadvent.com,webpack,,True,,,,https://m.dailyadvent.com/,,,,
nexus.osp.opera.software,Anmelden – Google Konten,200,117000,443,https://nexus.osp.opera.software:443,https,GSE,text/html,GET,82.145.213.78,/,-412743882,82.145.213.78,1973,False,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,OpenGSE,,True,,,,https://accounts.google.com/InteractiveLogin?continue=https://accounts.google.com/signin/oauth/legacy/consent?authuser%3Dunknown%26part%3DAJi8hAO10Hxo80Kqv3o1FKmwLnTutKHi0glhK9OorC7KMQUJxZ-iEA8MlsS4RxooqWhcRe0aH93DNTzlWOO2qViU31ABsCnB9q5MvfUBoo-As5qs3MeHN8sSw4lu9V0fKjHyNazViv_0VmWitMzRm8pUicHKCPOTyew1OOVRCzLt1-hxeimJlANlhXwgrU1YYj6bm-XGFRXKeI7gdX8p1g8zsF8K6Y3o9qgrzrczNVHRXVzKaxhsAAoRgE0WXTBOg2gI23dwH_Yt-fYr0q9E-0Tt3oNNIpYFdEMlIbWo4ILh3HFs3CQNPI7ArUQtg306PnhViAyn_cABoYa3hyeoFa-lhNLX5vJDPayk8b586Tlg6QpphZCt72MA22pyTTrJSCSuADZp_TALWQqlU6Erw8o_Ob3_8d7i0_fCvqY0Pagk4yePKmxmYpfp_ZkExfMnx4HSSje8X50d0-aNys-f3mH8XlvrwguFpLwYSsIhPYSOI5mD0Y_pH3Y%26as%3DS604620306%253A1683940068525594%26client_id%3D104795197127-2m8mte96cf7baijorb1u1rp3b527nv9f.apps.googleusercontent.com%23&oauth=1&rip=1&sacu=1&ifkv=Af_xneGKtKM1NpQmw4QYHZ41N0ynNEw41BDhemsmlcDGYJ1aESNpMNEPIphT2U-gnlw6anPChyZXbw,,http:,,
ng.mini5-1.opera-mini.net,,200,,80,http://ng.mini5-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.209.253,/,-21967118,82.145.209.253,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ng.opera.news,Latest Breaking News In Nigeria | Headlines Today - Opera News,200,41394,443,https://ng.opera.news:443,https,cloudflare,text/html,GET,104.18.11.248,/,1226169811,2606:4700::6812:bf8,745,False,ng.opera.news,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T00:00:00Z,2024-05-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",07ea4db0ff3dae496468d4a360978ea5,fbbf2a84a86958f012f38ce03f1e47f81e386000edc4193a70312308e164e878,ctls,ng.opera.news,HTTP/3,"Cloudflare, Inc.",True,cloudflare,True,,,,,,
nigeria-turbo-2-lvs-ishango-1.beta.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-1.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.209.241,/,-21967118,82.145.209.241,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-1.mini5-1.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-1.mini5-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.209.241,/,-21967118,82.145.209.241,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-1.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,185.26.181.241,/,-21967118,185.26.181.241,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-2.mini5-1.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-2.mini5-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.209.242,/,-21967118,82.145.209.242,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-3.beta.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-3.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.209.243,/,-21967118,82.145.209.243,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-4.beta.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-4.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.209.244,/,-21967118,82.145.209.244,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-4.mini5-1.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-4.mini5-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.209.244,/,-21967118,82.145.209.244,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-5.beta.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-5.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.209.254,/,-21967118,82.145.209.254,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-6.beta.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-6.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.249,/,-21967118,82.145.211.249,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-6.mini5-1.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-6.mini5-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.249,/,-21967118,82.145.211.249,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-7.mini5-1.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-7.mini5-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.250,/,-21967118,82.145.211.250,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-8.beta.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-8.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.251,/,-21967118,82.145.211.251,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-9.beta.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-9.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.252,/,-21967118,82.145.211.252,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo-2-lvs-ishango-9.mini5-1.opera-mini.net,,200,,80,http://nigeria-turbo-2-lvs-ishango-9.mini5-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.252,/,-21967118,82.145.211.252,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo2-lvs-ishango-11.beta.opera-mini.net,,200,,80,http://nigeria-turbo2-lvs-ishango-11.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.254,/,-21967118,82.145.211.254,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-turbo2-lvs-ishango-11.mini5-1.opera-mini.net,,200,,80,http://nigeria-turbo2-lvs-ishango-11.mini5-1.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.211.254,/,-21967118,82.145.211.254,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan-fivehundred-5.beta.opera-mini.net,,200,,80,http://nissan-fivehundred-5.beta.opera-mini.net:80,http,Pike v8.0 release 908: HTTP Server module,application/octet-stream,GET,82.145.209.254,/,-21967118,82.145.209.254,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nl.discover.opera.com,404 Not Found,404,146,443,https://nl.discover.opera.com:443,https,nginx,text/html,GET,185.26.182.94,/,1494302000,185.26.182.93,8,False,nl.discover.opera.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2021-09-23T08:05:21Z,2031-09-21T08:05:21Z,CN=n28-06-03.lb.opera.technology,n28-06-03.lb.opera.technology,n28-06-03.lb.opera.technology,CN=n28-06-03.lb.opera.technology,n28-06-03.lb.opera.technology,,a163e22829c5793ffa0cc1462cb53888,7507ae61cfa2a6e153f3d801b7b4df43bb00f58e21430a496a94719f6f74e3a4,ctls,nl.discover.opera.com,Nginx,,,,,True,,True,,,
