input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_mismatched,tls_self_signed,tls_expired
dev-taf.sbb.ch,Alles für Ihre Mobilität | SBB,200,212388,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,dev-taf.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T08:47:35Z,2023-08-09T08:47:35Z,"CN=www.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",www.sbb.ch,Schweizerische Bundesbahnen SBB,sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,614a3b337a1a627a33ec96c5cf868ef6,37ac2a275b132a52dbb3a1e5e8416079d85765ac6c8d959de84b8ea906c697d9,,ctls,dev-taf.sbb.ch,,443,https://dev-taf.sbb.ch:443,https,Apache,text/html,GET,193.203.120.6,/,17398770,193.203.120.6,Varnish,3398,False,,,,,,
dev-www.sbb.ch,Das Online-Portal der SBB für Zug und ÖV | SBB,200,290919,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,dev-www.sbb.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T08:47:35Z,2023-08-09T08:47:35Z,"CN=www.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",www.sbb.ch,Schweizerische Bundesbahnen SBB,sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,614a3b337a1a627a33ec96c5cf868ef6,37ac2a275b132a52dbb3a1e5e8416079d85765ac6c8d959de84b8ea906c697d9,,ctls,dev-www.sbb.ch,,443,https://dev-www.sbb.ch:443,https,Apache,text/html,GET,193.203.120.6,/,-491310996,193.203.120.6,Varnish,4552,False,,https://dev-www.sbb.ch/de,,,,
dev.app.sbb.ch,,503,2503,AS16509,AS16509,Unknown,35.160.0.0/13,dev.app.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-18T23:59:59Z,CN=*.app.sbb.ch,*.app.sbb.ch,,*.test.app.sbb.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b67678f759d4e84707bb30658fe59a0,e1e3a647bd8979e477bcd46b33614f15c0840e3d2c287a443256b4cadedcc137,True,ctls,dev.app.sbb.ch,,443,https://dev.app.sbb.ch:443,https,,text/html,GET,35.157.98.202,/,1539244717,3.124.89.17,,94,False,,,,,,
developer-dev-alias.app.sbb.ch,,503,2503,AS16509,AS16509,Unknown,3.144.0.0/13,developer-dev-alias.app.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2023-07-20T23:59:59Z,CN=*.app.sbb.ch,*.app.sbb.ch,,*.test.app.sbb.ch,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,af48e1db6cd272fd9fadbb92e39b13bc,efe63608db96f3443f0e91404dc157ac6c74e524f09c359661a5998a76ca0ae5,True,ctls,developer-dev-alias.app.sbb.ch,,443,https://developer-dev-alias.app.sbb.ch:443,https,,text/html,GET,3.121.210.209,/,1539244717,18.184.49.10,,94,False,,,,,,
developer-dev.sbb.ch,SBB Developer,200,23313,AS16509,AS16509,Unknown,18.184.0.0/15,developer-dev.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=developer-dev.sbb.ch,developer-dev.sbb.ch,,developer-dev.sbb.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1f2e10e537c987d54716642570fbe38,0dea9c468fbcc5008cec8ca4c342f26011583fea9d4334e0ce0a9e09a6831613,,ctls,developer-dev.sbb.ch,,443,https://developer-dev.sbb.ch:443,https,nginx,text/html,GET,18.184.49.10,/,-1380756102,3.121.210.209,Nginx,52,False,,,https://zug.sbb.ch,,,
developer.sbb.ch,SBB Developer,200,23288,AS16509,AS16509,Unknown,18.200.0.0/14,developer.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=developer.sbb.ch,developer.sbb.ch,,developer-int.sbb.ch,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,085fb7939e67011b2e2798e8f3f28689,6e4b8313fb29769c0abd90f132ee33bfef2223430ad572019c595ff33c3a36b0,,ctls,developer.sbb.ch,,443,https://developer.sbb.ch:443,https,nginx,text/html,GET,18.194.68.34,/,-1380756102,52.57.26.73,Nginx,52,False,,,https://*.sbb-cloud.net,,,
devsmp.sbb.ch,401 Unauthorized,401,381,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,devsmp.sbb.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-27T12:44:32Z,2023-06-27T12:44:32Z,"CN=mobileprod.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",mobileprod.sbb.ch,Schweizerische Bundesbahnen SBB,mobileint.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,99954d1a73e044d027acc2287f1ae9f3,645c1fc91f7ce464720e8b8c15442820c8aa42e2f35dcea3e24eedfec56319f2,,ctls,devsmp.sbb.ch,,443,https://devsmp.sbb.ch:443,https,Apache,text/html,GET,193.203.121.23,/,-392200610,193.203.121.23,HSTS,13,False,,,,,,
dex.sbb.ch,Sign in to your account,200,204856,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,azure,443,https://dex.sbb.ch:443,https,,text/html,GET,52.174.35.5,/,,52.174.35.5,HSTS,173,False,True,https://login.microsoftonline.com:443/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=55FDC808B746DCB08D167870914F080B53FF1CD25C0DD2ED%2D0D641E509A5C343841CECE62489265AD9F989A9FDF1FDB6577F29F051C30F75A&redirect%5Furi=https%3A%2F%2Fsbb%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=ab70b1a0%2D6061%2D6000%2D7ca7%2D82716021aa39,,,,
dict.sbb.ch,WebTerm 7,200,246,AS20988,MTF-CLOUD,CH,217.148.8.0/21,dict.sbb.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-27T16:37:19Z,2023-07-26T16:37:18Z,CN=sbbpoc.star-group.net,sbbpoc.star-group.net,,translate.sbb.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c12a6f62a70d38aa9698a5cdc3bc9afe,18a1660adade2ae113517469d179c3831187645854200ae04e6b0b52beda2ba1,,ctls,dict.sbb.ch,,443,https://dict.sbb.ch:443,https,Microsoft-IIS/10.0,text/html,GET,217.148.9.66,/,1631801191,217.148.9.66,Windows Server,12,False,,,,,,
digital-alias.app.sbb.ch,Design Systeme der SBB | Home,200,53452,AS16509,AS16509,Unknown,18.200.0.0/14,digital.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2023-07-27T23:59:59Z,CN=digital.sbb.ch,digital.sbb.ch,,digital.sbb.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bd9769ed4b983de31bddf79278042d5a,c9f53ce7b4bbc0c3391269ef26f3f3b1a5ae41f120fc377cfc73f9fef7efb5f4,,ctls,digital.sbb.ch,,443,https://digital-alias.app.sbb.ch:443,https,nginx/1.18.0,text/html,GET,18.194.68.34,/,-498649212,3.123.94.26,PHP:7.4.33,914,False,,https://digital.sbb.ch/de,,,,
digital.sbb.ch,Design Systeme der SBB | Home,200,53452,AS16509,AS16509,Unknown,52.60.0.0/16,digital.sbb.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2023-07-27T23:59:59Z,CN=digital.sbb.ch,digital.sbb.ch,,digital.sbb.ch,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bd9769ed4b983de31bddf79278042d5a,c9f53ce7b4bbc0c3391269ef26f3f3b1a5ae41f120fc377cfc73f9fef7efb5f4,,ctls,digital.sbb.ch,,443,https://digital.sbb.ch:443,https,nginx/1.18.0,text/html,GET,52.57.26.73,/,-498649212,18.194.68.34,PHP:7.4.33,914,False,,https://digital.sbb.ch/de,,,,
dms-dev.sbb.ch,Sign in to your account,200,200660,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,443,https://dms-dev.sbb.ch:443,https,,text/html,GET,193.203.120.6,/,2141041745,193.203.120.6,HSTS,174,False,,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/v2.0/authorize?scope=openid&response_type=code&redirect_uri=https%3A%2F%2Fauthtest.sbb.ch%2Fsso-login%2Foauth2-client&state=nUqHJjF6jTWr1Hgfzo5MxSN9i6q5r5&nonce=st82Lg7r7dHze71rbYXTGpvFqBUVpLPQiHuRMTAEUEr7&client_id=3a3dd96e-0898-4b45-8b92-e422cd4b9b3c,,,,
dms.sbb.ch,Sign in to your account,200,200397,AS31004,SBB-CFF-FFS Telecom SBB,CH,194.150.244.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,443,https://dms.sbb.ch:443,https,,text/html,GET,194.150.244.154,/,-884451946,194.150.244.154,HSTS,174,False,,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/v2.0/authorize?scope=openid&response_type=code&redirect_uri=https%3A%2F%2Fauth.sbb.ch%2Fsso-login%2Foauth2-client&state=d9Z1udkG2iKY3ogXVhKz1TTceAxyp8&nonce=pSSkgZjCbxTibEqnsHxc5UKne3v9Y8zvetxPKcJCeKEF&client_id=32738ca7-e533-4dff-9f35-1b64c0dc1258,,,,
dmsint.sbb.ch,Sign in to your account,200,200513,AS31004,SBB-CFF-FFS Telecom SBB,CH,194.150.244.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,443,https://dmsint.sbb.ch:443,https,,text/html,GET,194.150.244.199,/,-2065570245,194.150.244.199,HSTS,174,False,,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/v2.0/authorize?scope=openid&response_type=code&redirect_uri=https%3A%2F%2Fauthint.sbb.ch%2Fsso-login%2Foauth2-client&state=i1rdWLSmW8EdJFvqYbUYx5fvqiF9zq&nonce=t64pRkVKkfQaZGZZP9ULMGoCbkC2W9nv6wyP3bV8JTrP&client_id=456a91ff-d100-4553-8202-4615ece09283,,,,
dmstest.sbb.ch,Sign in to your account,200,199481,AS31004,SBB-CFF-FFS Telecom SBB,CH,194.150.244.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,443,https://dmstest.sbb.ch:443,https,,text/html,GET,194.150.244.163,/,-94910920,194.150.244.163,HSTS,174,False,,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/v2.0/authorize?scope=openid&response_type=code&redirect_uri=https%3A%2F%2Fauthtest.sbb.ch%2Fsso-login%2Foauth2-client&state=L2zLyiybzeFt6miX7f71j6sQmCWn7H&nonce=DtYFj1tzeUxgR8UzkQ3VoNZ2KJEAXkSQTv4oCJmJEjtE&client_id=3a3dd96e-0898-4b45-8b92-e422cd4b9b3c,,,,
docker.bin-ext.sbb.ch,,503,11,AS16509,AS16509,Unknown,52.60.0.0/16,docker.bin-ext.sbb.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T13:04:59Z,2023-06-15T13:04:59Z,"CN=bin-ext.sbb.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",bin-ext.sbb.ch,Schweizerische Bundesbahnen SBB,bin-ext-i.sbb.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,467a90c412f244df47e2e8335d371f96,e56276ba6d032144a0d00ca85937499ced99d5eac70ccd77c1fcd10e428d1554,True,ctls,docker.bin-ext.sbb.ch,,443,https://docker.bin-ext.sbb.ch:443,https,awselb/2.0,text/plain,GET,52.57.73.201,/,-254156498,2a00:4bc0:2103:2:8136:e196:3a20:ebd2,,1,False,,,,True,,
doma-deve.sbb.ch,Sign in to your account,200,205775,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,azure,443,https://doma-deve.sbb.ch:443,https,,text/html,GET,13.69.68.13,/,-1380756102,13.69.68.13,HSTS,174,False,True,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/authorize?client_id=a1c35c61-5ebe-4b50-ad46-b254d38fcdf0&redirect_uri=https%3A%2F%2Fdoma-deve.sbb.ch%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638193056286686481.ZTVkMTIyZGMtZjE4Zi00Yjk3LWIyNjUtMjQ5ZGM4NWQzYzk4MGM1MGFkNjMtYjE2Ni00YTlhLTgwYzktYzE2NzJkY2M5ODQy&state=CfDJ8C9srqR5VVVNj1tBgbDEFw3wB4iLukG9OJDqECIYKcXPP22bd2f05XrgdtALB1qiToHdQLeBfhogl3zTo4vfHg6nfLJM_mpG3bc1lQqwknpwzNHijisTzmEv-326xk46pMtKmrLgGk5q0uxCBFw-veFOiFMP1Qg1hOmVoLcwsM6DMRtRv-Axor2scD935D13-WUF0yQwmb0SQVHtm8VRDCn89JKes6a-8BmFkstW9_RErgXYdILlT1EVs52_OJoftrygbsbtYfZ4HkjFaYlB-0JaQFDsTr5i2dOzvtY0Cr7P&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=5.5.0.0,,,,
doma-test.sbb.ch,Sign in to your account,200,203718,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,azure,443,https://doma-test.sbb.ch:443,https,,text/html,GET,13.69.68.14,/,-1380756102,13.69.68.14,HSTS,174,False,True,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/authorize?client_id=a1c35c61-5ebe-4b50-ad46-b254d38fcdf0&redirect_uri=https%3A%2F%2Fdoma-test.sbb.ch%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638193056287106816.YTg4NWQxMDItZTBjMy00NzdjLTg2ZjktMmVkZWQwMDljNDljNmU4NjVhNzktMDFiNS00MmNkLWIzODItZjE1ZWYzZGViNjJm&state=CfDJ8CSDvFKUJ-NNiuGPhHrm9Gw6X4v9GAudHMUOZt8E9npu66cGpugc_fDAci5xz15IERVZRbGWWiFQZxW1mPiXTXzIJmDy8LR7cyy65Mm99npEdRqvzeJk-ipt5aXAiLEd1Lh_jJEjMOIoSFyp14HYn8xB7NmsObs2WSW2nPSYRtyh3ta6rzP7bSyVQvWIhC26bx5Q6Cdwz3AqycLCWISXbohn9yUkqIyp9zgbyGpGd7pmzgQ3J0CXqL-Atc-YeNOsAw5YN-FI4qem7LVlKWDTrbBhe2qHFfkgYEsiPGQSiHuu&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=5.5.0.0,,,,
dservice.swisspass.ch,Entschädigung bei Verspätung - PARE,200,796939,AS16839,SNC,US,149.96.132.0/23,dservice.swisspass.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T20:39:06Z,2023-07-19T20:39:05Z,CN=dservice.swisspass.ch,dservice.swisspass.ch,,dservice.swisspass.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8ce6cfb14af7085dcf30c0035ad0ba1a,f6c684a0eb7c7d4aba60ff69142b75bec14a94a62f23e1ffd239a22607d3ac38,,ctls,dservice.swisspass.ch,,443,https://dservice.swisspass.ch:443,https,snow_adc,text/html,GET,149.96.112.100,/,1701804003,149.96.112.100,Java,2258,False,,https://dservice.swisspass.ch/pare,https://*.sbb.ch,,,
e-screens.sbb.ch,Anmeldung,200,6667,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,www.oev-reporting.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-10T08:24:23Z,2023-06-10T08:24:23Z,"CN=www.oev-reporting.ch, O=Schweizerische Bundesbahnen SBB, L=Bern, ST=Bern, C=CH",www.oev-reporting.ch,Schweizerische Bundesbahnen SBB,oev-reporting.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,26d19a80a5f4b315b20d9ec172d01289,fa721be862d318849631487edfa1d5862a1185e5d605c89ec4ae9959c3684645,,ctls,www.oev-reporting.ch,,443,https://e-screens.sbb.ch:443,https,Apache,text/html,GET,193.203.121.147,/,1208039899,193.203.121.147,HSTS,77,False,,https://www.oev-reporting.ch/reporting,,,,
eadservice.swisspass.ch,Access Denied,403,267,AS16839,SNC,US,149.96.132.0/23,www.servicenow.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-06T17:46:35Z,2023-10-06T17:46:35Z,"CN=www.servicenow.com, O=ServiceNow\, Inc., L=San Diego, ST=California, C=US",www.servicenow.com,"ServiceNow, Inc.",account.servicenow.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",48d7c45d1ecc3d5cd81b23c64c073196,b4a5af84f9eb847e3e994580661a12548ba310fe14c2f02a3405a412cc09e7e8,,ctls,www.servicenow.com,,443,https://eadservice.swisspass.ch:443,https,AkamaiGHost,text/html,GET,149.96.116.100,/,-2051518109,149.96.116.100,HSTS,10,False,,https://www.servicenow.com,https://servicenow.highspot.com,,,
eavanti-int.sbb.ch,Redirecting,200,156662,AS31004,SBB-CFF-FFS Telecom SBB,CH,194.150.244.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,443,https://eavanti-int.sbb.ch:443,https,,text/html,GET,194.150.244.239,/,-1991540945,194.150.244.239,HSTS,86,False,,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/v2.0/authorize?scope=openid&response_type=code&redirect_uri=https%3A%2F%2Fauthint.sbb.ch%2Fsso-login%2Foauth2-client&state=UnFMRQV6urTrtnkhvz4SbxQaCd8UwT&nonce=yh35yAsnuSAec1GPP5Gpe1zB1Z3Zib8Bcq6eh45FgRh3&client_id=456a91ff-d100-4553-8202-4615ece09283,,,,
eavanti-test.sbb.ch,Sign in to your account,200,199021,AS31004,SBB-CFF-FFS Telecom SBB,CH,193.203.120.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,443,https://eavanti-test.sbb.ch:443,https,,text/html,GET,193.203.120.222,/,807756831,193.203.120.222,HSTS,173,False,,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/v2.0/authorize?scope=openid&response_type=code&redirect_uri=https%3A%2F%2Fauthtest.sbb.ch%2Fsso-login%2Foauth2-client&state=TzofeibGmzGeJepJrD7qrj5QzLcWxn&nonce=cojkWUPo4okQ3hGTWEWxbR295Hox6xP4Y3HV6Z6LJMMR&client_id=3a3dd96e-0898-4b45-8b92-e422cd4b9b3c,,,,
eavanti.sbb.ch,Sign in to your account,200,201987,AS31004,SBB-CFF-FFS Telecom SBB,CH,194.150.244.0/23,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,443,https://eavanti.sbb.ch:443,https,,text/html,GET,194.150.245.166,/,-1812482191,194.150.245.166,HSTS,173,False,,https://login.microsoftonline.com/2cda5d11-f0ac-46b3-967d-af1b2e1bd01a/oauth2/v2.0/authorize?scope=openid&response_type=code&redirect_uri=https%3A%2F%2Fauth.sbb.ch%2Fsso-login%2Foauth2-client&state=N6gNs1UNTGJQMUzRXD2eq4URiVvGyf&nonce=yo6dPKoT56u6eWbjRbWaMDwaXjaxTzPN67FBBn9rVPqA&client_id=32738ca7-e533-4dff-9f35-1b64c0dc1258,,,,
