input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn,tech_,csp_domains_,tls_mismatched,tls_wildcard_certificate,final_url
analytics.beta.starlink.com,502 Bad Gatway,502,428,analytics.beta.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-06T00:00:00Z,2024-04-18T23:59:59Z,"CN=analytics.beta.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",analytics.beta.starlink.com,Space Exploration Technologies Corp.,www.analytics.beta.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,830b741212a86cd4df134e304451cd78,0c02d4a29b219e10d225518915a2e4cd379d26e4ba0ffc036609bc80ba050b5c,ctls,analytics.beta.starlink.com,fastly,443,https://analytics.beta.starlink.com:443,https,Varnish,text/html,GET,151.101.2.133,/,-800671204,151.101.194.133,18,False,True,HSTS,,,,
analytics.starlink.com,502 Bad Gateway,502,431,analytics.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-06T00:00:00Z,2024-04-18T23:59:59Z,"CN=analytics.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",analytics.starlink.com,Space Exploration Technologies Corp.,www.analytics.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,89b9b369359ea21a51613a2e66cdfcb8,d61472ba9d58799e01700c0313aa339ef1f42b506837ffddf7a8679476c8dd39,ctls,analytics.starlink.com,fastly,443,https://analytics.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,-1297183447,151.101.194.133,18,False,True,HSTS,,,,
api.beta.starlink.com,,502,,api.beta.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-24T00:00:00Z,2023-06-24T23:59:59Z,"CN=beta.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",beta.starlink.com,Space Exploration Technologies Corp.,api.beta.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,32a0de6a1e1f001ea736b0bba5f5f868,41bc26129191219f9b61a24b04a60a01f57ab1a088c3417083bef0f2b085350c,ctls,api.beta.starlink.com,fastly,443,https://api.beta.starlink.com:443,https,whydoyoucare?,,GET,151.101.2.133,/,-1840324437,151.101.194.133,1,False,True,HSTS,,,,
api.payments-test.starlink.com,503 Forbidden,503,424,api.payments-test.starlink.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-15T00:00:00Z,2023-11-14T23:59:59Z,"CN=api.payments-test.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",api.payments-test.starlink.com,Space Exploration Technologies Corp.,nessus.payments-test.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9fd2712e458f97ddc4078f3eaae58961,70c2e281534b7fe3fa776f756168935f6da3f82c137d1b20def6c63fface63bc,ctls,api.payments-test.starlink.com,fastly,443,https://api.payments-test.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.1.217,/,-1941406287,151.101.193.217,18,False,True,,,,,
api.payments.starlink.com,403 Forbidden,403,425,api.payments.starlink.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-28T23:59:59Z,"CN=api.payments.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",api.payments.starlink.com,Space Exploration Technologies Corp.,nessus.payments.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b9f41f2ca086fe22a063df6067cac119,9c0540e56dfbf00476d3c3f15bff9838ce8220477becb3ebfa002352a7fa8301,ctls,api.payments.starlink.com,fastly,443,https://api.payments.starlink.com:443,https,whydoyoucare?,text/html,GET,146.75.121.217,/,-130873756,146.75.121.217,18,False,True,HSTS,,,,
api.starlink.com,,404,,api.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b0fa39fc3d9809008be417c7b81d0784,9a7de891d3b2b08d1e30af924274bfee04ec3c3bebe718114e4793bd19982864,ctls,api.starlink.com,fastly,443,https://api.starlink.com:443,https,whydoyoucare?,,GET,151.101.130.133,/,-1840324437,151.101.66.133,1,False,True,HSTS,,,,
assets.hcaptcha.starlink.com,,200,9,assets.hcaptcha.starlink.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-13T00:00:00Z,2023-11-13T23:59:59Z,"CN=hcaptcha.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",hcaptcha.starlink.com,Space Exploration Technologies Corp.,assets.hcaptcha.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab5b23e7533a029db7bf6cf493690456,fdcd3ae78bcd8eec5799d3783c1a69e46fcff6112c4ce95611fa400abad62d07,ctls,assets.hcaptcha.starlink.com,google,443,https://assets.hcaptcha.starlink.com:443,https,nginx/1.20.2,text/html,GET,34.111.246.71,/,-11775718,34.111.246.71,2,False,True,Nginx:1.20.2,,,,
auth.starlink.com,Starlink,200,2217,auth.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b0fa39fc3d9809008be417c7b81d0784,9a7de891d3b2b08d1e30af924274bfee04ec3c3bebe718114e4793bd19982864,ctls,auth.starlink.com,fastly,443,https://auth.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,-501550523,151.101.194.133,46,False,True,hCaptcha,https://static.ads-twitter.com,,,
autodiscover.starlink.com,Sign in to Outlook,200,198585,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,,80,http://autodiscover.starlink.com:80,http,,text/html,GET,52.97.189.72,/,-1249852061,2603:1026:c0d:807::8,174,False,,HSTS,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=27309057-d875-f719-50ca-3ca6784af8e9&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=starlink.com&nonce=638195187581626766.0fd6835d-0da9-4e3f-a906-2b842c549626&state=DYvLDoMgEACh_ZemF5TnshxMv2XLYmKqkqC1v18OM6cZKYS4d24dqbtEBIcmBYMxoAELEWDQMwO6wEozJeWLmxUlDcq-0dscfOqd7O9zrD8aX63Quk3HSW1d9s-Q6_a4eKLvWXk5cr1K-wM
data.starlinkisp.net,,403,136,data.starlinkisp.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=*.starlinkisp.net,*.starlinkisp.net,,*.starlinkisp.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6c33d9de6f7d53589f957d8a3ca86f67,6a9ffb6dd029f0ad187fefd01d3fc3e723776118ccb2012cdfbe21c5610e523a,ctls,data.starlinkisp.net,,443,https://data.starlinkisp.net:443,https,,application/json,GET,52.26.232.162,/,1327305858,44.227.8.238,1,False,,,,,True,
