new,host,a,aaaa,soa,status_code,cdn,cdn-name,txt,cname,ns,caa,mx
[x],a.status.vpn.adafruit.com,,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 -all,,,,
[x],accounts.adafruit.com,"104.20.39.240, 104.20.38.240","2606:4700:10::6814:27f0, 2606:4700:10::6814:26f0","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],adafruit.com,"104.20.39.240, 104.20.38.240","2606:4700:10::6814:26f0, 2606:4700:10::6814:27f0","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"tinfoil-site-verification: 8658cc2ed39a86bea3cfd6e2932e47c626dfddaf=13e2b00274d60babcbec302702d2282470595146, google-site-verification=kkxk0Dt9Hc5-L-50cAyLFAS92IKFyGHZ_0VqPJhr158, v=spf1 include:_spf.google.com include:amazonses.com include:servers.mcsv.net -all, google-site-verification=kSaEU2xoUrwzJ6JMQs-gjkXupWlAjKqGx64cYZ_mtnc",,"beau.ns.cloudflare.com, ashley.ns.cloudflare.com",,"alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com"
[x],apt.adafruit.com,,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 -all,,,,
[x],b.status.vpn.adafruit.com,,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 -all,,,,
[x],blog.adafruit.com,"104.20.39.240, 104.20.38.240","2606:4700:10::6814:27f0, 2606:4700:10::6814:26f0","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"v=spf1 -all, google-site-verification=k3LZZkoVX3M47diGVYp8npRR4S14PETDv6rKOeT0dMs",,,,
[x],cdn-blog.adafruit.com,"104.20.39.240, 104.20.38.240","2606:4700:10::6814:26f0, 2606:4700:10::6814:27f0","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],cdn-daily-blog.adafruitdaily.com,"172.67.181.184, 104.21.43.165","2606:4700:3036::ac43:b5b8, 2606:4700:3033::6815:2ba5","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],cdn-dev.adafruit.com,,,"ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 -all,,,,
[x],cdn-learn.adafruit.com,"104.20.39.240, 104.20.38.240","2606:4700:10::6814:26f0, 2606:4700:10::6814:27f0","ashley.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
