new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,caa,mx,txt,has_internal_ips,internal_ips
[x],2433248g48.underarmour.co.uk,204.74.99.103,"udns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,
[x],assets0.myfitnesspal.com,"54.231.169.216, 52.216.9.181, 52.216.170.45, 52.217.85.254, 52.217.195.80, 52.217.236.232, 54.231.133.16, 54.231.166.120","ns-1579.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,s3.amazonaws.com,,,,"ns-63.awsdns-07.com, ns-771.awsdns-32.net, ns-1300.awsdns-34.org, ns-1579.awsdns-05.co.uk",,,7703efd3bf07ae13a5fb88055d75ed49,,
[x],autodiscover.underarmour.co.uk,"52.97.189.72, 40.99.149.152, 40.99.149.184","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,"2603:1026:c0d:81a::8, 2603:1026:c0d:802::8, 2603:1026:c0d:c30::8, 2603:1026:c0d:c29::8",,,,,,
[x],cofs-fly-cofs-63.underarmour.co.uk,204.74.99.103,"udns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,
[x],dev02.underarmour.co.uk,31.186.247.14,"udns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,
[x],developer.myfitnesspal.com,"185.199.109.153, 185.199.110.153, 185.199.111.153, 185.199.108.153","ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,"www.myfitnesspalapi.com, myfitnesspalapi.com",,,,"ns-254.awsdns-31.com, ns-577.awsdns-08.net, ns-1517.awsdns-61.org, ns-1857.awsdns-40.co.uk",,,,,
[x],developer.ua.com,"96.45.83.103, 96.45.82.161, 96.45.82.74, 96.45.83.195","ns20.digicertdns.com, dns.digicertdns.com",NOERROR,,,,,,,,,,
[x],es.mapmyride.com,"13.224.189.49, 13.224.189.31, 13.224.189.41, 13.224.189.52","ns-616.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,mapmyride.com,True,cloudfront,,"ns-1291.awsdns-33.org, ns-193.awsdns-24.com, ns-2002.awsdns-58.co.uk, ns-616.awsdns-13.net",,"mx1.emailsrvr.com, mx2.emailsrvr.com",facebook-domain-verification=eohyqzox3bbhdq3palr74wbo38xt0m,,
[x],es.mapmywalk.com,"13.249.9.40, 13.249.9.109, 13.249.9.24, 13.249.9.71",,NOERROR,mapmywalk.com,True,cloudfront,,,,,,,
[x],fr.mapmyrun.com,"13.224.189.31, 13.224.189.52, 13.224.189.41, 13.224.189.49","ns-1621.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,mapmyrun.com,True,cloudfront,,"ns-748.awsdns-29.net, ns-1621.awsdns-10.co.uk, ns-440.awsdns-55.com, ns-1360.awsdns-42.org",,inbound-smtp.us-east-1.amazonaws.com,"facebook-domain-verification=qvbnlgsph3fvcvuzw08eflxidi94cm, v=spf1 mx include:_spf.salesforce.com ~all, v=spf1 include:mail.zendesk.com ~all, v=spf1 include:sendgrid.net ~all, v=spf1 a mx include:spf.mtasv.net ~all",,
[x],it.mapmyrun.com,"13.224.189.52, 13.224.189.31, 13.224.189.41, 13.224.189.49","ns-1621.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,mapmyrun.com,True,cloudfront,,"ns-440.awsdns-55.com, ns-748.awsdns-29.net, ns-1360.awsdns-42.org, ns-1621.awsdns-10.co.uk",,inbound-smtp.us-east-1.amazonaws.com,"v=spf1 include:sendgrid.net ~all, v=spf1 include:mail.zendesk.com ~all, v=spf1 a mx include:spf.mtasv.net ~all, v=spf1 mx include:_spf.salesforce.com ~all, facebook-domain-verification=qvbnlgsph3fvcvuzw08eflxidi94cm",,
[x],mscired.org.ua.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],ne1-cipol12-clu.underarmour.co.uk,204.74.99.103,"udns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,
[x],pt.mapmywalk.com,"13.224.189.52, 13.224.189.49, 13.224.189.31, 13.224.189.41","ns-1576.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,mapmywalk.com,True,cloudfront,,"ns-650.awsdns-17.net, ns-1310.awsdns-35.org, ns-1576.awsdns-05.co.uk, ns-436.awsdns-54.com",,inbound-smtp.us-east-1.amazonaws.com,,,
[x],sentry.mapmyfitness.com,"172.28.195.40, 172.28.133.178, 172.28.174.25","ns-1155.awsdns-16.org, awsdns-hostmaster.amazon.com",NOERROR,"sentry.uacf.io, us-green-internal.uacf.io",,,,,,,,True,"172.28.195.40, 172.28.133.178, 172.28.174.25"
[x],sftp.ua.com,"35.170.45.233, 3.223.207.142, 54.165.170.76","ns-1005.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,s-c8bf9adc78fd407d9.server.transfer.us-east-1.amazonaws.com,,,,,,,,,
[x],spam.underarmour.com,68.232.128.201,"ns1-93.akam.net, stbu-hostmaster\@cisco.com",NOERROR,"dh737-euq1.iphmx.com, f4-proxy.iphmx.com",,,,,,,,,
[x],supporttest.mapmyfitness.com,10.178.96.173,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,True,10.178.96.173
[x],svc02.mapmyfitness.com,172.16.16.160,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,True,172.16.16.160
[x],team.ua.com,"96.45.83.195, 96.45.83.103, 96.45.82.161, 96.45.82.74","ns20.digicertdns.com, dns.digicertdns.com",NOERROR,,,,,,,,,,
