input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_issuer_org_,webserver,tech_,csp_domains_,tls_subject_org_,tls_wildcard_certificate,final_url,tls_expired
alertmanager.ev-cloud-platform.engelvoelkers.com,,404,19,alertmanager.ev-cloud-platform.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T10:01:59Z,2024-05-10T10:01:59Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,5efcfc6d0de71eefcbbb9a16ae2320a8.5016c4f36574951c80843bff20fdf57a.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,a699a76c2cfebad36956e15ae24ae9b3,7720311919cc9016da3c2950d9f89a15aac0bc78bf79157b75a3136117a389b6,ctls,alertmanager.ev-cloud-platform.engelvoelkers.com,google,443,https://alertmanager.ev-cloud-platform.engelvoelkers.com:443,https,text/plain,GET,34.95.111.165,/,-138391155,34.95.111.165,2,False,True,,,,,,,,
alt.engelvoelkers.com,Engel & Völkers | Ihr Immobilienmakler an über 1.000 Standorten,200,193742,www.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,www.engelvoelkers.com,google,443,https://alt.engelvoelkers.com:443,https,text/html,GET,35.190.46.123,/,-632867812,35.190.46.123,4601,False,True,DigiCert Inc,cloudflare,jQuery,,,True,https://www.engelvoelkers.com/de/?default,
analytics-service-bq.engelvoelkers.com,,404,10,analytics-service-bq.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-26T01:58:54Z,2023-06-24T01:58:53Z,CN=analytics-service-bq.engelvoelkers.com,analytics-service-bq.engelvoelkers.com,analytics-service-bq.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,38d3976f53a68cd87e3c0541b87619ba,522cb3c4b433cc08ef142532390c8e2e6ee8cf5d83b29a63ba9649848366e397,ctls,analytics-service-bq.engelvoelkers.com,google,443,https://analytics-service-bq.engelvoelkers.com:443,https,text/plain,GET,35.186.199.237,/,-573464491,35.186.199.237,2,False,True,Let's Encrypt,,HSTS,,,,,
analytics.engelvoelkers.com,,404,13,analytics.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,True,2023-04-11T10:47:52Z,2023-07-10T11:41:05Z,CN=com-engelvoelkers-prod1.collector.snplow.net,com-engelvoelkers-prod1.collector.snplow.net,com-engelvoelkers-prod1.collector.snplow.net,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,82775edbca677e5d5a49f4d3af3ec42e,93c145479da2badd231984aad4963cd502073e1203651bf1b55854eb9fe5ba01,ctls,analytics.engelvoelkers.com,google,443,https://analytics.engelvoelkers.com:443,https,text/plain,GET,34.117.46.165,/,-1420358624,34.117.46.165,1,False,True,Google Trust Services LLC,akka-http,HTTP/3,,,,,
artifactory01.engelvoelkers.com,,404,19,artifactory01.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T10:01:59Z,2024-05-10T10:01:59Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,5efcfc6d0de71eefcbbb9a16ae2320a8.5016c4f36574951c80843bff20fdf57a.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,a699a76c2cfebad36956e15ae24ae9b3,7720311919cc9016da3c2950d9f89a15aac0bc78bf79157b75a3136117a389b6,ctls,artifactory01.engelvoelkers.com,google,443,https://artifactory01.engelvoelkers.com:443,https,text/plain,GET,34.95.111.165,/,-138391155,34.95.111.165,2,False,True,,,,,,,,
authenticate.engelvoelkers.com,Login,200,6423,authenticate.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,authenticate.engelvoelkers.com,google,443,https://authenticate.engelvoelkers.com:443,https,text/html,GET,34.77.58.235,/,-1653412201,34.77.58.235,249,False,True,DigiCert Inc,,Python,,,True,https://authenticate.engelvoelkers.com/login/?next=/,
belgium.engelvoelkers.com,Engel & Völkers | Ihr Immobilienmakler an über 1.000 Standorten,200,194138,www.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-11-11T00:00:00Z,2023-12-12T23:59:59Z,CN=*.engelvoelkers.com,*.engelvoelkers.com,engelvoelkers.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,c091bf481631609a52078b36a524d609,3348c70d3722d40bf2cf3e35bfec06ba54574b82e885c4a017a07053612339d1,ctls,www.engelvoelkers.com,google,443,https://belgium.engelvoelkers.com:443,https,text/html,GET,35.190.46.123,/,-667957671,35.190.46.123,4601,False,True,DigiCert Inc,cloudflare,jQuery,,,True,https://www.engelvoelkers.com/de/?default,
brandportal.engelvoelkers.com,Engel und Voelkers,200,25549,brandportal.engelvoelkers.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-01-25T00:00:00Z,2024-02-23T23:59:59Z,CN=brandportal.engelvoelkers.com,brandportal.engelvoelkers.com,brandportal.engelvoelkers.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,55fe511aee2450feda041b250fbacdcb,733351e3745dbe0aadfeec2b9372d412b910683da551b8b4060b9987725f92e6,ctls,brandportal.engelvoelkers.com,cloudfront,443,https://brandportal.engelvoelkers.com:443,https,text/html,GET,13.225.78.112,/,-1847293031,13.225.78.51,835,False,True,Amazon,CloudFront,HTTP/3,,,,https://brandportal.engelvoelkers.com/mars/oauth2016.auth?scope=https://brandportal.engelvoelkers.com/o2/api_user.details+https://brandportal.engelvoelkers.com/o2/api_user.privs&state=profile&redirect_uri=https://brandportal.engelvoelkers.com/brandcenter/auth/?backlink%3Dc7jc2%26lang_id%3D2&response_type=code&client_id=engelundvoelkers&access_type=offline&approval_prompt=auto&p_ptl_id=44855&p_oty_id=308370&p_lae_id=2,
c.engelvoelkers.com,401 Unauthorized,401,381,www.bike24-staging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-09-30T00:00:00Z,2023-09-29T23:59:59Z,"CN=bike24-staging.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bike24-staging.com,*.supplier-portal.bike24-staging.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,540c86b6fe27af5ba57251df163aea4a,a5a25217e4e479c73ac6987160391c224aedd53ed9b4dcc1e378419b2894cd32,ctls,www.bike24-staging.com,google,443,https://c.engelvoelkers.com:443,https,text/html,GET,35.190.80.149,/,-392200610,35.190.80.149,13,False,True,"Cloudflare, Inc.",cloudflare,Google Cloud CDN,https://staging.bike24.magnolia-platform.com/,"Cloudflare, Inc.",True,https://www.bike24-staging.com/404,
competencies.engelvoelkers.com,Meine Kompetenzen,200,1656,competencies.engelvoelkers.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-11T10:09:14Z,2023-07-10T10:09:13Z,CN=competencies.engelvoelkers.com,competencies.engelvoelkers.com,competencies.engelvoelkers.com,"CN=R3, O=Let's Encrypt, C=US",R3,8f7649715754112de74e3277a1a147ed,605daed6dc08b878b80d5dcdc6971e73ffea49b3d40da38f996f366005aa771b,ctls,competencies.engelvoelkers.com,,443,https://competencies.engelvoelkers.com:443,https,text/html,GET,188.94.249.29,/,-1816664268,188.94.249.29,42,False,,Let's Encrypt,Apache,Font Awesome,,,,,
