new,host,a,aaaa,mx,soa,status_code,cdn,cdn-name,cname,txt,ns,caa
[x],account.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],account.dev.buffer.com,"3.227.114.229, 34.239.237.208, 18.205.229.110, 52.203.119.74",,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,k8s-nonprodgroup-897a7c3684-1981180021.us-east-1.elb.amazonaws.com,,,
[x],admin.buffer.com,"104.16.140.52, 104.16.141.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],amplify-engage.buffer.com,"13.32.121.55, 13.32.121.24, 13.32.121.117, 13.32.121.41","2600:9000:236e:7a00:1b:914a:8340:93a1, 2600:9000:2240:d800:1b:914a:8340:93a1, 2600:9000:236e:8a00:1b:914a:8340:93a1, 2600:9000:236e:b200:1b:914a:8340:93a1, 2600:9000:2240:2c00:1b:914a:8340:93a1, 2600:9000:236e:9000:1b:914a:8340:93a1, 2600:9000:2240:2200:1b:914a:8340:93a1, 2600:9000:2240:a00:1b:914a:8340:93a1",,"ns-1971.awsdns-54.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d2z32dak6567t9.cloudfront.net,,"ns-1971.awsdns-54.co.uk, ns-737.awsdns-28.net, ns-1439.awsdns-51.org, ns-348.awsdns-43.com",
[x],analyze-api.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],blog.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8d34, 2606:4700::6810:8c34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,facebook-domain-verification=khqg2fzjxy17y0spif2jvkdeta8e1i,,
[x],bounce.buffer.com,,,feedback-smtp.us-west-2.amazonses.com,"ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,custom-email-domain.stripe.com,v=spf1 include:amazonses.com ~all,"ns-2008.awsdns-59.co.uk, ns-994.awsdns-60.net, ns-1404.awsdns-47.org, ns-163.awsdns-20.com",
[x],branches.dev.buffer.com,,,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,,,
[x],buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8d34, 2606:4700::6810:8c34","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],button.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],community.buffer.com,,,,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],data.publish.buffer.com,64.233.165.121,2a00:1450:4010:c02::79,,"ns1.google.com, dns-admin.google.com",NOERROR,,,"r6lnq35opo8b61m5cf4ua0d5rgmn72r8-data.customer.pendo.io, ghs.googlehosted.com",,,
[x],dev.buffer.com,"104.16.141.52, 104.16.140.52","2606:4700::6810:8c34, 2606:4700::6810:8d34",,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
