new,host,a,soa,status_code,txt,aaaa,cname,ns,cdn,cdn-name,mx,has_internal_ips,internal_ips,caa
[x],artesliberales.bluejeans.com,,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],beltdashboard.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cei12.a.bluejeans.com,44.239.84.214,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],cmhsce-carrollton.prod.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dev-meechum.a.bluejeans.com,44.239.84.214,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],docker.corp.bluejeans.com,"10.80.20.100, 10.80.16.133, 10.80.27.156","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,bjnrd-proxy-nexus-nlb-219e5f52b706e20a.elb.us-west-2.amazonaws.com,,,,,True,"10.80.20.100, 10.80.16.133, 10.80.27.156",
[x],edge-turnservice-shv-01-bru2.bluejeans.com,,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fifthofnovember.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gsp57-ssl-e1230.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gsp63-ty21-ssl.streaming-akamai.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-48-73.prod.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],host-214-18-17-58.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],huddle-assets.bluejeans.com,"52.84.93.94, 52.84.93.110, 52.84.93.18, 52.84.93.119","ns-1427.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,,"2600:9000:20eb:f000:17:4066:bec0:93a1, 2600:9000:20eb:4000:17:4066:bec0:93a1, 2600:9000:20eb:ae00:17:4066:bec0:93a1, 2600:9000:20eb:6e00:17:4066:bec0:93a1, 2600:9000:20eb:6a00:17:4066:bec0:93a1, 2600:9000:20eb:3600:17:4066:bec0:93a1, 2600:9000:20eb:6000:17:4066:bec0:93a1, 2600:9000:20eb:d200:17:4066:bec0:93a1",dhsls2wk2fi0r.cloudfront.net,"ns-1427.awsdns-50.org, ns-1560.awsdns-03.co.uk, ns-205.awsdns-25.com, ns-991.awsdns-59.net",True,cloudfront,,,,
[x],indigo.bluejeans.com,10.100.1.243,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,True,10.100.1.243,
[x],jointbasecharleston-141-236-140-14.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],nieuw.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],p307-iwmb8-china.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],pt-logger-ga.a.bluejeans.com,"13.248.156.105, 76.223.25.178","ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],sj.bluejeans.com,"199.48.152.152, 199.48.152.151","ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],smt-mtg-api.a.bluejeans.com,"44.241.136.248, 52.34.117.244, 52.27.193.15","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,smartmtg-stage-ecs-alb-1598848677.us-west-2.elb.amazonaws.com,"ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net",,,,,,
[x],streaming.a.bluejeans.com,"108.157.4.27, 108.157.4.13, 108.157.4.9, 108.157.4.54","ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,,,dldbylutr70e0.cloudfront.net,"ns-470.awsdns-58.com, ns-735.awsdns-27.net, ns-1136.awsdns-14.org, ns-1915.awsdns-47.co.uk",True,cloudfront,,,,
[x],sync200107-1.bluejeans.com,35.80.24.196,"ns-1602.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
